Lambda,Centrality,Kendall_Tau,P_Value
0.1627,Degree_Centrality,0.5997624377616961,9.393426452955274e-07
0.1627,Betweenness_Centrality,0.3056208184250196,0.004642046936603688
0.1627,PageRank_Centrality,0.3567261221616501,0.0009405601979663482
0.1627,Closeness_Centrality,0.18683952891472647,0.0844862704471132
0.1627,Eigenvector_Centrality,0.335673432984897,0.00185498646962645
0.1989,Degree_Centrality,0.5766946516939386,2.4110107127306796e-06
0.1989,Betweenness_Centrality,0.3711946338725334,0.0005851541908040573
0.1989,PageRank_Centrality,0.335673432984897,0.0018542197060875763
0.1989,Closeness_Centrality,0.28319702181414513,0.00892086832093305
0.1989,Eigenvector_Centrality,0.35204774678903833,0.0010966666722339077
0.235,Degree_Centrality,0.5310677535293734,1.3657696331045713e-05
0.235,Betweenness_Centrality,0.396259565048312,0.00023669410540808484
0.235,PageRank_Centrality,0.28488037545387096,0.008151772482579039
0.235,Closeness_Centrality,0.3319676071725041,0.0021394739010935685
0.235,Eigenvector_Centrality,0.39229428751024853,0.0002691816532106003
0.2712,Degree_Centrality,0.5915144897034486,1.2691215792156733e-06
0.2712,Betweenness_Centrality,0.40444191594901463,0.00017521913031226727
0.2712,PageRank_Centrality,0.3596030968843945,0.0008383638830476131
0.2712,Closeness_Centrality,0.2956036643373535,0.006257842345195546
0.2712,Eigenvector_Centrality,0.3222417361691327,0.002764174442352426
0.3073,Degree_Centrality,0.4370090065753058,0.0003397025617111605
0.3073,Betweenness_Centrality,0.3806193811305015,0.0004077877206883753
0.3073,PageRank_Centrality,0.17959186726481016,0.09497705168163117
0.3073,Closeness_Centrality,0.4382017555797977,4.9692851742749035e-05
0.3073,Eigenvector_Centrality,0.4408164014681704,4.1606010194151636e-05
0.3435,Degree_Centrality,0.41352684706191667,0.0006889159321698573
0.3435,Betweenness_Centrality,0.33119674284289125,0.00207638620202465
0.3435,PageRank_Centrality,0.17006432481856748,0.11348456754639923
0.3435,Closeness_Centrality,0.48450389234191876,7.112937124350343e-06
0.3435,Eigenvector_Centrality,0.5474673470186762,3.4861639207127893e-07
0.3796,Degree_Centrality,0.28911198430230484,0.017835316119640843
0.3796,Betweenness_Centrality,0.3960283076226927,0.00023689323060251377
0.3796,PageRank_Centrality,0.08284714119019836,0.4414093181485197
0.3796,Closeness_Centrality,0.6201709453770339,9.547394974188552e-09
0.3796,Eigenvector_Centrality,0.4515752625437573,2.7162608974782384e-05
0.4158,Degree_Centrality,0.31481898828944727,0.009849945798429412
0.4158,Betweenness_Centrality,0.4156457045474188,0.00011331903479348868
0.4158,PageRank_Centrality,0.10962100988891009,0.3081399312076486
0.4158,Closeness_Centrality,0.6209810974793925,8.972297117526408e-09
0.4158,Eigenvector_Centrality,0.48979600163130044,5.2742603477538745e-06
0.4519,Degree_Centrality,0.28987465297482995,0.017295148057755363
0.4519,Betweenness_Centrality,0.33683189581148204,0.0017296481147776115
0.4519,PageRank_Centrality,0.11292230840057255,0.29304104402747433
0.4519,Closeness_Centrality,0.635103357615928,3.883406318638683e-09
0.4519,Eigenvector_Centrality,0.44121190601873195,3.985205400100624e-05
0.4881,Degree_Centrality,0.28987465297482995,0.017295148057755363
0.4881,Betweenness_Centrality,0.35781104503157435,0.0008739295404191387
0.4881,PageRank_Centrality,0.1385335536048261,0.19706719474921064
0.4881,Closeness_Centrality,0.6467995520471606,2.0033002520369815e-09
0.4881,Eigenvector_Centrality,0.4388836110001634,4.3763556512647686e-05
