Node,Relative Closeness,Rank
61,0.818655825336881,1.0
53,0.807023353875223,2.0
56,0.788348491557818,3.0
65,0.7593871914775436,4.0
51,0.7455615293930441,5.0
55,0.7283597996818134,6.0
58,0.7099834638176521,7.0
62,0.6829565922714681,8.0
68,0.6755573067211287,9.0
25,0.6750999231406941,10.0
32,0.6654906418826364,11.0
54,0.650102134421696,12.0
81,0.6314594258518427,13.0
66,0.6235397715840528,14.0
37,0.5964613106773365,15.0
23,0.5906445872645406,16.0
40,0.5901119378974315,17.0
57,0.5899970098121832,18.0
30,0.5843730326086285,19.0
52,0.5795194072882817,20.0
29,0.5786074948895519,21.0
36,0.5761212952384637,22.0
4,0.5756632544240374,23.0
8,0.5723167453554637,24.0
60,0.562472071276694,25.0
3,0.5597948570038508,26.0
1,0.5580724363933547,27.0
7,0.5574812345084421,28.0
5,0.5552472273757492,29.0
64,0.551947021509428,30.0
12,0.5494361659346708,31.0
16,0.5475143305200879,32.0
27,0.5379479182960063,33.0
34,0.5347625661630746,34.0
45,0.5215973213438035,35.0
49,0.5195538688767563,36.0
9,0.5043688530776093,37.0
13,0.5028140072025884,38.0
87,0.4822962286056493,39.0
43,0.4819615475296183,40.0
47,0.480360862366983,41.0
11,0.4663158642689311,42.0
39,0.4650944144806202,43.0
15,0.4650766778242527,44.0
42,0.461164145562964,45.0
24,0.4477729002298828,46.0
31,0.4439348376491152,47.0
88,0.4371316786779368,48.0
17,0.4114282945219359,49.0
20,0.4096127312863954,50.0
77,0.400610560483897,51.0
79,0.3992221114802028,52.0
46,0.3682765862406136,53.0
50,0.3669800370483355,54.0
70,0.3520750169035928,55.0
73,0.3506622587933257,56.0
69,0.343481549264662,57.0
72,0.3423086456461074,58.0
71,0.3122445337899941,59.0
74,0.3112787702271819,60.0
59,0.2572826136602117,61.0
63,0.248735271407547,62.0
82,0.2272561116315148,63.0
89,0.2051112566619187,64.0
90,0.1932799040644967,65.0
67,0.1917932493172701,66.0
38,0.1891272004696499,67.0
26,0.1849731746010259,68.0
41,0.1846429651260188,69.0
33,0.1805043922235542,70.0
28,0.1211142372278966,71.0
35,0.1176988391104051,72.0
2,0.1104208711742921,73.0
6,0.1074088943999998,74.0
78,0.0763151644832761,75.0
80,0.0736436906744791,76.0
18,0.0627058065909272,77.0
19,0.0627058065909272,77.0
22,0.0601350391252911,78.0
21,0.0601350391252911,78.0
44,0.0534331876120044,79.0
48,0.0511210519592428,80.0
10,0.0506712611691734,81.0
14,0.0487965259442384,82.0
83,0.0401374198240655,83.0
84,0.0401374198240655,83.0
85,0.038690737758674,84.0
86,0.038690737758674,84.0
75,0.0327068355544242,85.0
76,0.0314416595474463,86.0
