Node,Score,Rank
329,0.29849066,1.0
341,0.285985763,2.0
340,0.167763276,3.0
339,0.126331739,4.0
324,0.12142567,5.0
335,0.106957644,6.0
343,0.103306269,7.0
322,0.100950907,8.0
355,0.098529734,9.0
333,0.084280875,10.0
372,0.075976629,11.0
368,0.074885512,12.0
211,0.065763701,13.0
126,0.062247553,14.0
350,0.043385689,15.0
356,0.043385689,15.0
371,0.042981494,16.0
325,0.037150879,17.0
330,0.034719784,18.0
377,0.031746032,19.0
369,0.031746032,19.0
345,0.020409424,20.0
348,0.011441088,21.0
332,0.006221503,22.0
379,0.006154055,23.0
331,0.005613136,24.0
336,0.004635455,25.0
334,0.004635455,25.0
337,0.00437788,26.0
323,0.003568381,27.0
326,0.003568381,27.0
328,0.000938727,28.0
327,0.0,29.0
366,0.0,29.0
363,0.0,29.0
381,0.0,29.0
370,0.0,29.0
321,0.0,29.0
360,0.0,29.0
354,0.0,29.0
346,0.0,29.0
338,0.0,29.0
365,0.0,29.0
358,0.0,29.0
347,0.0,29.0
375,0.0,29.0
351,0.0,29.0
361,0.0,29.0
376,0.0,29.0
353,0.0,29.0
367,0.0,29.0
352,0.0,29.0
362,0.0,29.0
378,0.0,29.0
220,0.0,29.0
359,0.0,29.0
373,0.0,29.0
364,0.0,29.0
380,0.0,29.0
374,0.0,29.0
357,0.0,29.0
344,0.0,29.0
349,0.0,29.0
342,0.0,29.0
