Starting Node,Average Spreading Ability
186,10.52
1,1.85
2,1.39
3,1.49
5,1.44
13,1.31
24,1.4
25,1.22
26,1.65
27,1.52
28,1.7
29,1.57
31,1.42
32,1.96
34,1.28
40,1.16
41,1.15
42,1.41
43,1.39
45,1.27
46,1.79
47,1.67
48,1.74
50,1.16
51,1.24
52,1.46
57,1.64
61,1.67
64,1.23
66,1.59
67,1.45
69,1.18
70,1.75
71,1.24
72,1.08
75,1.31
76,1.37
79,1.37
80,1.41
81,1.68
82,1.73
83,1.64
84,1.55
85,2.06
88,1.95
89,3.14
91,1.58
92,2.1
94,1.27
95,1.65
97,1.28
98,1.56
100,1.58
111,1.7
112,1.45
113,1.22
115,1.22
116,1.64
117,1.38
118,1.38
125,1.94
127,1.68
128,2.19
129,1.35
130,1.55
132,1.45
135,2.22
136,1.98
137,1.95
140,1.19
141,1.35
144,1.46
145,6.25
146,3.53
147,6.49
148,1.17
149,1.66
153,4.71
155,4.6
157,1.66
159,1.79
160,1.72
161,1.51
162,1.63
166,1.61
173,3.28
174,2.18
176,3.14
179,1.31
182,1.82
183,2.24
184,2.03
185,1.91
187,1.7
188,1.93
190,1.18
191,1.51
194,1.39
195,1.57
197,1.67
198,2.79
201,1.3
202,2.41
203,1.73
204,1.62
205,4.31
207,1.45
208,3.01
210,1.38
211,2.63
213,1.15
215,1.74
216,1.53
217,1.35
219,1.63
220,2.92
221,1.43
226,1.25
227,4.46
228,4.39
229,3.94
230,3.55
231,4.44
233,2.77
238,2.42
239,1.8
243,1.68
246,2.21
247,1.37
251,1.06
252,1.12
253,1.42
254,1.15
255,1.15
256,1.37
259,1.3
260,1.23
261,1.21
262,1.27
269,1.83
272,1.95
273,2.19
279,1.44
283,1.49
284,1.89
285,3.03
286,1.52
287,1.33
288,1.54
289,1.33
290,1.63
291,1.49
292,1.21
293,1.99
294,1.52
295,3.1
296,1.45
297,1.88
298,2.7
299,1.5
300,1.84
302,1.6
305,1.39
306,1.87
307,1.18
308,1.26
310,1.43
311,2.19
312,1.23
313,1.51
314,1.26
315,1.72
317,1.69
318,1.33
319,1.63
323,1.52
324,1.91
330,1.23
331,1.04
334,1.33
335,2.14
336,1.57
338,1.41
339,1.58
341,1.38
342,2.13
345,1.55
346,1.55
347,1.9
359,1.13
363,1.49
365,1.92
369,1.2
371,1.6
373,1.31
375,1.32
376,2.04
381,2.26
382,2.45
383,2.17
384,1.81
386,1.39
387,1.99
389,1.77
392,1.73
393,1.17
396,1.15
400,1.19
404,1.35
408,5.84
409,2.23
410,1.34
411,1.23
412,1.45
413,1.79
416,2.01
417,2.18
418,1.65
419,1.29
420,1.38
426,3.92
427,3.07
429,1.5
431,1.78
435,2.61
436,1.54
438,1.45
439,1.73
440,1.49
442,1.47
443,1.32
446,1.65
447,1.26
448,1.17
449,2.12
450,1.57
451,1.87
452,1.29
218,1.29
206,1.61
232,1.09
6,2.03
7,1.85
30,1.15
39,1.53
44,1.3
49,1.56
65,1.16
68,1.96
77,1.57
86,1.22
87,1.28
99,1.19
102,1.4
103,1.49
104,1.27
105,1.55
106,1.5
107,1.61
108,1.52
109,1.54
121,1.46
199,1.79
282,1.38
357,1.38
374,1.7
406,1.38
421,1.32
422,1.73
36,1.35
96,1.23
122,1.68
139,1.14
142,1.44
143,1.79
164,1.8
168,1.55
172,1.42
177,1.39
178,1.17
180,1.09
181,1.11
432,1.21
445,1.6
10,1.36
11,1.17
14,1.66
33,1.52
58,1.76
59,1.79
60,1.44
62,1.84
63,1.66
74,1.12
110,1.61
126,1.51
133,1.46
154,2.35
200,1.66
245,1.9
248,1.58
266,1.44
316,1.4
340,1.21
349,1.8
360,1.26
364,1.62
368,1.52
370,1.8
390,1.47
399,1.28
428,1.13
437,1.39
441,1.51
444,1.41
163,1.27
240,1.05
244,1.37
249,1.4
257,1.25
378,1.13
379,1.2
4,1.38
241,1.08
158,1.19
167,2.11
169,1.27
170,1.15
222,1.28
350,1.02
37,1.35
53,1.52
54,1.57
93,1.51
152,1.42
175,1.25
235,1.26
236,1.24
237,1.15
258,1.28
303,1.63
320,1.47
321,1.19
322,1.36
325,1.68
326,1.05
327,1.18
328,1.33
329,1.64
332,1.34
333,1.09
405,1.32
424,1.38
425,1.41
430,1.31
73,1.28
196,1.53
348,1.49
414,1.56
193,1.53
267,1.4
55,1.2
101,1.21
119,1.52
124,1.27
131,1.08
150,1.48
151,1.25
250,1.23
278,1.2
281,1.17
304,1.54
351,1.16
358,1.03
366,1.05
407,1.41
15,1.22
8,1.11
352,1.4
353,1.11
356,1.13
23,1.11
22,1.11
354,1.13
18,1.15
19,1.14
20,1.18
21,1.18
355,1.09
12,1.09
9,1.07
16,1.14
17,1.16
90,1.39
114,1.35
165,1.14
171,1.35
212,1.37
214,1.36
223,1.17
224,1.25
268,1.11
277,1.46
395,1.42
38,1.83
56,1.35
265,1.05
270,1.17
271,1.32
276,1.14
385,1.39
391,1.15
415,1.19
263,1.25
397,1.35
209,1.33
275,1.31
344,1.31
192,1.26
402,1.26
337,1.31
309,1.64
280,1.86
78,1.55
264,1.11
343,1.54
388,1.67
394,1.53
401,1.53
434,1.27
367,1.07
403,1.02
361,1.07
362,1.13
372,1.05
398,1.02
35,1.02
189,1.05
123,1.05
225,1.06
274,1.17
433,1.08
134,1.12
380,1.05
156,1.01
120,1.17
234,1.21
423,1.22
301,1.14
138,1.02
453,1.04
242,1.05
377,1.12
