Lambda,Kendall_Tau,P_Value
0.0136,0.683395632119588,2.1460620655553652e-280
0.0166,0.6962632036453689,3.579286513207282e-293
0.0196,0.6929680072696801,3.193807657989047e-292
0.0226,0.6841732438287803,4.964930856300195e-286
0.0256,0.6755774528659834,6.149880170944414e-280
0.0286,0.6630085908787638,2.3471281676066053e-270
0.0317,0.6520390107072229,5.627531670667436e-262
0.0347,0.6608578145708941,2.471917886503261e-269
0.0377,0.6726639561913692,4.0360969309047836e-279
0.0407,0.6830585688917787,6.278662362688858e-288
