Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.0,0.0,0.0,0.0,0.1111111111111111
10,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842
15,0.08571428571428572,0.06896551724137931,0.0,0.03333333333333333,0.2916666666666667
20,0.19047619047619047,0.05128205128205128,0.025,0.07142857142857142,0.3225806451612903
25,0.2549019607843137,0.0625,0.0625,0.07692307692307693,0.34210526315789475
30,0.36507936507936506,0.07017543859649122,0.07017543859649122,0.08196721311475409,0.4186046511627907
35,0.375,0.09090909090909091,0.14285714285714285,0.1,0.5
40,0.3333333333333333,0.10810810810810811,0.17142857142857143,0.10126582278481013,0.6078431372549019
45,0.3357142857142857,0.13580246913580246,0.22666666666666666,0.1,0.6140350877192983
50,0.3375796178343949,0.15730337078651685,0.24096385542168675,0.09803921568627451,0.5846153846153846
55,0.327683615819209,0.16494845360824742,0.2840909090909091,0.0990990990990991,0.547945205479452
60,0.18584070796460178,0.18269230769230768,0.33695652173913043,0.11864406779661017,0.5974025974025974
65,0.13076923076923078,0.17699115044247787,0.3434343434343434,0.136,0.6219512195121951
70,0.05802861685214626,0.18181818181818182,0.3490566037735849,0.15789473684210525,0.7023809523809523
75,0.06200317965023847,0.1953125,0.33043478260869563,0.19424460431654678,0.7586206896551724
80,0.06677265500794913,0.18840579710144928,0.312,0.23129251700680273,0.8426966292134831
