Starting Node,Average Spreading Ability,Rank
26,11.03,1.0
75,10.64,2.0
61,10.43,3.0
68,9.42,4.0
57,9.3,5.0
63,9.22,6.0
77,8.92,7.0
73,8.9,8.0
58,8.57,9.0
56,8.41,10.0
28,8.36,11.0
121,8.29,12.0
24,8.0,13.0
128,7.94,14.0
25,7.87,15.0
130,7.7,16.0
125,7.66,17.0
29,7.22,18.0
53,7.03,19.0
51,7.0,20.0
55,6.96,21.0
127,6.81,22.0
78,6.66,23.0
153,6.65,24.0
137,6.64,25.0
126,6.49,26.0
133,6.35,27.0
62,6.21,28.0
69,6.13,29.0
135,5.89,30.0
155,5.87,31.0
74,5.85,32.0
50,5.82,33.0
136,5.65,34.0
67,5.62,35.0
6,5.52,36.0
66,5.27,37.0
138,5.24,38.0
113,5.18,39.0
60,5.15,40.0
123,5.04,41.0
27,4.97,42.0
152,4.86,43.0
52,4.84,44.0
154,4.67,45.0
151,4.67,45.0
142,4.51,46.0
116,4.5,47.0
124,4.46,48.0
76,4.36,49.0
134,4.3,50.0
23,4.27,51.0
119,4.14,52.0
65,4.04,53.0
205,3.97,54.0
201,3.94,55.0
72,3.88,56.0
30,3.83,57.0
141,3.81,58.0
208,3.78,59.0
145,3.65,60.0
71,3.59,61.0
194,3.56,62.0
196,3.4,63.0
162,3.28,64.0
132,3.21,65.0
195,3.18,66.0
193,3.17,67.0
203,3.15,68.0
114,3.11,69.0
59,3.02,70.0
206,3.01,71.0
214,2.98,72.0
144,2.98,72.0
131,2.96,73.0
38,2.92,74.0
129,2.88,75.0
200,2.73,76.0
177,2.72,77.0
70,2.7,78.0
204,2.65,79.0
166,2.64,80.0
150,2.6,81.0
139,2.6,81.0
4,2.59,82.0
207,2.58,83.0
288,2.58,83.0
54,2.53,84.0
118,2.52,85.0
120,2.51,86.0
43,2.49,87.0
191,2.49,87.0
199,2.46,88.0
202,2.42,89.0
48,2.4,90.0
107,2.37,91.0
265,2.36,92.0
176,2.35,93.0
64,2.33,94.0
117,2.31,95.0
251,2.29,96.0
168,2.28,97.0
149,2.27,98.0
185,2.26,99.0
198,2.24,100.0
122,2.23,101.0
111,2.21,102.0
146,2.14,103.0
248,2.13,104.0
187,2.1,105.0
173,2.09,106.0
159,2.06,107.0
291,2.05,108.0
112,2.03,109.0
309,2.01,110.0
106,2.01,110.0
148,1.99,111.0
167,1.96,112.0
307,1.95,113.0
182,1.95,113.0
266,1.95,113.0
249,1.92,114.0
192,1.87,115.0
175,1.86,116.0
285,1.86,116.0
294,1.86,116.0
189,1.83,117.0
197,1.83,117.0
264,1.81,118.0
190,1.8,119.0
289,1.8,119.0
222,1.8,119.0
253,1.8,119.0
320,1.79,120.0
147,1.78,121.0
163,1.77,122.0
110,1.76,123.0
115,1.75,124.0
160,1.74,125.0
244,1.74,125.0
102,1.73,126.0
295,1.72,127.0
172,1.7,128.0
186,1.7,128.0
179,1.69,129.0
227,1.68,130.0
171,1.67,131.0
157,1.67,131.0
290,1.66,132.0
101,1.65,133.0
287,1.64,134.0
5,1.63,135.0
100,1.59,136.0
212,1.59,136.0
286,1.59,136.0
174,1.58,137.0
47,1.55,138.0
223,1.54,139.0
143,1.54,139.0
224,1.54,139.0
317,1.53,140.0
274,1.53,140.0
109,1.53,140.0
105,1.53,140.0
273,1.52,141.0
313,1.5,142.0
280,1.49,143.0
279,1.49,143.0
252,1.49,143.0
183,1.47,144.0
262,1.46,145.0
161,1.46,145.0
188,1.46,145.0
104,1.46,145.0
256,1.45,146.0
49,1.45,146.0
46,1.44,147.0
263,1.44,147.0
209,1.43,148.0
79,1.43,148.0
228,1.43,148.0
314,1.42,149.0
281,1.42,149.0
33,1.41,150.0
45,1.41,150.0
243,1.41,150.0
178,1.41,150.0
92,1.4,151.0
284,1.4,151.0
282,1.38,152.0
44,1.38,152.0
108,1.37,153.0
211,1.35,154.0
165,1.35,154.0
11,1.35,154.0
315,1.33,155.0
268,1.33,155.0
98,1.33,155.0
305,1.33,155.0
259,1.31,156.0
303,1.31,156.0
257,1.3,157.0
293,1.3,157.0
318,1.29,158.0
156,1.28,159.0
272,1.28,159.0
221,1.27,160.0
229,1.27,160.0
322,1.27,160.0
267,1.27,160.0
215,1.27,160.0
169,1.27,160.0
37,1.26,161.0
316,1.25,162.0
254,1.25,162.0
319,1.25,162.0
184,1.25,162.0
21,1.24,163.0
250,1.24,163.0
42,1.23,164.0
2,1.23,164.0
233,1.23,164.0
308,1.23,164.0
298,1.22,165.0
247,1.22,165.0
97,1.21,166.0
246,1.21,166.0
40,1.2,167.0
12,1.19,168.0
41,1.19,168.0
260,1.19,168.0
20,1.19,168.0
304,1.19,168.0
3,1.18,169.0
301,1.18,169.0
36,1.17,170.0
241,1.17,170.0
96,1.17,170.0
181,1.16,171.0
245,1.16,171.0
210,1.16,171.0
310,1.15,172.0
95,1.15,172.0
180,1.15,172.0
242,1.14,173.0
94,1.14,173.0
89,1.14,173.0
213,1.14,173.0
255,1.13,174.0
271,1.13,174.0
276,1.13,174.0
80,1.13,174.0
328,1.13,174.0
91,1.13,174.0
321,1.13,174.0
103,1.13,174.0
292,1.13,174.0
299,1.13,174.0
302,1.12,175.0
235,1.12,175.0
39,1.12,175.0
93,1.12,175.0
300,1.12,175.0
88,1.12,175.0
269,1.12,175.0
216,1.12,175.0
158,1.11,176.0
22,1.11,176.0
232,1.11,176.0
35,1.1,177.0
329,1.1,177.0
230,1.1,177.0
325,1.1,177.0
306,1.09,178.0
9,1.09,178.0
234,1.09,178.0
225,1.09,178.0
164,1.09,178.0
15,1.08,179.0
238,1.08,179.0
323,1.08,179.0
18,1.07,180.0
8,1.07,180.0
231,1.07,180.0
83,1.07,180.0
19,1.07,180.0
86,1.07,180.0
31,1.07,180.0
13,1.07,180.0
140,1.07,180.0
85,1.06,181.0
34,1.06,181.0
82,1.06,181.0
81,1.06,181.0
7,1.06,181.0
90,1.05,182.0
330,1.05,182.0
296,1.05,182.0
258,1.05,182.0
236,1.05,182.0
312,1.04,183.0
1,1.04,183.0
278,1.04,183.0
10,1.04,183.0
84,1.04,183.0
16,1.04,183.0
226,1.04,183.0
326,1.03,184.0
218,1.03,184.0
277,1.03,184.0
239,1.03,184.0
17,1.02,185.0
87,1.02,185.0
99,1.02,185.0
170,1.02,185.0
283,1.02,185.0
332,1.02,185.0
219,1.02,185.0
327,1.02,185.0
14,1.02,185.0
331,1.02,185.0
237,1.01,186.0
261,1.01,186.0
32,1.01,186.0
324,1.01,186.0
220,1.01,186.0
297,1.0,187.0
311,1.0,187.0
240,1.0,187.0
270,1.0,187.0
275,1.0,187.0
217,1.0,187.0
