Lambda,Centrality,Kendall_Tau,P_Value
0.0031,Degree_Centrality,0.08995032847933676,0.12619002265132853
0.0031,Betweenness_Centrality,0.08382565318253551,0.1440102087910087
0.0031,PageRank_Centrality,0.09244703240341058,0.10703295124246011
0.0031,Closeness_Centrality,0.08995032847933676,0.12619002265132853
0.0031,Eigenvector_Centrality,0.08249522721550802,0.15038323472065007
0.0038,Degree_Centrality,0.0889798345149164,0.12894565672487296
0.0038,Betweenness_Centrality,0.10159798370349647,0.07553928408687881
0.0038,PageRank_Centrality,0.0985288599138624,0.0847245019676504
0.0038,Closeness_Centrality,0.0889798345149164,0.12894565672487296
0.0038,Eigenvector_Centrality,0.07452712528347755,0.19224654595884028
0.0045,Degree_Centrality,0.11262128086982542,0.05429374896908066
0.0045,Betweenness_Centrality,0.12324501151210071,0.0308511954032596
0.0045,PageRank_Centrality,0.11965406933934888,0.036029976694033454
0.0045,Closeness_Centrality,0.11262128086982542,0.05429374896908066
0.0045,Eigenvector_Centrality,0.09933545379115757,0.0817599577816325
0.0052,Degree_Centrality,0.10242856939308838,0.07980125432755598
0.0052,Betweenness_Centrality,0.11046460139877927,0.05277100394647065
0.0052,PageRank_Centrality,0.10809461768487717,0.05800025429076944
0.0052,Closeness_Centrality,0.10242856939308838,0.07980125432755598
0.0052,Eigenvector_Centrality,0.09074395674027409,0.11151712624137959
0.0059,Degree_Centrality,0.10566719426304878,0.07032893333186363
0.0059,Betweenness_Centrality,0.100251809815825,0.0783720989785788
0.0059,PageRank_Centrality,0.10273888615423722,0.07118187520694891
0.0059,Closeness_Centrality,0.10566719426304878,0.07032893333186363
0.0059,Eigenvector_Centrality,0.10273888615423722,0.07118187520694891
0.0066,Degree_Centrality,0.11608710325148038,0.04676012503552835
0.0066,Betweenness_Centrality,0.11852122305443852,0.037414793223748175
0.0066,PageRank_Centrality,0.11476704686288729,0.043823568021067225
0.0066,Closeness_Centrality,0.11608710325148038,0.04676012503552835
0.0066,Eigenvector_Centrality,0.11095591474064802,0.05131507157862927
0.0073,Degree_Centrality,0.13617107011390273,0.019616960973366647
0.0073,Betweenness_Centrality,0.12201396106457787,0.03206837733532536
0.0073,PageRank_Centrality,0.12847651142164823,0.023968179898771293
0.0073,Closeness_Centrality,0.13617107011390273,0.019616960973366647
0.0073,Eigenvector_Centrality,0.13557561784791183,0.017200802398765497
0.008,Degree_Centrality,0.13544291968123626,0.02026682540118799
0.008,Betweenness_Centrality,0.12702227008761519,0.0256289274769304
0.008,PageRank_Centrality,0.1289814710877605,0.02340483212870717
0.008,Closeness_Centrality,0.13544291968123626,0.02026682540118799
0.008,Eigenvector_Centrality,0.1336559673553706,0.01882835461494523
0.0087,Degree_Centrality,0.12919090939052283,0.02679712666090421
0.0087,Betweenness_Centrality,0.14137973874897436,0.012979807775636865
0.0087,PageRank_Centrality,0.12688966819679848,0.025731275995204375
0.0087,Closeness_Centrality,0.12919090939052283,0.02679712666090421
0.0087,Eigenvector_Centrality,0.12360057720670412,0.029822963394446556
0.0094,Degree_Centrality,0.1640340454501067,0.004929524925289575
0.0094,Betweenness_Centrality,0.15220752179943686,0.007484285187407784
0.0094,PageRank_Centrality,0.15831506773079038,0.005394480784274951
0.0094,Closeness_Centrality,0.1640340454501067,0.004929524925289575
0.0094,Eigenvector_Centrality,0.15987311651108244,0.004956213953888203
