Starting Node,Average Spreading Ability,Rank
60,14.26,1.0
132,14.18,2.0
168,13.2,3.0
136,13.06,4.0
101,12.85,5.0
70,12.78,6.0
100,12.3,7.0
164,12.29,8.0
83,12.01,9.0
192,11.95,10.0
7,11.93,11.0
179,11.64,12.0
194,11.33,13.0
66,11.17,14.0
99,11.04,15.0
170,10.87,16.0
122,10.85,17.0
98,10.76,18.0
69,10.57,19.0
54,10.42,20.0
123,10.41,21.0
158,10.4,22.0
114,10.33,23.0
174,10.3,24.0
195,10.25,25.0
110,10.21,26.0
154,10.15,27.0
121,9.95,28.0
150,9.83,29.0
106,9.69,30.0
108,9.69,30.0
131,9.61,31.0
81,9.54,32.0
130,9.25,33.0
49,9.23,34.0
196,9.19,35.0
95,9.17,36.0
118,9.14,37.0
107,9.14,37.0
56,9.09,38.0
58,9.05,39.0
183,9.02,40.0
151,8.99,41.0
197,8.99,41.0
53,8.99,41.0
178,8.96,42.0
61,8.93,43.0
96,8.79,44.0
167,8.69,45.0
171,8.56,46.0
65,8.55,47.0
35,8.33,48.0
44,8.32,49.0
149,8.24,50.0
32,8.16,51.0
125,8.16,51.0
40,8.13,52.0
43,8.1,53.0
109,8.1,53.0
57,7.96,54.0
111,7.85,55.0
141,7.83,56.0
161,7.8,57.0
93,7.79,58.0
146,7.68,59.0
62,7.64,60.0
5,7.56,61.0
63,7.55,62.0
18,7.54,63.0
33,7.44,64.0
142,7.43,65.0
153,7.21,66.0
10,7.13,67.0
135,7.07,68.0
88,7.07,68.0
90,7.04,69.0
182,6.87,70.0
89,6.76,71.0
8,6.67,72.0
1,6.66,73.0
127,6.65,74.0
71,6.64,75.0
193,6.61,76.0
78,6.59,77.0
67,6.56,78.0
36,6.48,79.0
46,6.48,79.0
19,6.45,80.0
50,6.17,81.0
190,6.12,82.0
105,6.09,83.0
128,5.95,84.0
94,5.7,85.0
29,5.66,86.0
64,5.62,87.0
189,5.62,87.0
12,5.58,88.0
77,5.53,89.0
24,5.52,90.0
14,5.41,91.0
31,5.36,92.0
26,5.28,93.0
55,5.28,93.0
147,5.18,94.0
166,5.16,95.0
11,5.14,96.0
175,5.11,97.0
28,5.11,97.0
140,5.09,98.0
137,5.06,99.0
86,5.04,100.0
38,5.02,101.0
87,4.96,102.0
97,4.93,103.0
112,4.87,104.0
139,4.86,105.0
75,4.8,106.0
91,4.79,107.0
103,4.71,108.0
22,4.67,109.0
143,4.64,110.0
113,4.62,111.0
191,4.57,112.0
84,4.53,113.0
104,4.53,113.0
173,4.52,114.0
20,4.5,115.0
80,4.4,116.0
185,4.38,117.0
73,4.35,118.0
169,4.34,119.0
172,4.32,120.0
176,4.29,121.0
177,4.25,122.0
68,4.24,123.0
162,4.19,124.0
155,4.17,125.0
187,4.12,126.0
126,3.86,127.0
186,3.83,128.0
59,3.8,129.0
51,3.77,130.0
74,3.7,131.0
129,3.67,132.0
144,3.64,133.0
117,3.61,134.0
72,3.55,135.0
138,3.53,136.0
163,3.52,137.0
79,3.44,138.0
184,3.43,139.0
85,3.36,140.0
9,3.36,140.0
116,3.28,141.0
156,3.27,142.0
102,3.14,143.0
52,3.12,144.0
76,3.02,145.0
82,2.98,146.0
13,2.95,147.0
198,2.95,147.0
48,2.78,148.0
25,2.7,149.0
124,2.69,150.0
15,2.53,151.0
42,2.51,152.0
181,2.49,153.0
23,2.46,154.0
4,2.45,155.0
188,2.35,156.0
119,2.27,157.0
45,2.17,158.0
34,2.02,159.0
27,2.01,160.0
145,1.98,161.0
134,1.87,162.0
16,1.79,163.0
92,1.58,164.0
159,1.58,164.0
41,1.53,165.0
115,1.48,166.0
2,1.42,167.0
17,1.38,168.0
39,1.36,169.0
133,1.34,170.0
47,1.33,171.0
37,1.28,172.0
21,1.18,173.0
165,1.16,174.0
3,1.13,175.0
180,1.13,175.0
157,1.12,176.0
152,1.1,177.0
160,1.1,177.0
148,1.09,178.0
6,1.05,179.0
30,1.02,180.0
120,1.01,181.0
