Node,Score,Rank
136,0.003289474,1.0
60,0.002994012,2.0
168,0.002949853,3.0
70,0.002840909,4.0
83,0.002832861,5.0
132,0.002816901,6.0
194,0.002785515,7.0
122,0.002785515,7.0
174,0.002739726,8.0
158,0.00273224,9.0
99,0.002724796,10.0
192,0.002717391,11.0
69,0.002702703,12.0
108,0.002702703,12.0
149,0.002695418,13.0
164,0.002688172,14.0
7,0.002680965,15.0
196,0.002666667,16.0
131,0.002666667,16.0
178,0.002666667,16.0
118,0.002659574,17.0
195,0.002659574,17.0
53,0.002659574,17.0
153,0.00265252,18.0
49,0.00265252,18.0
54,0.00265252,18.0
121,0.002645503,19.0
18,0.002638522,20.0
150,0.002631579,21.0
88,0.002624672,22.0
101,0.002617801,23.0
100,0.002617801,23.0
105,0.002610966,24.0
96,0.002610966,24.0
111,0.002604167,25.0
135,0.002604167,25.0
170,0.002604167,25.0
110,0.002597403,26.0
98,0.002597403,26.0
167,0.002597403,26.0
57,0.002590674,27.0
73,0.002590674,27.0
5,0.002583979,28.0
197,0.002583979,28.0
171,0.00257732,29.0
67,0.002564103,30.0
142,0.002557545,31.0
95,0.002557545,31.0
86,0.00255102,32.0
183,0.002544529,33.0
128,0.002544529,33.0
114,0.002544529,33.0
179,0.002538071,34.0
81,0.002531646,35.0
172,0.002525253,36.0
71,0.002518892,37.0
147,0.002506266,38.0
137,0.002493766,39.0
125,0.002493766,39.0
130,0.002493766,39.0
161,0.002493766,39.0
90,0.002493766,39.0
32,0.002487562,40.0
19,0.002475248,41.0
43,0.002475248,41.0
66,0.002469136,42.0
65,0.002463054,43.0
24,0.002457002,44.0
140,0.002457002,44.0
78,0.00245098,45.0
89,0.002444988,46.0
127,0.002427184,47.0
162,0.002427184,47.0
189,0.002427184,47.0
56,0.002427184,47.0
182,0.002415459,48.0
193,0.002415459,48.0
93,0.002409639,49.0
190,0.002409639,49.0
146,0.002409639,49.0
14,0.002409639,49.0
94,0.002403846,50.0
29,0.002403846,50.0
191,0.002398082,51.0
61,0.002392344,52.0
129,0.002375297,53.0
50,0.002375297,53.0
22,0.002369668,54.0
141,0.002369668,54.0
151,0.002369668,54.0
9,0.002369668,54.0
11,0.002364066,55.0
84,0.002352941,56.0
20,0.002352941,56.0
109,0.002347418,57.0
36,0.002347418,57.0
143,0.00234192,58.0
116,0.00234192,58.0
77,0.00234192,58.0
8,0.00234192,58.0
35,0.00234192,58.0
154,0.00234192,58.0
80,0.002336449,59.0
12,0.002336449,59.0
112,0.002331002,60.0
177,0.002331002,60.0
79,0.002331002,60.0
55,0.002325581,61.0
10,0.002325581,61.0
123,0.002320186,62.0
106,0.002314815,63.0
51,0.002309469,64.0
188,0.002309469,64.0
107,0.002304147,65.0
40,0.002298851,66.0
184,0.002298851,66.0
33,0.002298851,66.0
117,0.002298851,66.0
44,0.002298851,66.0
138,0.002298851,66.0
126,0.002293578,67.0
87,0.00228833,68.0
31,0.002283105,69.0
26,0.002283105,69.0
144,0.002277904,70.0
59,0.002277904,70.0
64,0.002277904,70.0
76,0.002272727,71.0
58,0.002272727,71.0
63,0.002267574,72.0
23,0.002267574,72.0
62,0.002262443,73.0
163,0.002262443,73.0
97,0.002262443,73.0
103,0.002262443,73.0
175,0.002257336,74.0
75,0.002247191,75.0
42,0.002247191,75.0
176,0.002232143,76.0
91,0.002217295,77.0
185,0.002207506,78.0
139,0.002202643,79.0
187,0.002192982,80.0
46,0.002188184,81.0
74,0.002178649,82.0
1,0.002178649,82.0
52,0.002178649,82.0
186,0.002173913,83.0
166,0.002169197,84.0
68,0.002169197,84.0
155,0.002164502,85.0
28,0.002164502,85.0
38,0.002164502,85.0
82,0.002159827,86.0
134,0.002150538,87.0
45,0.002136752,88.0
41,0.002136752,88.0
13,0.002114165,89.0
72,0.002109705,90.0
104,0.002096436,91.0
159,0.00209205,92.0
17,0.002079002,93.0
113,0.002074689,94.0
173,0.002070393,95.0
169,0.002066116,96.0
156,0.002057613,97.0
85,0.00204499,98.0
27,0.00203666,99.0
124,0.002024291,100.0
4,0.002016129,101.0
39,0.002012072,102.0
181,0.002012072,102.0
198,0.002,103.0
34,0.001984127,104.0
102,0.001964637,105.0
25,0.001934236,106.0
115,0.001908397,107.0
37,0.001897533,108.0
3,0.001890359,109.0
119,0.001872659,110.0
16,0.001865672,111.0
15,0.001858736,112.0
48,0.001858736,112.0
92,0.001831502,113.0
2,0.001821494,114.0
148,0.001798561,115.0
133,0.001782531,116.0
160,0.001763668,117.0
47,0.001745201,118.0
145,0.001733102,119.0
21,0.001715266,120.0
180,0.001572327,121.0
165,0.001540832,122.0
30,0.001428571,123.0
157,0.001408451,124.0
152,0.001396648,125.0
120,0.001369863,126.0
6,0.001104972,127.0
