Starting Node,Average Spreading Ability
1,1.26
2,1.36
3,1.43
4,1.83
5,1.15
6,1.31
7,1.46
8,1.81
9,1.94
10,1.58
11,1.34
12,1.31
13,1.35
14,1.04
15,1.28
16,1.18
17,1.25
18,1.15
19,2.1
20,1.58
21,2.01
22,1.64
23,1.6
24,1.95
25,1.41
26,1.79
27,1.44
28,1.57
29,1.29
30,1.33
31,1.88
32,1.54
33,1.27
34,1.49
35,1.4
36,1.59
37,1.37
38,1.17
39,1.53
40,1.6
41,1.4
42,1.6
43,1.85
44,2.18
45,1.37
46,1.47
47,1.82
48,1.17
49,2.2
50,2.34
51,1.6
52,1.22
53,1.57
54,1.46
55,2.71
56,2.24
57,1.29
58,1.48
59,2.25
60,1.51
61,1.74
62,3.52
63,1.36
64,1.24
65,1.64
66,1.21
67,1.19
68,1.05
69,1.59
70,1.37
71,1.33
72,1.19
73,1.5
74,1.15
75,1.2
76,1.36
77,1.2
78,1.11
79,1.52
80,1.34
81,1.65
82,3.57
83,1.48
84,1.52
85,1.3
86,3.39
87,1.14
88,1.04
89,1.13
90,1.07
91,1.14
92,2.7
93,1.27
94,1.04
95,1.51
96,1.12
97,1.15
98,2.0
99,2.25
100,3.04
101,1.48
102,1.87
103,1.86
104,2.85
105,1.86
106,3.66
107,3.09
108,2.08
109,3.26
110,1.43
111,1.05
112,1.13
113,1.49
114,1.86
115,1.07
116,1.06
117,1.13
118,1.36
119,1.25
120,1.23
121,3.6
122,1.42
123,1.09
124,1.21
125,1.6
126,1.34
127,2.1
128,1.63
129,1.65
130,2.3
131,1.37
132,2.17
133,1.64
134,2.2
135,1.75
136,1.12
137,1.25
138,2.38
139,1.11
140,1.16
141,1.12
142,1.18
143,1.17
144,1.2
145,1.33
146,1.1
147,2.06
148,1.28
149,1.28
150,1.69
151,2.49
152,1.27
153,1.77
154,1.62
155,1.42
156,1.44
157,1.22
158,1.49
159,1.33
160,1.42
161,3.21
162,1.93
163,1.9
164,1.95
165,1.19
166,2.06
167,1.41
168,1.13
169,1.21
170,1.82
171,1.33
172,2.02
173,1.48
174,1.22
175,2.01
176,1.68
177,1.05
178,1.13
179,1.21
180,1.14
181,1.24
182,2.08
183,1.21
184,2.06
185,1.81
186,2.05
187,1.87
188,2.79
189,3.25
190,1.79
191,1.75
192,1.52
193,2.19
194,1.5
195,1.24
196,1.35
197,2.64
198,1.14
199,1.07
200,1.5
201,2.06
202,1.22
203,2.22
204,1.44
205,1.54
206,1.75
207,1.17
208,1.13
209,1.32
210,1.2
211,1.52
212,1.25
213,1.93
214,1.9
215,1.09
216,1.73
217,1.38
218,2.06
219,5.04
220,1.61
221,1.11
222,1.29
223,1.22
224,1.2
225,1.89
226,1.63
227,1.41
228,1.16
229,1.25
230,2.66
231,1.75
232,2.88
233,2.22
234,2.3
235,3.28
236,2.91
237,1.46
238,2.29
239,1.42
240,2.26
241,1.67
242,1.5
243,2.31
244,3.16
245,1.82
246,2.45
247,1.6
248,1.28
249,1.23
250,1.24
251,3.33
252,2.3
253,1.45
254,2.05
255,1.42
256,2.3
257,1.65
258,1.26
259,1.28
260,3.13
261,1.3
262,1.12
263,1.23
264,1.24
265,1.28
266,1.27
267,1.06
268,1.95
269,1.83
270,1.45
271,1.56
272,1.21
273,1.84
274,2.49
275,1.69
276,1.58
277,1.62
278,1.61
279,2.43
280,1.61
281,1.41
282,1.49
283,1.53
284,1.15
285,1.2
286,1.18
287,1.51
288,1.2
289,1.21
290,1.19
291,1.13
292,1.1
293,1.34
294,1.19
295,1.65
296,1.58
297,1.31
298,2.29
299,1.07
300,1.06
301,1.34
302,1.13
303,1.86
304,1.21
305,1.54
306,1.38
307,2.06
308,1.69
309,1.95
310,1.44
311,2.54
312,1.24
313,1.51
314,1.44
315,1.89
316,1.75
317,1.41
318,1.83
319,2.31
320,1.93
321,1.29
322,1.5
323,1.6
324,1.35
325,1.99
326,1.42
327,3.53
328,1.46
329,1.22
330,1.66
331,1.83
332,1.17
333,1.17
334,1.58
335,2.24
336,2.23
337,1.14
338,2.47
339,2.12
340,1.24
341,1.06
342,1.24
343,1.37
