Node,Spreading Ability,Rank
177,29.0,1
27,27.74,2
240,26.98,3
17,22.52,4
241,24.69,5
172,29.21,6
54,22.33,7
244,21.93,8
147,15.91,9
245,21.54,10
28,18.38,11
173,26.23,12
26,18.53,13
243,16.69,14
55,23.25,15
262,15.31,16
13,17.98,17
251,17.09,18
178,16.75,19
60,17.4,20
271,16.5,21
364,17.3,22
250,15.96,23
215,14.9,24
242,15.19,25
157,13.79,26
377,12.42,27
370,17.7,28
102,13.86,29
197,22.96,30
195,18.93,31
196,17.86,32
59,16.53,33
246,16.27,34
174,22.01,35
238,15.72,36
163,14.12,37
383,13.53,38
305,19.57,39
261,13.75,40
106,13.29,41
156,12.43,42
453,12.34,43
378,11.59,44
175,18.61,45
278,11.17,46
25,20.05,47
162,13.6,48
99,12.47,49
161,11.97,50
15,18.18,51
317,11.07,52
63,10.9,53
107,12.99,54
166,12.91,55
360,10.73,56
392,14.73,57
306,15.39,58
138,10.47,59
260,12.35,60
263,12.34,61
418,15.24,62
58,18.07,63
198,18.09,64
443,17.99,65
444,16.53,66
29,13.02,67
69,11.89,68
32,11.55,69
139,11.15,70
154,14.06,71
143,11.56,72
394,10.95,73
325,10.42,74
165,10.41,75
24,15.16,76
451,11.3,77
311,10.38,78
168,10.32,79
318,10.29,80
53,14.31,81
52,11.02,82
308,12.46,83
48,10.18,84
380,10.11,85
319,10.06,86
315,10.03,87
146,9.92,88
164,9.9,89
56,12.23,90
169,9.83,91
452,9.93,92
83,9.82,93
386,10.19,94
304,12.06,95
137,10.7,96
398,12.45,97
155,9.79,98
216,9.9,99
312,11.54,100
259,9.68,101
181,9.61,102
326,9.55,103
11,9.98,104
179,9.36,105
286,9.35,106
212,9.27,107
310,9.22,108
18,15.09,109
390,9.26,110
257,9.13,111
16,13.23,112
400,10.03,113
176,13.03,114
256,14.22,115
101,9.77,116
214,9.59,117
258,9.42,118
141,10.03,119
320,9.08,120
436,9.08,121
87,9.33,122
131,9.07,123
217,9.01,124
338,9.5,125
167,11.64,126
279,8.71,127
302,8.69,128
38,10.7,129
269,8.48,130
430,8.47,131
42,8.35,132
160,8.31,133
270,8.65,134
331,8.29,135
276,8.27,136
281,8.27,136
289,8.21,137
454,8.19,138
185,8.17,139
86,8.11,140
253,13.17,141
371,12.85,142
272,9.94,143
348,8.69,144
57,10.92,145
210,10.73,146
35,8.06,147
104,8.02,148
159,9.42,149
321,7.87,150
474,7.83,151
460,8.14,152
180,7.81,153
264,7.75,154
248,12.0,155
247,10.23,156
249,9.42,157
140,7.69,158
417,8.78,159
266,11.37,160
344,7.62,161
255,11.71,162
118,8.51,163
122,10.01,164
105,8.47,165
186,7.57,166
65,7.55,167
254,10.42,168
471,9.09,169
473,8.63,170
265,8.55,171
285,7.51,172
170,7.5,173
420,8.6,174
329,8.38,175
486,7.33,176
2,7.18,177
208,7.08,178
51,7.07,179
324,7.04,180
61,8.68,181
62,7.02,182
209,7.67,183
68,7.0,184
7,6.95,185
277,7.54,186
307,8.13,187
374,8.68,188
372,7.8,189
343,6.99,190
44,6.95,191
376,6.96,192
4,6.9,193
349,6.85,194
387,6.84,195
112,6.81,196
1,6.8,197
67,6.8,197
434,8.05,198
31,8.45,199
136,6.79,200
303,6.78,201
12,8.91,202
66,6.73,203
435,6.71,204
461,9.93,205
97,8.06,206
446,7.63,207
314,6.66,208
475,10.09,209
476,9.1,210
450,10.88,211
449,9.95,212
448,8.97,213
142,8.51,214
399,7.55,215
234,7.47,216
403,6.62,217
268,9.85,218
267,8.37,219
284,6.6,220
135,6.57,221
373,6.56,222
274,7.55,223
88,6.9,224
14,6.55,225
363,7.41,226
397,6.51,227
77,6.51,227
330,6.44,228
129,6.41,229
288,6.4,230
472,8.06,231
211,9.93,232
470,6.41,233
445,7.36,234
252,8.0,235
346,6.38,236
81,6.33,237
239,9.81,238
