feature,score,rank
Eccentricity Centrality,0.12272947496694826,1
Closeness Centrality,0.07386091910456605,2
Second order centrality,0.07333846435481295,3
GIN Values,0.0506528316574977,4
H-GSM_1,0.050475175333233174,5
GSM,0.05006678429414972,6
Volume Centrality,0.04687378689771626,7
Betweenness Centrality,0.0425273003039744,8
Leverage Centrality,0.038958724574594324,9
P Value,0.03733576903585266,10
I-GSM Values,0.031046710717546958,11
HCC Value,0.030035485063058504,12
Clustered Local Degree,0.0291683433822038,13
EHCC Value,0.02816666869175582,14
Extended Coreness,0.027180898647207775,15
Extended Improved Gravity Index Values,0.025818629553078065,16
Eigenvector Centrality,0.025232703494430922,17
Centrality Values,0.024396902180630137,18
Societal Capital Scores,0.023642222125982767,19
PE Values,0.022938130349495423,20
CLC Values,0.022684024945048648,21
Coreness Centrality,0.02096045394944274,22
Semi local centrality,0.020277354078731567,23
Extended Degree,0.019458058437294055,24
Global Relative Change in Avg Clustering,0.018222917314173002,25
Improved Gravity Index Values,0.015584265991093258,26
Isolating Centrality,0.012300048283230986,27
Laplacian Centrality,0.010319428421339056,28
EIGSM Values,0.008886907556961934,29
Gravity Index Centrality,0.00775571308142759,30
PageRank Centrality,0.005357599810995753,31
GGC Values,0.0046076052830669465,32
Node H-Index,0.004237052324154427,33
Local Gravity Model Centrality,0.0033219330216038836,34
Gravity Model Centrality,0.0027370220038314126,35
LGC Scores,0.002643930851621673,36
Local-Global Centrality,0.00241241645744002,37
MCGM Values,0.002337695159142299,38
H Values,0.0022429224481948207,39
HVGc Index,0.001753982466502339,40
MDD Value,0.001684452540496402,41
Subgraph centrality,0.0015538624882606318,42
Density Centrality,0.0011407110496914638,43
K-Shell Value,0.0009626188878458224,44
DNC Scores,0.0009114558796202964,45
DIL Centrality,0.000436031751237217,46
Global Relative Change in Avg Degree,0.00028470960686409583,47
Degree Centrality,0.00021073698723347343,48
Constraint Coefficients,7.786978191625497e-05,49
Clustering Coefficient,7.2287136206489515e-06,50
