Starting Node,Average Spreading Ability
1,13.3
2,16.51
3,13.98
4,14.89
5,18.19
6,18.96
7,34.0
8,18.08
9,39.98
10,12.93
11,11.48
12,13.46
13,33.27
14,16.55
15,45.81
16,12.05
17,10.18
18,18.01
19,19.47
20,34.31
21,11.84
22,8.01
23,8.91
24,9.82
25,11.2
26,13.61
27,15.68
28,10.83
29,5.42
30,13.2
31,11.75
32,11.11
33,17.94
34,8.76
35,11.58
36,9.58
37,5.61
38,13.69
39,13.97
40,21.96
41,17.69
42,33.35
43,32.49
44,32.6
45,17.32
46,18.69
47,16.09
48,22.02
49,22.78
50,23.92
51,40.01
52,14.75
53,13.24
54,9.93
55,9.69
56,11.64
57,18.57
58,14.59
59,5.89
60,11.87
61,11.07
62,18.19
63,22.92
64,15.61
65,39.81
66,27.06
67,18.83
68,18.97
69,54.01
70,13.27
71,9.16
72,20.58
73,49.38
74,19.98
75,28.55
76,24.77
77,26.78
78,68.27
79,19.64
80,10.82
81,14.2
82,14.91
83,35.43
84,9.0
85,8.52
86,20.4
87,9.77
88,32.24
89,19.28
90,26.73
91,22.79
92,18.72
93,15.46
94,7.52
95,10.08
96,7.31
97,12.35
98,8.76
99,6.96
100,8.67
101,15.99
102,12.25
103,15.3
104,26.5
105,16.71
106,37.44
107,20.18
108,26.99
109,26.42
110,14.93
111,36.18
112,19.95
113,23.22
114,51.67
115,12.78
116,13.29
117,6.97
118,10.33
119,28.11
120,20.2
121,28.54
122,26.03
123,9.73
124,7.66
125,5.99
126,8.64
127,24.91
128,34.07
129,15.65
130,29.39
131,16.83
132,22.66
133,23.9
134,60.69
135,20.77
136,11.83
137,16.9
138,11.21
139,26.36
140,18.07
141,23.78
142,19.6
143,17.22
144,21.41
145,51.92
146,11.71
147,14.65
148,63.96
149,50.08
150,81.88
151,45.02
152,41.77
153,11.19
154,22.7
155,7.49
156,15.79
157,25.56
158,11.65
159,7.59
160,17.26
161,20.7
162,42.07
163,10.38
164,14.6
165,14.2
166,14.59
167,26.62
168,38.15
169,7.55
170,7.3
171,10.67
172,37.22
173,19.8
174,55.15
175,19.92
176,66.74
177,42.12
178,61.91
179,4.86
180,6.84
181,8.03
182,21.65
183,11.16
184,35.46
185,53.13
186,64.9
187,42.11
188,23.35
189,30.29
190,25.52
191,20.07
192,28.13
193,24.7
194,37.69
195,17.99
196,17.98
197,23.93
198,25.69
199,21.01
200,31.42
201,15.42
202,14.17
203,23.76
204,7.56
205,17.79
206,12.31
207,9.16
208,11.59
209,10.31
210,22.32
211,36.24
212,15.75
213,14.83
214,21.2
215,30.8
216,35.88
217,2.41
218,9.37
219,12.57
220,12.92
221,18.07
222,23.59
223,6.35
224,24.57
225,34.63
226,13.28
227,25.31
228,16.79
229,16.53
230,49.55
231,15.52
232,13.62
233,31.67
234,20.96
235,15.52
236,47.62
237,23.42
238,22.18
239,34.61
240,54.55
241,62.07
242,36.98
243,59.49
244,62.35
245,13.05
246,12.5
247,19.72
248,23.29
249,42.22
250,13.61
251,31.19
252,25.81
253,27.45
254,39.65
255,12.64
256,18.4
257,11.77
258,24.46
259,21.94
260,63.53
261,41.37
262,78.72
263,19.9
264,16.22
265,10.28
266,11.49
267,25.55
268,19.56
269,37.21
270,32.31
271,25.67
272,53.74
273,67.17
274,40.34
275,62.44
276,47.21
277,8.74
278,11.12
279,16.45
280,25.23
281,35.65
282,16.83
283,29.04
284,21.36
285,24.54
286,21.76
287,58.78
288,19.0
289,62.98
290,42.78
291,31.84
292,18.2
293,27.14
294,16.62
295,16.78
296,25.14
297,15.76
298,12.92
299,14.86
300,42.98
301,13.16
302,13.32
303,16.55
304,21.54
305,17.01
306,17.35
307,47.68
308,16.66
309,21.34
310,15.06
311,36.94
312,9.01
313,6.12
314,27.47
315,66.36
316,16.99
317,11.27
318,16.34
319,38.8
320,42.24
321,30.59
322,56.73
323,29.22
324,51.37
325,67.41
326,56.99
327,42.77
328,24.49
329,40.86
330,62.53
331,44.16
332,42.16
333,8.62
334,10.74
335,29.54
336,15.4
337,9.56
338,11.5
339,19.3
340,38.1
341,23.63
342,59.67
343,39.41
344,60.33
345,9.4
346,11.29
347,8.58
348,17.01
349,63.3
350,8.76
351,18.52
352,39.14
353,39.57
354,38.51
355,46.63
356,32.58
357,29.39
358,28.18
359,31.6
360,44.35
361,41.97
362,20.79
363,36.88
364,28.63
365,29.58
366,68.01
367,72.75
368,16.02
369,33.86
370,58.33
371,56.2
372,85.14
373,16.48
374,9.48
375,25.92
376,11.29
377,21.17
378,24.25
379,47.14
380,33.12
381,49.16
382,53.59
383,31.63
384,52.04
385,46.75
386,22.65
387,40.51
388,32.92
389,11.56
390,11.81
391,41.8
392,29.23
393,43.38
394,43.07
395,57.98
396,32.48
397,35.78
398,79.23
399,41.72
400,56.53
401,20.26
402,28.99
403,22.05
404,36.73
405,33.89
406,33.09
407,20.64
408,35.6
409,21.6
410,32.88
411,38.36
412,12.15
413,29.9
414,49.52
415,42.92
416,22.18
417,37.7
418,41.08
419,15.34
420,12.2
421,21.59
422,82.61
423,28.91
424,44.97
425,60.32
426,69.42
427,59.28
428,26.36
429,29.43
430,42.91
431,67.26
432,40.48
433,51.79
434,51.78
435,37.11
436,29.91
437,28.6
438,32.67
439,38.54
440,37.29
441,31.92
442,52.39
443,77.09
444,40.17
445,34.11
446,27.99
447,19.16
448,59.41
449,69.55
450,72.05
451,47.22
452,55.18
453,47.19
454,60.76
455,22.27
456,19.95
457,36.91
458,37.78
459,17.91
460,36.6
461,17.51
462,16.81
463,50.71
464,32.79
465,50.71
466,40.09
467,73.01
468,28.12
469,20.31
470,52.98
471,23.55
472,24.04
473,34.89
474,47.96
475,47.91
476,16.31
477,23.81
478,22.68
479,15.24
480,5.3
481,9.11
482,5.24
483,5.13
484,6.85
485,5.98
486,6.79
487,5.8
488,10.91
489,9.11
490,12.86
491,9.5
492,7.07
493,6.26
494,28.3
495,21.84
496,41.77
497,32.66
498,12.86
499,12.08
500,45.75
501,39.95
502,26.86
503,42.66
504,15.32
505,19.93
506,14.51
507,28.88
508,24.78
509,29.55
510,42.49
511,32.62
512,32.59
513,23.7
