Node,Relative Closeness,Rank
155,0.8453656920856604,1.0
97,0.7757128682718318,2.0
261,0.7641625815687892,3.0
342,0.6710188293357477,4.0
87,0.6614267362227422,5.0
372,0.658301831347285,6.0
1,0.6516889190670713,7.0
88,0.6245114636415957,8.0
4,0.6105959004520579,9.0
81,0.5866543305099676,10.0
14,0.5852374903186384,11.0
148,0.5736143272503761,12.0
22,0.5729729055393183,13.0
176,0.5568135166597966,14.0
208,0.5470232349421488,15.0
312,0.5260760638001732,16.0
210,0.5099413312809551,17.0
354,0.4929989036168923,18.0
151,0.4860730012858014,19.0
175,0.48498609585673336,20.0
84,0.4740433108412739,21.0
265,0.45895272996685466,22.0
197,0.4578814261548825,23.0
195,0.44966439767700295,24.0
227,0.4338144562920792,25.0
245,0.42416067936327506,26.0
260,0.41818439858149037,27.0
323,0.39812314461370446,28.0
3,0.39747914404016965,29.0
320,0.3852155642252867,30.0
225,0.3847699185592623,31.0
50,0.38139022829241703,32.0
302,0.37542435396393814,33.0
166,0.37487176197449257,34.0
280,0.37472824446166697,35.0
83,0.3694937768016459,36.0
355,0.36578563744835296,37.0
357,0.3606488519737121,38.0
165,0.35500301787171207,39.0
279,0.3538227605228999,40.0
157,0.3530218198397956,41.0
217,0.35205040317204556,42.0
273,0.3515669573937604,43.0
150,0.3473104962917824,44.0
242,0.3373342889092505,45.0
123,0.3358043966341497,46.0
62,0.33529402250831464,47.0
344,0.3217192516453361,48.0
156,0.32089879840061103,49.0
56,0.31965850099541104,50.0
193,0.3158908593730233,51.0
219,0.3121493811841818,52.0
28,0.3065626945881089,53.0
276,0.3058387247381276,54.0
21,0.3047415520461958,55.0
288,0.3047202293950998,56.0
58,0.3043276681042559,57.0
206,0.3036492089815484,58.0
25,0.30128959561129,59.0
153,0.2987091209269199,60.0
247,0.29818825846768765,61.0
68,0.29628179794938875,62.0
433,0.29586665025082065,63.0
82,0.29537949205607117,64.0
216,0.29416322815647616,65.0
259,0.29209130071651224,66.0
164,0.2901339261669088,67.0
198,0.28980586715644263,68.0
190,0.2892862659434981,69.0
465,0.28366798820917566,70.0
367,0.2833748298185389,71.0
387,0.2824682026252736,72.0
397,0.281851710592303,73.0
170,0.28081947108411365,74.0
311,0.2790218992466014,75.0
289,0.2780112804824959,76.0
59,0.2770030885876847,77.0
162,0.27236222483020933,78.0
228,0.27105240154015003,79.0
167,0.2675134156365494,80.0
163,0.2675134156365494,80.0
291,0.26685159885875165,81.0
220,0.26426480700039323,82.0
168,0.25927686204995776,83.0
149,0.25811171918394943,84.0
152,0.25766780453709837,85.0
201,0.25525889710210103,86.0
120,0.25296672219180333,87.0
10,0.25292469597026135,88.0
221,0.2524590933216405,89.0
7,0.24946111758360134,90.0
144,0.24906596676702353,91.0
262,0.24773596035965026,92.0
441,0.2471143978807408,93.0
238,0.24298578633100185,94.0
264,0.24225148756025278,95.0
214,0.24070258642754008,96.0
321,0.23986618855571043,97.0
209,0.2391410877711676,98.0
13,0.2391176878998934,99.0
246,0.23894831876457232,100.0
118,0.23818618115471446,101.0
192,0.23799127923956695,102.0
445,0.23313382512747793,103.0
169,0.2319910620510985,104.0
135,0.2306043537224559,105.0
134,0.2306043537224559,105.0
129,0.2306043537224559,105.0
104,0.2279624829322349,106.0
290,0.22618789483221624,107.0
111,0.22365451079546406,108.0
274,0.2228421272055233,109.0
203,0.22231197444444736,110.0
200,0.22016508833595283,111.0
26,0.21862816256707374,112.0
147,0.2185214543478574,113.0
300,0.21680127022039947,114.0
154,0.21639682662671805,115.0
27,0.2097804181314745,116.0
211,0.20866523606346565,117.0
252,0.20772120061447275,118.0
89,0.20687733303952258,119.0
330,0.20647293062701566,120.0
130,0.20547053957575823,121.0
133,0.20547053957575823,121.0
132,0.20547053957575823,121.0
131,0.20547053957575823,121.0
