Lambda,Kendall_Tau,P_Value
0.1206,0.6813043266334773,2.222243812519033e-22
0.1474,0.7099706487818919,2.9916297956279324e-24
0.1742,0.6963936211249927,2.130572529515539e-23
0.201,0.7078869522151912,3.2373033156504993e-24
0.2278,0.6986133240202324,1.2541968131566695e-23
0.2546,0.651809299279914,8.681948015820226e-21
0.2814,0.6797602687814955,1.686569698765629e-22
0.3082,0.6634389644694155,1.6540247662482146e-21
0.3351,0.6459439682804652,1.78327948720948e-20
0.3619,0.6448412984814204,2.0685289405587065e-20
