Starting Node,Average Spreading Ability
6,7.87
1,6.31
8,7.94
45,7.72
54,10.62
89,8.03
76,2.68
85,2.67
28,4.76
38,5.8
39,3.9
42,3.96
72,9.5
9,5.08
10,4.32
19,3.68
29,5.36
36,3.19
37,3.03
47,4.1
51,7.06
61,6.11
67,4.42
92,4.49
93,7.69
56,8.08
2,3.15
11,3.5
52,2.91
80,2.47
90,3.66
75,3.93
3,2.27
13,2.39
66,2.25
4,1.88
16,2.4
5,4.25
17,1.98
20,2.97
40,4.13
59,1.59
15,3.07
34,2.59
48,3.02
31,4.01
35,2.64
43,4.56
58,4.2
74,5.5
79,3.43
83,3.22
26,2.72
46,2.59
64,4.45
82,2.66
84,2.88
86,3.02
7,2.7
95,3.4
25,3.0
32,2.23
78,2.6
50,2.07
44,3.12
62,4.01
69,2.58
63,2.09
94,2.03
12,1.59
21,2.2
33,1.83
24,1.53
41,2.61
14,1.87
81,2.31
88,1.54
77,1.56
96,1.27
18,1.59
53,3.47
22,2.27
27,1.61
57,1.71
70,2.07
65,1.98
68,2.66
91,1.45
23,2.0
30,1.51
55,1.98
60,1.89
71,1.7
73,2.05
87,1.35
49,1.44
