Starting Node,Average Spreading Ability
1,2.87
2,2.54
3,2.03
4,3.85
5,2.91
6,2.36
7,5.22
8,2.76
9,3.6
10,2.15
11,2.73
12,3.43
13,4.66
14,2.82
15,5.14
16,3.65
17,3.47
18,3.91
19,2.87
20,3.88
21,4.63
22,1.93
23,2.89
24,2.38
25,3.29
26,2.7
27,3.82
28,2.93
29,3.28
30,3.05
31,2.85
32,2.5
33,2.54
34,1.38
35,1.74
36,1.99
37,1.58
38,3.27
39,2.3
40,1.94
41,2.56
42,3.12
43,3.5
44,1.9
45,1.76
46,2.51
47,1.91
48,1.82
49,3.79
50,1.31
51,1.33
52,2.99
53,1.99
54,1.73
55,1.65
56,1.23
57,1.1
58,1.24
59,1.39
60,1.44
61,1.81
62,1.49
