Starting Node,Average Spreading Ability
1,2.85
2,1.29
3,1.67
4,1.92
5,1.54
6,2.36
7,1.48
8,1.26
9,1.34
10,1.3
11,1.95
12,2.72
13,1.54
14,1.32
15,1.34
16,1.08
17,1.77
18,1.54
19,1.55
20,1.66
21,1.38
22,1.27
23,1.19
24,1.21
25,1.48
26,1.24
27,1.49
28,5.81
29,1.3
30,1.52
31,1.51
32,1.32
33,1.15
34,1.28
35,1.07
36,1.55
37,1.41
38,4.18
39,2.98
40,1.2
41,1.89
42,1.15
43,1.37
44,32.84
45,1.1
46,1.86
47,1.29
48,2.44
49,2.95
50,4.48
51,1.99
52,2.23
53,1.23
54,4.5
55,2.33
56,1.15
57,1.31
58,2.18
59,1.18
60,6.97
61,3.34
62,7.94
63,4.28
64,4.35
65,24.61
66,2.89
67,2.77
68,1.79
69,4.56
70,2.54
71,3.77
72,17.73
73,3.15
74,7.71
75,1.93
76,11.16
77,10.09
78,2.96
79,11.99
80,1.95
81,17.32
82,13.15
83,31.71
84,19.88
85,10.87
86,6.9
87,1.32
88,21.89
89,3.75
90,8.92
91,2.22
92,16.44
93,23.3
94,15.71
95,19.07
96,8.57
97,13.29
98,9.75
99,5.37
100,9.97
101,14.38
102,14.06
103,34.72
104,14.02
105,12.57
106,21.67
107,3.36
108,12.32
109,17.18
110,12.39
111,8.95
112,20.64
113,8.54
114,6.11
115,9.75
116,19.83
117,15.52
118,12.25
119,3.69
120,4.62
121,22.22
122,3.82
123,8.43
124,3.18
125,1.58
126,1.67
127,7.62
128,1.18
129,2.32
130,5.05
131,1.17
132,1.15
133,1.05
134,1.13
135,3.85
136,1.53
137,4.71
138,1.45
139,1.24
140,1.37
141,1.98
142,1.43
143,3.75
144,2.16
145,2.87
146,6.46
147,1.85
148,1.53
149,1.81
150,1.86
151,2.47
152,2.39
153,1.11
154,4.87
155,1.04
156,1.1
157,1.16
158,1.08
159,1.13
160,1.16
161,1.21
162,1.1
163,3.38
164,1.11
165,3.59
166,4.4
167,3.42
168,2.32
169,1.33
170,3.51
171,4.62
172,3.74
173,7.93
174,3.25
175,2.14
176,1.21
177,3.29
178,7.73
179,2.72
180,2.34
181,1.13
182,14.43
183,10.6
184,2.57
185,8.46
186,3.43
187,1.39
188,4.52
189,2.88
190,4.68
191,2.99
192,4.01
193,4.54
194,5.41
195,18.79
196,3.6
197,11.43
198,10.47
199,9.15
200,5.51
201,7.04
202,5.03
203,1.59
204,2.16
205,1.21
206,1.14
207,1.19
208,1.56
209,2.3
210,5.26
211,1.66
212,1.4
213,2.7
214,3.14
215,3.47
216,4.14
217,5.19
218,1.18
219,2.47
220,1.2
221,1.16
222,4.91
223,4.08
224,5.35
225,4.27
226,4.57
227,11.15
228,3.68
229,7.81
230,8.81
231,8.48
232,6.42
233,5.2
234,6.75
235,12.85
236,8.73
237,1.92
238,5.32
239,4.73
240,9.69
241,13.26
242,7.14
243,6.11
244,11.7
245,9.1
246,9.39
247,5.77
248,6.46
249,6.64
250,11.3
251,24.49
252,7.46
253,8.44
254,2.79
255,12.87
256,6.7
257,9.63
258,12.51
259,10.7
260,5.54
261,13.76
262,5.82
263,5.23
264,7.55
265,4.57
266,7.5
267,5.44
268,29.76
269,15.95
270,12.01
271,10.68
272,10.16
273,18.04
274,9.38
275,8.65
276,12.81
277,9.07
278,3.65
279,14.94
280,10.18
281,6.06
282,5.98
283,5.78
284,5.22
285,1.07
286,1.23
287,6.35
288,6.77
289,1.91
290,1.7
291,2.72
292,1.32
293,2.12
294,1.7
295,1.55
296,4.91
297,3.38
298,6.85
299,4.07
300,4.67
301,5.94
302,3.87
303,5.14
304,7.8
305,6.52
306,4.1
307,9.13
308,2.98
309,13.11
310,5.5
311,9.33
312,8.32
313,9.57
314,9.19
315,15.09
316,10.04
317,9.31
318,13.84
319,11.73
320,16.44
321,5.61
322,7.49
323,7.75
324,4.43
325,2.67
326,5.71
327,4.19
328,7.52
329,5.18
330,8.34
331,12.56
332,5.45
333,5.33
334,2.34
335,4.09
336,7.12
337,6.05
338,2.98
339,2.18
340,10.75
341,1.92
342,4.44
343,1.43
344,7.54
345,7.07
346,5.63
347,9.37
348,5.16
349,7.82
350,1.12
351,4.3
352,4.0
353,1.17
354,1.25
355,1.05
356,2.46
357,2.68
358,1.06
359,1.63
360,3.74
361,1.23
362,3.86
363,8.1
364,14.6
365,2.59
366,1.1
367,1.13
368,2.2
369,2.71
370,1.39
371,1.66
372,1.89
373,2.28
374,4.61
375,12.15
376,2.28
377,9.45
378,1.64
379,5.62
380,7.65
381,1.41
382,1.08
383,1.26
384,1.29
385,1.71
386,3.05
387,3.96
388,1.42
389,4.14
390,1.73
391,1.12
392,4.35
393,7.96
394,1.13
395,2.07
396,2.18
397,1.42
398,16.25
399,2.99
400,2.25
401,7.46
402,1.8
403,3.2
404,1.88
405,3.68
406,4.01
407,7.04
408,4.5
409,1.92
410,7.79
411,13.56
412,10.87
413,3.31
414,11.06
415,3.25
416,7.62
417,4.02
418,2.73
419,9.0
420,10.08
421,1.04
422,1.28
423,1.18
424,3.21
425,1.41
426,1.24
427,1.18
428,1.25
429,6.1
430,1.35
431,3.09
432,1.17
433,1.24
434,3.64
435,2.73
436,1.22
437,1.38
438,4.35
439,2.98
440,3.96
441,3.71
442,1.56
443,5.68
444,2.44
445,2.4
446,7.4
447,2.88
448,5.95
449,4.59
450,2.94
451,2.84
452,1.53
453,2.37
454,2.57
455,2.16
456,4.66
457,3.2
458,4.79
459,4.32
460,9.98
461,7.38
462,7.98
463,3.66
464,2.23
465,3.81
466,1.72
467,4.44
468,2.51
469,2.24
470,5.49
471,6.38
472,1.35
473,2.14
474,3.02
475,1.8
476,9.48
477,3.39
478,5.91
479,5.24
480,3.74
481,9.2
482,2.85
483,3.6
484,3.71
485,2.34
486,4.19
487,5.97
488,1.86
489,3.67
490,9.85
491,3.0
492,5.35
493,11.31
494,5.04
495,3.86
496,5.42
497,5.99
498,4.13
499,9.08
500,5.56
501,2.21
502,10.67
503,12.06
504,11.15
505,11.02
506,5.88
507,15.21
508,8.85
509,4.1
510,7.84
511,3.35
512,4.62
513,5.75
514,2.52
515,7.17
516,8.13
517,3.59
518,3.95
519,6.23
520,5.19
521,5.99
522,5.9
523,3.45
524,3.25
525,3.39
526,1.25
527,1.02
528,1.35
529,2.19
530,10.04
531,1.2
532,1.12
533,1.46
534,2.01
535,1.2
536,1.23
537,1.49
538,3.65
539,1.04
540,3.26
541,1.53
542,5.11
543,3.23
544,2.69
545,4.92
546,3.64
547,4.2
548,8.23
549,3.22
550,1.59
551,4.53
552,1.19
553,1.39
554,1.21
555,1.08
556,1.69
557,2.04
558,5.69
559,2.42
560,2.55
561,4.9
562,4.06
563,1.74
564,1.79
565,2.07
566,2.68
567,3.71
568,4.03
569,4.14
570,3.65
571,8.76
572,1.05
573,3.56
574,1.11
575,1.47
576,11.03
577,3.19
578,4.83
579,1.51
580,1.52
581,2.09
582,3.22
583,1.64
584,8.01
585,1.52
586,5.27
587,4.29
588,5.85
589,3.16
590,5.46
591,3.27
592,3.09
593,8.53
594,6.39
595,3.91
596,4.27
597,2.96
598,1.32
599,3.71
600,1.57
601,2.03
602,1.44
603,1.41
604,1.41
605,6.53
606,3.49
607,1.17
608,2.75
609,2.41
610,6.2
611,2.83
612,2.53
613,4.28
614,1.9
615,5.46
616,4.0
617,1.48
618,1.23
619,7.65
620,1.83
621,3.37
622,5.67
623,1.92
624,1.61
625,1.07
626,1.02
627,1.55
628,2.26
629,1.5
630,1.4
631,1.48
632,1.51
633,1.84
634,1.27
635,1.6
636,2.39
637,1.59
638,3.3
639,4.24
640,2.23
641,6.69
642,1.3
643,4.61
644,3.19
645,1.56
646,1.57
647,1.18
648,2.19
649,1.11
650,1.82
651,2.73
652,1.86
653,5.53
654,3.55
655,1.19
656,1.02
657,1.42
658,1.78
659,2.2
660,3.85
661,3.42
662,1.39
663,2.37
664,3.86
665,1.04
666,2.19
667,2.34
668,1.24
669,1.96
670,1.56
671,1.2
672,4.05
673,1.75
674,1.12
675,1.06
676,1.31
677,1.11
678,1.05
679,2.58
680,3.93
681,1.33
682,1.73
683,1.07
684,1.04
685,1.04
686,1.12
687,1.5
688,1.74
689,3.25
690,5.17
691,1.07
692,1.29
693,1.17
694,1.42
695,2.91
696,4.62
697,1.72
698,1.33
699,1.36
700,3.4
701,4.5
702,2.4
703,2.18
704,1.71
705,2.43
706,1.16
707,1.07
708,2.3
709,1.02
710,1.34
711,1.59
712,1.2
713,1.06
714,5.9
715,1.14
716,1.08
717,1.17
718,1.33
719,3.51
720,1.2
721,1.13
722,1.53
723,1.43
724,1.66
725,1.66
726,2.04
727,1.14
728,1.2
729,2.18
730,1.88
731,2.61
732,1.06
733,1.47
734,1.48
735,3.29
736,2.08
737,1.31
738,1.46
739,1.14
740,2.66
741,2.87
742,3.18
743,1.01
744,1.75
745,6.09
746,1.76
747,4.42
748,1.07
749,1.92
750,3.71
751,2.61
752,2.34
753,4.46
754,1.68
755,1.26
756,2.69
757,2.72
758,4.17
759,6.5
760,1.32
761,3.31
762,2.14
763,1.16
764,1.1
765,1.15
766,1.35
767,1.12
768,1.04
769,1.31
770,2.18
771,1.07
772,1.11
773,1.26
774,1.08
775,2.09
776,3.22
777,1.42
778,1.07
779,3.14
780,1.09
781,1.07
782,1.48
783,2.73
784,1.13
785,1.26
786,2.63
787,1.74
788,1.29
789,1.53
790,2.52
791,1.83
792,1.07
793,1.06
794,1.02
795,1.08
796,3.27
797,1.4
798,1.11
799,1.51
800,3.42
801,1.29
802,1.86
803,2.86
804,1.08
805,1.02
806,1.03
807,1.14
808,2.68
809,2.17
810,2.88
811,1.14
812,1.37
813,1.02
814,2.05
815,1.07
816,2.74
817,1.54
818,3.82
819,3.95
820,2.45
821,2.19
822,1.58
823,1.3
824,3.79
825,1.17
826,1.82
827,1.05
828,1.19
829,1.15
830,1.82
831,1.98
832,1.79
833,2.96
834,1.67
835,1.64
836,1.32
837,1.25
838,1.1
839,1.57
840,1.24
841,1.12
842,1.68
843,3.01
844,1.09
845,1.72
846,1.97
847,3.01
848,3.2
849,1.06
850,1.17
851,1.31
852,1.12
853,1.08
