Node,Relative Closeness,Rank
9,0.7310017656535281,1.0
12,0.7184294343407076,2.0
21,0.7147667063317532,3.0
8,0.6597648273735781,4.0
13,0.6501295653538959,5.0
24,0.6427623328950814,6.0
11,0.49797016854720166,7.0
3,0.49379084577282695,8.0
18,0.4574790098971191,9.0
17,0.4574790098971191,9.0
10,0.4379027361621894,10.0
22,0.4230027670665267,11.0
14,0.41955648087524966,12.0
15,0.4132811531551139,13.0
32,0.3837578934593868,14.0
7,0.3837578934593868,14.0
16,0.3834304120330176,15.0
2,0.3815930313570742,16.0
27,0.3815930313570742,16.0
31,0.3613837550139432,17.0
6,0.32879028037569685,18.0
30,0.30001544835186345,19.0
29,0.29948329590777734,20.0
25,0.2841347756398358,21.0
4,0.2841347756398358,21.0
5,0.27869925205651663,22.0
28,0.27869925205651663,22.0
1,0.25870866982271923,23.0
26,0.25870866982271923,23.0
23,0.25870866982271923,23.0
20,0.25541883042420704,24.0
19,0.25541883042420704,24.0
