Node,Relative Closeness,Rank
8,0.7983609870304169,1.0
24,0.775074819460539,2.0
38,0.7133401492310771,3.0
10,0.6503270217508308,4.0
36,0.6038210896764472,5.0
18,0.5928056940495908,6.0
30,0.5507061527698556,7.0
22,0.5499366951955746,8.0
28,0.5382630279261345,9.0
37,0.5324965960302016,10.0
19,0.5236006121910306,11.0
39,0.513651970824732,12.0
7,0.512674350511511,13.0
25,0.4925976762990824,14.0
11,0.4598491705152457,15.0
6,0.4440690945889442,16.0
40,0.4431680164953438,17.0
12,0.4314406880871363,18.0
15,0.4295947316794858,19.0
33,0.4206163710844794,20.0
41,0.4206163710844794,20.0
29,0.4045032551841555,21.0
5,0.3957464206584428,22.0
23,0.3686153449809127,23.0
31,0.3541401383113696,24.0
16,0.3516304325227922,25.0
3,0.3516304325227922,25.0
21,0.3509029631347207,26.0
9,0.3419083256178616,27.0
34,0.3386134651685468,28.0
42,0.3386134651685468,28.0
20,0.3338029878314361,29.0
26,0.3193257089909894,30.0
13,0.3154145453156092,31.0
32,0.309554652364,32.0
2,0.2933948074804501,33.0
27,0.2747039326520075,34.0
17,0.2653605776500393,35.0
4,0.2653605776500393,35.0
14,0.1814656871941763,36.0
35,0.1516770488097849,37.0
1,0.1334230646908475,38.0
