Node,Score,Rank
61,0.517194416,1.0
65,0.502723868,2.0
56,0.497531495,3.0
53,0.495829077,4.0
32,0.49412666,5.0
25,0.49412666,5.0
58,0.491317671,6.0
62,0.491317671,6.0
64,0.471910112,7.0
60,0.471910112,7.0
81,0.448161389,8.0
37,0.266087845,9.0
40,0.266087845,9.0
23,0.235699694,10.0
30,0.235699694,10.0
39,0.233656793,11.0
42,0.233656793,11.0
8,0.231358529,12.0
4,0.231358529,12.0
24,0.202247191,13.0
31,0.202247191,13.0
27,0.192543412,14.0
34,0.192543412,14.0
36,0.172114402,15.0
29,0.172114402,15.0
1,0.166496425,16.0
5,0.166496425,16.0
3,0.137895812,17.0
7,0.137895812,17.0
49,0.107252298,18.0
45,0.107252298,18.0
16,0.095505618,19.0
12,0.095505618,19.0
43,0.078907048,20.0
47,0.078907048,20.0
51,0.078736806,21.0
55,0.074480763,22.0
9,0.066649642,23.0
13,0.066649642,23.0
68,0.057924753,24.0
11,0.051327886,25.0
15,0.051327886,25.0
50,0.046475996,26.0
46,0.046475996,26.0
52,0.045965271,27.0
17,0.044688458,28.0
79,0.044688458,28.0
20,0.044688458,28.0
77,0.044688458,28.0
54,0.040517535,29.0
66,0.034090909,30.0
57,0.032005448,31.0
87,0.022514471,32.0
70,0.018130746,33.0
73,0.018130746,33.0
88,0.010597549,34.0
69,0.004085802,35.0
72,0.004085802,35.0
74,0.000255363,36.0
71,0.000255363,36.0
75,0.0,37.0
76,0.0,37.0
44,0.0,37.0
78,0.0,37.0
6,0.0,37.0
82,0.0,37.0
83,0.0,37.0
84,0.0,37.0
85,0.0,37.0
86,0.0,37.0
89,0.0,37.0
80,0.0,37.0
10,0.0,37.0
2,0.0,37.0
26,0.0,37.0
41,0.0,37.0
48,0.0,37.0
38,0.0,37.0
35,0.0,37.0
33,0.0,37.0
28,0.0,37.0
22,0.0,37.0
67,0.0,37.0
21,0.0,37.0
59,0.0,37.0
19,0.0,37.0
18,0.0,37.0
63,0.0,37.0
14,0.0,37.0
90,0.0,37.0
