Node,Score,Rank
28,0.127276976,1.0
24,0.122357612,2.0
26,0.120306342,3.0
518,0.119442481,4.0
23,0.118249588,5.0
21,0.115890377,6.0
25,0.115773251,7.0
22,0.115032341,8.0
20,0.114441191,9.0
657,0.113817307,10.0
288,0.11340468,11.0
18,0.112913916,12.0
649,0.112299777,13.0
542,0.110966389,14.0
541,0.110905835,15.0
611,0.110215228,16.0
517,0.110125258,17.0
632,0.109914003,18.0
682,0.109593545,19.0
599,0.109573785,20.0
1145,0.109280853,21.0
1199,0.109056539,22.0
848,0.109003935,23.0
747,0.108908138,24.0
776,0.108733425,25.0
1175,0.108632675,26.0
612,0.108632638,27.0
1174,0.108623096,28.0
1148,0.108336632,29.0
1151,0.108326636,30.0
1136,0.108290221,31.0
1138,0.108288534,32.0
1139,0.108287378,33.0
1141,0.108286862,34.0
1143,0.108286575,35.0
1134,0.108285224,36.0
1162,0.108275555,37.0
1131,0.108246451,38.0
1200,0.108233675,39.0
151,0.0962359,40.0
133,0.09567027,41.0
132,0.09566943,42.0
129,0.095667754,43.0
119,0.095666675,44.0
113,0.095662069,45.0
134,0.09565326,46.0
125,0.095623918,47.0
141,0.095623097,48.0
137,0.095622005,49.0
131,0.095619526,50.0
130,0.095618404,51.0
135,0.095617791,52.0
126,0.095615733,53.0
124,0.095613752,54.0
136,0.095613641,55.0
150,0.095612234,56.0
128,0.095610764,57.0
127,0.095610299,58.0
144,0.095608944,59.0
152,0.095588969,60.0
140,0.095577417,61.0
143,0.095577305,62.0
112,0.095576551,63.0
145,0.095574203,64.0
114,0.095571005,65.0
115,0.09556915,66.0
116,0.095568986,67.0
139,0.095568102,68.0
138,0.095567629,69.0
142,0.095567529,70.0
123,0.095564588,71.0
146,0.095563684,72.0
147,0.095563409,73.0
122,0.095562886,74.0
120,0.09556274,75.0
118,0.095562732,76.0
121,0.09556246,77.0
148,0.09554978,78.0
153,0.095537714,79.0
149,0.095537141,80.0
117,0.095529465,81.0
89,0.095106367,82.0
156,0.094518125,83.0
157,0.094509758,84.0
158,0.09450624,85.0
155,0.09446238,86.0
154,0.094460816,87.0
111,0.0938156,88.0
96,0.093803027,89.0
106,0.09380193,90.0
101,0.093793781,91.0
109,0.093645816,92.0
110,0.09364373,93.0
27,0.032954699,94.0
167,0.031246837,95.0
86,0.028338828,96.0
87,0.028338772,97.0
81,0.028338712,98.0
82,0.02833751,99.0
85,0.028337073,100.0
84,0.028334399,101.0
83,0.028333637,102.0
1,0.02594244,103.0
195,0.024413538,104.0
176,0.024153322,105.0
175,0.022082983,106.0
160,0.02170857,107.0
172,0.021687208,108.0
37,0.021314664,109.0
88,0.02022343,110.0
29,0.019777492,111.0
173,0.01932958,112.0
205,0.019319239,113.0
206,0.019283923,114.0
174,0.017101264,115.0
166,0.017060894,116.0
208,0.016856359,117.0
171,0.016851909,118.0
191,0.016466692,119.0
245,0.015259006,120.0
97,0.014901931,121.0
192,0.014859539,122.0
210,0.014718218,123.0
204,0.014715476,124.0
207,0.014703586,125.0
194,0.014553495,126.0
177,0.014349215,127.0
202,0.014341026,128.0
183,0.014227127,129.0
196,0.013989279,130.0
223,0.013843548,131.0
608,0.012497588,132.0
159,0.012053201,133.0
224,0.011978526,134.0
203,0.011953373,135.0
222,0.011951561,136.0
161,0.011924977,137.0
225,0.011876562,138.0
182,0.011744224,139.0
226,0.011518583,140.0
520,0.011190276,141.0
209,0.009647051,142.0
227,0.009613463,143.0
193,0.009496821,144.0
235,0.009418594,145.0
236,0.009298296,146.0
184,0.009021724,147.0
243,0.008961866,148.0
242,0.008724399,149.0
35,0.008267259,150.0
19,0.008105663,151.0
244,0.008041727,152.0
17,0.007568622,153.0
36,0.007371451,154.0
14,0.007227526,155.0
15,0.007207756,156.0
34,0.007157067,157.0
16,0.00708768,158.0
234,0.0066549,159.0
33,0.006610912,160.0
239,0.005716107,161.0
48,0.0056323,162.0
51,0.005500703,163.0
32,0.005238565,164.0
247,0.004894528,165.0
30,0.004856978,166.0
31,0.00485009,167.0
211,0.004807044,168.0
228,0.004785329,169.0
532,0.004718631,170.0
217,0.004652557,171.0
653,0.004615937,172.0
197,0.004590469,173.0
637,0.004574069,174.0
687,0.004532565,175.0
661,0.004527064,176.0
185,0.00450389,177.0
1036,0.004493392,178.0
1039,0.004463517,179.0
322,0.00444377,180.0
528,0.00443038,181.0
620,0.004425079,182.0
550,0.004410073,183.0
555,0.004405747,184.0
1048,0.004398362,185.0
753,0.004395254,186.0
1043,0.004394308,187.0
1052,0.004392642,188.0
1083,0.0043924,189.0
1124,0.004386224,190.0
1062,0.004372003,191.0
1029,0.004367541,192.0
780,0.00435807,193.0
989,0.004295699,194.0
991,0.004258903,195.0
516,0.004167071,196.0
214,0.004118931,197.0
199,0.004106134,198.0
231,0.004065184,199.0
1101,0.004042367,200.0
1104,0.004039923,201.0
535,0.004007031,202.0
237,0.003844118,203.0
536,0.0037491,204.0
232,0.003651127,205.0
219,0.003603427,206.0
1163,0.003600465,207.0
625,0.003588365,208.0
50,0.003518243,209.0
271,0.003493954,210.0
47,0.003489464,211.0
220,0.003450781,212.0
200,0.003442993,213.0
179,0.003416211,214.0
53,0.003408257,215.0
188,0.003391815,216.0
663,0.003391289,217.0
52,0.00332404,218.0
45,0.003291976,219.0
46,0.003280136,220.0
270,0.003266002,221.0
44,0.003185511,222.0
1046,0.003177789,223.0
664,0.003174103,224.0
552,0.00303779,225.0
918,0.003006357,226.0
557,0.002929371,227.0
215,0.002919754,228.0
49,0.002903756,229.0
273,0.002861933,230.0
221,0.002853581,231.0
847,0.00283511,232.0
216,0.002831753,233.0
689,0.002828864,234.0
693,0.002812828,235.0
250,0.0028068,236.0
720,0.002801621,237.0
238,0.002800562,238.0
822,0.002747969,239.0
233,0.00271114,240.0
168,0.002710699,241.0
180,0.002700793,242.0
553,0.002691348,243.0
251,0.002688812,244.0
189,0.002680332,245.0
249,0.002678497,246.0
324,0.002677201,247.0
248,0.002677008,248.0
1158,0.002673602,249.0
558,0.002654577,250.0
721,0.002651307,251.0
108,0.002639594,252.0
690,0.00263596,253.0
755,0.002623952,254.0
201,0.002614772,255.0
165,0.002599942,256.0
181,0.002595818,257.0
846,0.002588985,258.0
170,0.002586317,259.0
213,0.002581468,260.0
212,0.002581185,261.0
709,0.002573139,262.0
325,0.002571145,263.0
762,0.002567115,264.0
917,0.002561058,265.0
665,0.002552934,266.0
605,0.002547814,267.0
617,0.002541295,268.0
639,0.00254127,269.0
230,0.002537034,270.0
263,0.002536949,271.0
229,0.002531116,272.0
760,0.00252503,273.0
533,0.002520642,274.0
534,0.002518821,275.0
559,0.002510005,276.0
864,0.002498466,277.0
606,0.002494176,278.0
198,0.002493376,279.0
190,0.002491721,280.0
619,0.002481817,281.0
655,0.002480841,282.0
1149,0.002471156,283.0
1014,0.002467169,284.0
260,0.002461718,285.0
255,0.002453811,286.0
257,0.002453461,287.0
1137,0.002449302,288.0
782,0.002448748,289.0
178,0.002443828,290.0
218,0.002443,291.0
186,0.002426779,292.0
187,0.002424779,293.0
1152,0.002422879,294.0
1140,0.002414444,295.0
169,0.002413769,296.0
554,0.002408815,297.0
254,0.002408247,298.0
662,0.002403632,299.0
703,0.002399186,300.0
531,0.002397839,301.0
1150,0.002394776,302.0
323,0.002394575,303.0
1133,0.002394416,304.0
561,0.002388961,305.0
607,0.002387856,306.0
1142,0.002385803,307.0
107,0.002385324,308.0
1144,0.002377904,309.0
654,0.002367539,310.0
537,0.00236078,311.0
646,0.002360294,312.0
756,0.002359252,313.0
691,0.002356339,314.0
622,0.002343836,315.0
556,0.00234091,316.0
551,0.002339101,317.0
1176,0.002338988,318.0
1135,0.002337586,319.0
833,0.002328248,320.0
618,0.002326001,321.0
1153,0.00232546,322.0
529,0.00232496,323.0
530,0.002322507,324.0
638,0.002320556,325.0
604,0.002313059,326.0
688,0.002306011,327.0
1040,0.002303937,328.0
863,0.002299981,329.0
754,0.002296927,330.0
1103,0.002295615,331.0
781,0.002294604,332.0
1044,0.002291485,333.0
621,0.002291365,334.0
1033,0.002290477,335.0
