Starting Node,Average Spreading Ability
1,1.25
2,1.3
3,1.83
4,1.14
5,2.74
6,1.23
7,1.74
8,1.25
9,1.12
10,1.01
11,1.16
12,1.47
13,1.15
14,1.84
15,2.76
16,3.2
17,3.79
18,6.51
19,2.58
20,2.85
21,1.18
22,2.09
23,3.64
24,2.38
25,1.34
26,3.15
27,2.45
28,4.14
29,4.53
30,1.82
31,1.44
32,3.08
33,2.65
34,2.03
35,2.89
36,1.18
37,3.1
38,1.96
39,4.67
40,1.56
41,1.62
42,1.22
43,3.46
44,1.61
45,2.0
46,1.93
47,2.23
48,1.11
49,1.33
50,1.11
51,1.35
52,1.53
53,1.06
54,1.15
55,1.1
56,1.42
57,1.15
58,1.04
59,1.13
60,1.34
61,1.45
62,1.46
63,3.07
64,1.49
65,1.28
66,1.18
67,1.49
68,1.4
69,1.48
70,1.59
71,1.11
72,1.19
73,1.35
74,1.25
75,1.43
76,3.51
77,1.15
78,1.68
79,1.41
80,1.29
81,1.19
82,2.1
83,1.22
84,1.32
85,2.83
86,1.09
87,1.25
88,2.06
89,3.08
90,1.93
91,1.14
92,2.06
93,1.36
94,1.25
95,1.43
96,1.0
97,1.23
98,1.57
99,1.18
100,1.37
101,1.19
102,2.4
103,2.89
104,1.28
105,1.58
106,1.52
107,2.42
108,1.28
109,1.89
110,1.5
111,1.6
112,1.21
113,1.26
114,1.43
115,1.35
116,1.84
117,1.24
118,1.52
119,1.19
120,1.43
121,1.68
122,1.25
123,1.64
124,1.01
125,1.63
126,3.28
127,1.32
128,1.4
129,1.25
130,2.78
131,1.5
132,2.07
133,1.26
134,1.52
135,1.42
136,1.14
137,1.36
138,1.16
139,1.65
140,1.28
141,1.18
142,1.89
143,2.05
144,1.28
145,2.38
146,1.32
147,2.67
148,1.13
149,1.13
150,1.81
151,1.62
152,1.4
153,1.34
154,1.85
155,1.52
156,1.62
157,2.25
158,1.12
159,1.31
160,1.1
161,1.2
162,2.59
163,1.27
164,1.26
165,1.69
166,1.95
167,2.98
168,2.91
169,1.13
170,2.04
171,1.27
172,1.09
173,1.15
174,1.09
175,1.36
176,1.52
177,1.43
178,1.27
179,1.34
180,1.14
181,1.11
182,1.47
183,1.26
184,1.26
185,1.1
186,1.16
187,1.29
188,1.15
189,1.03
190,1.05
191,1.46
192,1.25
193,1.01
194,1.65
195,1.46
196,1.89
197,1.63
198,1.4
199,1.42
200,1.23
201,2.48
202,1.19
203,1.05
204,1.03
205,1.07
206,1.4
207,1.07
208,1.06
209,1.52
210,1.04
211,1.05
212,1.11
213,1.55
214,1.43
215,2.91
216,1.53
217,1.35
218,1.32
219,1.39
220,1.57
221,1.06
222,1.1
223,1.13
224,1.05
225,1.07
226,1.36
227,1.31
228,1.19
229,1.23
230,1.1
231,1.26
232,3.22
233,1.23
234,1.37
235,1.11
236,1.16
237,1.02
238,1.27
239,1.07
240,1.69
241,1.97
242,1.15
243,1.19
244,1.3
245,1.36
246,1.16
247,1.06
248,1.34
249,1.24
250,1.25
251,1.14
252,1.23
253,1.88
254,1.17
255,1.45
256,1.17
257,1.11
258,1.13
259,1.11
260,1.17
261,1.16
262,1.26
263,1.25
264,1.18
265,1.14
266,1.13
267,1.28
268,1.3
269,1.31
270,1.22
271,1.07
272,1.38
273,1.3
274,1.18
275,1.2
276,1.06
277,1.22
278,1.07
279,1.18
280,1.11
281,1.13
282,1.33
283,1.25
284,1.3
285,1.15
286,1.35
287,1.35
288,1.26
289,1.1
290,2.06
291,1.1
292,1.17
293,1.08
294,1.24
295,1.14
296,1.08
297,1.12
298,1.11
299,1.09
300,1.12
301,1.09
302,1.14
303,1.14
304,1.43
305,1.24
306,1.08
307,1.07
308,1.06
309,1.29
310,1.15
311,1.1
312,1.6
313,1.05
314,1.01
315,1.12
316,1.17
317,1.09
318,1.14
319,1.01
320,1.03
321,1.35
322,1.94
323,1.45
324,1.19
325,1.27
326,1.04
327,1.08
328,1.13
329,1.5
330,1.25
331,1.01
332,1.16
333,1.29
334,1.25
335,1.15
336,1.49
337,1.35
338,1.51
339,1.15
340,1.49
341,1.16
342,1.29
343,1.15
344,1.19
345,1.31
346,1.7
347,1.59
348,1.33
349,1.26
350,1.03
351,1.23
352,1.25
353,1.09
354,1.23
355,1.13
356,1.24
357,1.24
358,1.23
359,1.13
360,1.22
361,1.09
362,1.05
363,1.06
364,1.11
365,1.34
366,1.02
367,1.02
368,1.35
369,1.07
370,1.18
371,1.11
372,1.28
373,1.23
374,1.23
375,1.2
376,1.21
377,1.11
378,1.13
379,1.19
380,1.12
381,1.1
382,1.04
383,1.08
384,1.1
385,1.15
386,1.03
387,1.1
388,1.02
389,1.01
390,1.03
391,1.02
392,1.04
393,1.14
394,1.22
395,1.03
396,1.08
397,1.4
398,1.55
399,1.36
400,1.33
401,1.83
402,1.5
403,1.4
404,1.49
405,1.5
406,1.49
407,1.59
408,1.23
409,1.31
410,1.15
411,1.17
412,1.26
413,1.16
414,1.05
415,1.23
416,1.37
417,1.04
418,1.42
419,1.17
420,1.17
421,1.37
422,1.11
423,1.24
424,1.11
425,1.15
426,1.12
427,1.05
428,1.18
429,1.3
430,1.1
431,1.18
432,1.21
433,1.03
434,1.09
435,1.17
436,1.05
437,1.08
438,1.13
439,1.23
440,1.11
441,1.05
442,1.05
443,1.1
444,1.3
445,1.45
446,1.33
447,1.07
448,1.24
449,1.24
450,1.24
451,1.33
452,1.22
453,1.04
454,1.12
455,1.04
456,1.21
457,1.02
458,1.15
459,1.01
460,1.01
461,1.13
462,1.04
463,1.48
464,1.01
465,1.05
466,1.04
467,1.03
468,1.01
469,1.15
470,1.18
471,1.0
472,1.33
473,1.3
474,1.31
475,1.1
476,1.13
477,1.04
478,1.03
479,1.01
480,1.02
481,1.03
482,1.04
483,1.07
484,1.02
485,1.11
486,1.11
487,1.13
488,1.23
489,1.08
490,1.08
491,1.05
492,1.0
493,1.08
494,1.11
495,1.07
496,1.35
497,1.12
498,1.07
499,1.25
500,1.07
501,1.02
502,1.01
503,1.21
504,1.13
505,1.02
506,1.05
507,1.09
508,1.12
509,1.08
510,1.04
511,1.04
512,1.1
513,1.08
514,1.09
515,1.1
516,1.01
517,1.12
518,1.06
519,1.01
520,1.21
521,1.28
522,1.03
523,1.05
524,1.14
525,1.02
526,1.08
527,1.0
528,1.05
529,1.02
530,1.15
531,1.15
532,1.07
533,1.16
534,1.01
535,1.05
536,1.02
537,1.03
538,1.11
539,1.17
540,1.1
541,1.01
542,1.2
543,1.43
544,1.33
545,1.27
546,1.41
547,1.23
548,1.23
549,1.32
550,1.03
551,1.04
552,1.03
553,1.05
554,1.02
555,1.0
