Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,1,9.74E-05,0.006821626,163,62343.56005,1.59E+133,2057.757853,0.006166516,24676,3972504,0.006295865,0.000126824,0.986896917,163,70848.18351,52102.39786,3750752,4274349,4274349,79178,0.006134969,4274349,1,8453.772727,138.4,319.6319197,2,12,10587,0.078991622,1593184.579,26481.11794,-0.024393798,1.00703E+11,5.068742531,1949.197253,26223,70848.18351,1.0052E+12,324.2049111,11278808.61,26386,3985896,641594385.5,155,1450.561992,82164.70723,5.45E+67,-162.4992308,152
2,0.981595092,4.22E-05,-0.004365634,0,61847.10561,9.96E+131,2003.145164,0.006066561,24283,3912786,0.006067077,2.17E-05,0.993632075,162.3702244,68522.87878,51493.52288,3705950,4148520,4132640,77418,0.006024096,4210127,0.5,8183.636364,153.1,316.6046009,1.984954142,12,10427.6,0.077800841,1558713.401,25993.74086,-0.024472233,99141517930,4.975681278,1889.237826,26226,69045.34257,9.72463E+11,318.219752,11136485.13,25989,3941094,632732555.3,155,1417.880437,78692.27433,5.28E+67,-165.5593516,152
3,0.993865031,7.07E-05,0.002855517,0,62190.70766,6.33E+132,2039.728117,0.00613268,24555,3954300,0.006219602,8.66E-05,0.989954758,163.246543,70096.52603,51943.78905,3736958,4233586.5,4228686,78612,0.006097561,4254789,0.5,8363.25,146.1,318.8031532,1.995414235,12,10538.4,0.078628487,1581051.946,26318.65949,-0.024428384,1.00222E+11,5.037746558,1930.722491,26224,70257.71946,9.94887E+11,322.2079138,11238623.89,26265,3972254,639039530.3,155,1440.289813,80890.83804,5.40E+67,-163.5136411,152
4,1,9.74E-05,0.006821626,163,62343.56005,1.59E+133,2057.757853,0.006166516,24676,3972504,0.006295865,0.000126824,0.986896917,163,70848.18351,52102.39786,3750752,4274349,4274349,79178,0.006134969,4274349,1,8453.772727,138.4,319.6319197,2,12,10587,0.078991622,1593184.579,26481.11794,-0.024393798,1.00703E+11,5.068742531,1949.197253,26223,70848.18351,1.0052E+12,324.2049111,11278808.61,26386,3985896,641594385.5,155,1450.561992,82164.70723,5.45E+67,-162.4992308,152
5,1,9.74E-05,0.006821626,163,62343.56005,1.59E+133,2057.757853,0.006166516,24676,3972504,0.006295865,0.000126824,0.986896917,163,70848.18351,52102.39786,3750752,4274349,4274349,79178,0.006134969,4274349,1,8453.772727,138.4,319.6319197,2,12,10587,0.078991622,1593184.579,26481.11794,-0.024393798,1.00703E+11,5.068742531,1949.197253,26223,70848.18351,1.0052E+12,324.2049111,11278808.61,26386,3985896,641594385.5,155,1450.561992,82164.70723,5.45E+67,-162.4992308,152
6,1,9.74E-05,0.006821626,163,62343.56005,1.59E+133,2057.757853,0.006166516,24676,3972504,0.006295865,0.000126824,0.986896917,163,70848.18351,52102.39786,3750752,4274349,4274349,79178,0.006134969,4274349,1,8453.772727,138.4,319.6319197,2,12,10587,0.078991622,1593184.579,26481.11794,-0.024393798,1.00703E+11,5.068742531,1949.197253,26223,70848.18351,1.0052E+12,324.2049111,11278808.61,26386,3985896,641594385.5,155,1450.561992,82164.70723,5.45E+67,-162.4992308,152
7,1,9.74E-05,0.006821626,163,62343.56005,1.59E+133,2057.757853,0.006166516,24676,3972504,0.006295865,0.000126824,0.986896917,163,70848.18351,52102.39786,3750752,4274349,4274349,79178,0.006134969,4274349,1,8453.772727,138.4,319.6319197,2,12,10587,0.078991622,1593184.579,26481.11794,-0.024393798,1.00703E+11,5.068742531,1949.197253,26223,70848.18351,1.0052E+12,324.2049111,11278808.61,26386,3985896,641594385.5,155,1450.561992,82164.70723,5.45E+67,-162.4992308,152
8,1,9.74E-05,0.006821626,163,62343.56005,1.59E+133,2057.757853,0.006166516,24676,3972504,0.006295865,0.000126824,0.986896917,163,70848.18351,52102.39786,3750752,4274349,4274349,79178,0.006134969,4274349,1,8453.772727,138.4,319.6319197,2,12,10587,0.078991622,1593184.579,26481.11794,-0.024393798,1.00703E+11,5.068742531,1949.197253,26223,70848.18351,1.0052E+12,324.2049111,11278808.61,26386,3985896,641594385.5,155,1450.561992,82164.70723,5.45E+67,-162.4992308,152
9,1,9.74E-05,0.006821626,163,62343.56005,1.59E+133,2057.757853,0.006166516,24676,3972504,0.006295865,0.000126824,0.986896917,163,70848.18351,52102.39786,3750752,4274349,4274349,79178,0.006134969,4274349,1,8453.772727,138.4,319.6319197,2,12,10587,0.078991622,1593184.579,26481.11794,-0.024393798,1.00703E+11,5.068742531,1949.197253,26223,70848.18351,1.0052E+12,324.2049111,11278808.61,26386,3985896,641594385.5,155,1450.561992,82164.70723,5.45E+67,-162.4992308,152
10,0.987730061,5.86E-05,-0.000671983,0,62015.11691,2.51E+132,2021.336879,0.006099754,24416,3933094,0.00614334,2.84E-05,0.991537267,163.2554336,69298.2174,51706.28207,3721112,4190588.5,4180043,78008,0.006060606,4231969,0.5,8273.204545,150.2,317.6859888,1.990070492,12,10481.8,0.078205915,1570085.541,26156.19963,-0.024447021,99670632702,5.00669113,1909.475629,26225,69645.12604,9.83458E+11,320.2156525,11185664.68,26124,3956332,635772793.5,155,1428.885248,79818.96189,5.34E+67,-164.5331349,152
