Lambda,Kendall_Tau,P_Value
0.0115,0.6959282743050929,1.4297257298954927e-77
0.0141,0.7101756789048422,2.830091496660165e-81
0.0167,0.727992969651394,9.094568565083034e-86
0.0192,0.7381723720785656,2.102154550625091e-88
0.0218,0.751852763020225,5.8348661974550306e-92
0.0243,0.7509100950550117,6.312660911863611e-92
0.0269,0.772641196363084,2.3057386920518347e-97
0.0295,0.7810233363927259,1.558723848819564e-99
0.032,0.7759468555051467,2.1749621883978425e-98
0.0346,0.7912176974824637,2.9712199072108636e-102
