Starting Node,Average Spreading Ability
8,29.87
1,28.65
35,43.46
46,33.22
60,60.11
89,26.2
95,47.65
98,43.01
99,54.85
100,49.13
101,48.75
110,51.0
118,39.53
121,42.52
131,54.37
132,57.59
136,60.86
142,40.12
154,46.9
168,61.87
171,51.26
174,47.96
24,27.39
42,18.11
74,22.76
78,32.44
81,40.31
103,34.49
104,22.5
108,51.97
159,10.38
15,11.11
16,10.5
20,20.86
43,37.88
48,10.38
80,21.08
91,27.49
105,52.72
107,39.52
182,29.82
32,42.35
33,40.29
40,33.83
44,40.32
58,33.74
62,37.9
63,41.47
64,34.51
65,43.01
66,44.58
68,24.22
106,41.64
109,40.61
122,45.81
123,33.97
135,42.98
166,22.09
170,47.77
179,39.54
187,16.69
50,30.14
183,41.97
7,56.58
10,37.13
12,23.3
14,29.17
18,37.49
19,33.56
23,18.79
31,30.7
36,38.27
49,41.0
52,11.69
53,46.55
54,44.42
55,33.07
56,41.28
57,43.35
61,41.86
69,47.46
70,56.93
72,10.68
83,53.9
88,38.35
93,35.41
94,38.08
111,42.61
112,26.44
114,40.17
125,39.49
127,32.95
129,32.43
130,41.49
141,27.42
146,41.44
150,44.35
151,34.49
158,48.87
161,40.93
164,58.46
190,29.31
192,48.14
193,31.29
194,53.61
195,45.5
196,50.09
197,40.29
71,33.04
87,25.77
137,21.8
188,15.03
22,26.84
67,31.77
178,42.7
59,18.47
73,28.52
82,13.74
143,21.59
139,22.68
84,19.34
134,11.25
9,26.21
116,19.89
117,18.51
153,35.81
2,6.75
96,40.16
185,23.94
186,20.44
5,36.03
149,49.75
177,24.47
115,4.54
3,2.85
148,2.18
152,1.17
157,1.19
167,34.0
172,23.41
4,15.07
13,17.09
25,7.82
26,20.04
27,13.23
28,24.62
29,27.04
37,5.09
39,4.36
51,15.56
76,17.12
86,26.47
90,29.05
92,6.11
124,13.41
126,19.43
128,29.95
140,29.83
144,15.25
147,35.94
163,14.68
181,5.96
198,13.55
47,2.48
75,18.58
77,23.56
79,13.02
85,17.02
97,18.68
102,18.56
133,4.18
138,20.51
145,3.89
155,14.82
156,17.41
169,23.56
173,23.55
176,24.39
184,18.49
189,27.86
191,25.25
21,2.08
41,10.45
45,7.74
11,24.45
38,23.47
162,16.62
113,19.89
17,2.42
175,21.24
160,2.09
180,1.21
6,1.11
34,7.38
165,1.15
119,12.98
30,1.02
120,1.01
