Node,Score,Rank
7,0.00591716,1.0
32,0.00591716,1.0
8,0.005882353,2.0
31,0.005882353,2.0
6,0.005747126,3.0
9,0.005714286,4.0
28,0.005524862,5.0
5,0.005524862,5.0
21,0.005434783,6.0
22,0.005376344,7.0
30,0.005263158,8.0
10,0.005181347,9.0
12,0.005076142,10.0
11,0.005050505,11.0
29,0.004950495,12.0
13,0.004694836,13.0
14,0.004672897,14.0
4,0.004608295,15.0
25,0.004608295,15.0
15,0.004310345,16.0
3,0.004273504,17.0
16,0.003937008,18.0
27,0.003921569,19.0
2,0.003921569,19.0
24,0.003597122,20.0
18,0.003584229,21.0
17,0.003584229,21.0
1,0.003267974,22.0
26,0.003267974,22.0
23,0.003267974,22.0
20,0.003257329,23.0
19,0.003257329,23.0
