Node,Relative Closeness,Rank
24,0.7345446239458416,1.0
9,0.6771306375075029,2.0
21,0.6725950829033296,3.0
12,0.6496071065735235,4.0
8,0.6188040256251319,5.0
13,0.5992920260627446,6.0
3,0.5157375140463851,7.0
17,0.4895340843572079,8.0
18,0.4895340843572079,8.0
11,0.4132363843879011,9.0
16,0.406795026091362,10.0
15,0.3967225397945964,11.0
27,0.3719242693798201,12.0
2,0.3719242693798201,12.0
14,0.3565056982855846,13.0
10,0.340509371424842,14.0
22,0.3225289716138553,15.0
31,0.3217086944484077,16.0
1,0.3181590885562025,17.0
26,0.3181590885562025,17.0
23,0.3181590885562025,17.0
6,0.3105042404197559,18.0
20,0.3095517470311348,19.0
19,0.3095517470311348,19.0
29,0.3080269053619315,20.0
30,0.30416261435449,21.0
7,0.2819130097189866,22.0
32,0.2819130097189866,22.0
25,0.2617687288984718,23.0
4,0.2617687288984718,23.0
5,0.233256867889457,24.0
28,0.233256867889457,24.0
