Node,Relative Closeness,Rank
8,0.0474397768900642,1.0
18,0.0460703178770951,2.0
19,0.044436117354621,3.0
38,0.0372023437219666,4.0
7,0.0338679360117045,5.0
24,0.0329228469784656,6.0
22,0.0318162988280742,7.0
39,0.031721002106945,8.0
41,0.03072585589431,9.0
33,0.03072585589431,9.0
30,0.0297261418130438,10.0
10,0.0295552452398117,11.0
4,0.0263348748676762,12.0
17,0.0263348748676762,12.0
42,0.0261540792413428,13.0
34,0.0261540792413428,13.0
15,0.0238938843854648,14.0
16,0.0233772846904448,15.0
3,0.0233772846904448,15.0
6,0.0228926218761453,16.0
36,0.0228738301103185,17.0
21,0.021746436711559,18.0
40,0.0208577719137982,19.0
37,0.0202699328091738,20.0
5,0.0200617707097984,21.0
11,0.0197832593314858,22.0
2,0.0190786586814293,23.0
31,0.0187089387711384,24.0
25,0.0182025617634979,25.0
28,0.0179908094968974,26.0
29,0.0178089480309369,27.0
32,0.0177725824941391,28.0
20,0.0166556035353661,29.0
12,0.0155232046181937,30.0
9,0.015341199693048,31.0
23,0.0148262874863848,32.0
27,0.0146274071113987,33.0
13,0.0130500863519576,34.0
26,0.0130500863519576,34.0
1,0.0123795360495493,35.0
35,0.0123553594015297,36.0
14,0.0123070061054906,37.0
