Starting Node,Average Spreading Ability,Node,Rank
1,10.96,1,67.0
2,11.84,2,61.0
3,17.0,3,31.0
4,11.13,4,65.0
5,7.94,5,87.0
6,21.02,6,9.0
7,21.39,7,6.0
8,22.16,8,4.0
9,23.03,9,2.0
10,21.44,10,5.0
11,14.75,11,42.0
12,16.71,12,32.0
13,17.0,13,31.0
14,19.83,14,15.0
15,14.54,15,44.0
16,17.57,16,23.0
17,16.7,17,33.0
18,17.06,18,30.0
19,13.53,19,51.0
20,16.35,20,35.0
21,18.75,21,17.0
22,12.35,22,59.0
23,15.74,23,36.0
24,19.52,24,16.0
25,17.16,25,28.0
26,18.22,26,20.0
27,17.27,27,27.0
28,18.2,28,21.0
29,12.71,29,55.0
30,17.1,30,29.0
31,14.52,31,45.0
32,21.32,32,8.0
33,7.34,33,92.0
34,6.9,34,99.0
35,6.93,35,97.0
36,5.48,36,114.0
37,5.24,37,116.0
38,13.82,38,50.0
39,12.53,39,57.0
40,18.32,40,19.0
41,9.25,41,75.0
42,8.87,42,78.0
43,20.96,43,10.0
44,17.75,44,22.0
45,22.62,45,3.0
46,21.37,46,7.0
47,20.27,47,12.0
48,15.55,48,38.0
49,15.17,49,40.0
50,12.66,50,56.0
51,12.03,51,60.0
52,17.52,52,24.0
53,11.83,53,62.0
54,20.33,54,11.0
55,4.72,55,119.0
56,4.86,56,118.0
57,3.82,57,121.0
58,5.42,58,115.0
59,6.81,59,101.0
60,10.63,60,71.0
61,11.16,61,64.0
62,8.16,62,83.0
63,19.94,63,14.0
64,11.79,64,63.0
65,12.66,65,56.0
66,17.34,66,26.0
67,10.82,67,69.0
68,20.12,68,13.0
69,6.79,69,102.0
70,6.28,70,107.0
71,7.61,71,91.0
72,6.01,72,110.0
73,6.86,73,100.0
74,10.83,74,68.0
75,9.58,75,73.0
76,7.88,76,88.0
77,14.14,77,48.0
78,8.99,78,76.0
79,7.99,79,85.0
80,10.28,80,72.0
81,8.51,81,81.0
82,9.52,82,74.0
83,23.76,83,1.0
84,6.91,84,98.0
85,8.56,85,79.0
86,6.39,86,105.0
87,8.95,87,77.0
88,7.74,88,90.0
89,7.97,89,86.0
90,8.5,90,82.0
91,14.98,91,41.0
92,16.66,92,34.0
93,13.13,93,53.0
94,12.51,94,58.0
95,7.06,95,95.0
96,5.16,96,117.0
97,6.61,97,104.0
98,8.06,98,84.0
99,6.05,99,109.0
100,6.36,100,106.0
101,17.42,101,25.0
102,18.73,102,18.0
103,14.44,103,47.0
104,10.66,104,70.0
105,15.64,105,37.0
106,5.7,106,112.0
107,6.72,107,103.0
108,5.8,108,111.0
109,8.55,109,80.0
110,15.19,110,39.0
111,2.79,111,122.0
112,13.2,112,52.0
113,13.89,113,49.0
114,14.61,114,43.0
115,7.18,115,93.0
116,7.11,116,94.0
117,4.46,117,120.0
118,6.96,118,96.0
119,12.73,119,54.0
120,11.09,120,66.0
121,14.51,121,46.0
122,6.11,122,108.0
123,7.82,123,89.0
124,5.66,124,113.0
125,5.48,125,114.0
