Node,Relative Closeness,Rank
10,0.781715483274361,1.0
83,0.7245764981065437,2.0
54,0.7218075175825295,3.0
24,0.6388109289259464,4.0
32,0.6230013287876851,5.0
68,0.6158723980425246,6.0
14,0.579741194901098,7.0
9,0.5723389858447776,8.0
45,0.5622774411753555,9.0
47,0.5592028667608958,10.0
8,0.543606682349422,11.0
43,0.5314558766314142,12.0
46,0.5272953979496441,13.0
6,0.521308140434216,14.0
3,0.5138640255861987,15.0
7,0.505679038690408,16.0
40,0.5012066419577781,17.0
44,0.500994695632479,18.0
18,0.4728889043367302,19.0
17,0.4713126993223913,20.0
26,0.4372700940394365,21.0
25,0.43453545349511574,22.0
27,0.4318715090575613,23.0
63,0.4258501680041522,24.0
28,0.40078010171128353,25.0
49,0.3979492972535769,26.0
88,0.3979041285269976,27.0
77,0.3910150284744231,28.0
85,0.3907029970346306,29.0
89,0.3869929333837712,30.0
12,0.38583555137596365,31.0
1,0.38015988444358717,32.0
52,0.3798737450051115,33.0
114,0.3793447763727568,34.0
23,0.37838924798446283,35.0
21,0.3758838961331873,36.0
105,0.3743183378766395,37.0
16,0.37001932530636056,38.0
13,0.3691141366388862,39.0
38,0.36764340193725864,40.0
48,0.36738048219734903,41.0
102,0.3638722339480621,42.0
101,0.36314812935807017,43.0
121,0.36160745661378757,44.0
30,0.361566245169644,45.0
94,0.36148865598409835,46.0
66,0.3586647326112857,47.0
22,0.35498767442935664,48.0
19,0.35384043849344804,49.0
20,0.35367666924130936,50.0
2,0.353598136877813,51.0
92,0.35308312958632593,52.0
82,0.34685594405240233,53.0
110,0.34638044095791076,54.0
39,0.3418594637867485,55.0
74,0.3415707745910058,56.0
11,0.3414642601976107,57.0
4,0.33923552488520686,58.0
15,0.33659733910485096,59.0
81,0.3358303966237094,60.0
64,0.33223485925365576,61.0
50,0.3313426994444567,62.0
41,0.3283660728419431,63.0
75,0.32804836698227346,64.0
5,0.32773689807289474,65.0
79,0.32716872027532984,66.0
93,0.3269732994573878,67.0
91,0.3240093702170707,68.0
65,0.3226201169432298,69.0
51,0.32212722266270327,70.0
78,0.32049788794373657,71.0
98,0.31809042047194375,72.0
42,0.31773099379777925,73.0
103,0.3174609772725858,74.0
76,0.31737890914900757,75.0
104,0.31692090365534326,76.0
113,0.3168478352096291,77.0
119,0.31613387422339,78.0
112,0.31587000554599376,79.0
80,0.31580545557365575,80.0
120,0.31345397365872857,81.0
100,0.30995260833036725,82.0
107,0.3089231504764833,83.0
123,0.308528761016173,84.0
60,0.3068069349091116,85.0
87,0.306546998867807,86.0
99,0.3031353103969737,87.0
109,0.30157051792700545,88.0
125,0.3011297883220879,89.0
97,0.2974985810228003,90.0
84,0.29578606408210173,91.0
108,0.29548624109238597,92.0
124,0.29499052205650794,93.0
96,0.2929196203169365,94.0
90,0.29123879084827187,95.0
106,0.29050453290823247,96.0
122,0.2899511968993681,97.0
35,0.2898891403745821,98.0
95,0.28940770866144505,99.0
86,0.2873973404328929,100.0
37,0.2865170409779231,101.0
73,0.28589662111445,102.0
61,0.2854763172845852,103.0
36,0.28341179145037904,104.0
72,0.2827180119100904,105.0
34,0.2812226491397967,106.0
33,0.2803891056459747,107.0
70,0.2803548936451008,108.0
71,0.27884609066374766,109.0
69,0.2788398714210101,110.0
62,0.2664603206586917,111.0
116,0.24906711297965195,112.0
118,0.23316402768869587,113.0
117,0.21872367648503352,114.0
115,0.2058343591557198,115.0
29,0.20314690703599975,116.0
59,0.1945513373820686,117.0
58,0.18509599930118947,118.0
31,0.18116283670029926,119.0
53,0.1802066421834695,120.0
67,0.17927448039166646,121.0
56,0.17758721360346777,122.0
57,0.17614150755434776,123.0
55,0.17230646262956054,124.0
111,0.021278615345132316,125.0
