Node,Relative Closeness,Rank
10,0.8394183789388485,1.0
83,0.7632683280783578,2.0
54,0.7582119481516423,3.0
32,0.6899599814814075,4.0
68,0.6795189019338167,5.0
9,0.6583549651826143,6.0
45,0.6520208399066459,7.0
47,0.6480148872729,8.0
8,0.6266459183298762,9.0
24,0.6233385482887114,10.0
14,0.5994584609928832,11.0
43,0.5950209015656597,12.0
46,0.589951147095786,13.0
6,0.5786899715511514,14.0
3,0.5639405880054916,15.0
7,0.5571482166439244,16.0
40,0.5435610402934639,17.0
44,0.5432949451003914,18.0
18,0.512203503421253,19.0
17,0.5090012503541035,20.0
28,0.5081114259607632,21.0
63,0.5076204841589231,22.0
26,0.4683439734426079,23.0
52,0.4651057242170495,24.0
25,0.4599348849954546,25.0
27,0.4556386718615047,26.0
49,0.4526608305344616,27.0
77,0.441162518466783,28.0
102,0.4362424889464871,29.0
101,0.4352282937343285,30.0
12,0.4348349937912094,31.0
30,0.4300551640224066,32.0
66,0.4251285529421289,33.0
114,0.4236275181524481,34.0
23,0.4203039499335737,35.0
16,0.4147544025445636,36.0
13,0.4145112982735107,37.0
21,0.4142976916820315,38.0
92,0.4085368224943552,39.0
105,0.4074914419211561,40.0
1,0.4072082299611261,41.0
110,0.3983753158514307,42.0
38,0.3944567525371425,43.0
48,0.3941280374358245,44.0
22,0.3870006270348969,45.0
94,0.3858564222647191,46.0
20,0.3849087325739468,47.0
11,0.3840905522176762,48.0
121,0.3807382160849742,49.0
19,0.3789145963311442,50.0
88,0.374907333493477,51.0
85,0.36298933712829,52.0
2,0.3590427983172175,53.0
89,0.358308097811153,54.0
15,0.3578297337078185,55.0
82,0.3530068019123368,56.0
39,0.3473939197435111,57.0
74,0.3470189330633849,58.0
64,0.3456203787410684,59.0
91,0.3451190049953045,60.0
50,0.3446495706120435,61.0
103,0.3405850327755002,62.0
93,0.3392673993125019,63.0
119,0.3360951320168056,64.0
81,0.3356763205837762,65.0
4,0.3334007131840986,66.0
60,0.3326445083993262,67.0
112,0.3321565092104646,68.0
51,0.3280959392335399,69.0
65,0.3278980053284407,70.0
104,0.3239584807731228,71.0
79,0.3234051926969324,72.0
41,0.3222678600947372,73.0
113,0.3218845833826064,74.0
75,0.3218402241702142,75.0
5,0.3153213511791448,76.0
78,0.315312470694124,77.0
120,0.3143822386331538,78.0
80,0.311677136276457,79.0
42,0.3047636003385344,80.0
76,0.3042746148729199,81.0
98,0.3007683398330713,82.0
61,0.3000786773165134,83.0
87,0.2934544573313217,84.0
107,0.2907995537481906,85.0
123,0.2902355539993461,86.0
100,0.2887996692609276,87.0
109,0.2793918583615444,88.0
99,0.2790384922733171,89.0
84,0.2788480421688992,90.0
125,0.2787402572823164,91.0
90,0.276925603643454,92.0
62,0.274763618580799,93.0
29,0.2724228500710181,94.0
97,0.2712567076609479,95.0
35,0.2710448645851303,96.0
108,0.2701437809017452,97.0
124,0.2693831155952157,98.0
96,0.2653272572355339,99.0
86,0.2630136727757078,100.0
106,0.2627709007847461,101.0
122,0.2618786086859189,102.0
95,0.2615915934660536,103.0
37,0.2571109047656078,104.0
73,0.2560438965956105,105.0
33,0.2538788350014476,106.0
36,0.2530627812491023,107.0
71,0.2528871710823926,108.0
116,0.2525225161319145,109.0
72,0.2517525640383424,110.0
34,0.2509948798347132,111.0
70,0.2489926066665935,112.0
69,0.2481797791214723,113.0
118,0.232519700960667,114.0
53,0.2290769703361687,115.0
31,0.2289225037960791,116.0
67,0.2256014684334142,117.0
117,0.2144468661070424,118.0
115,0.1982083180823121,119.0
59,0.1837450983620725,120.0
58,0.1712032093612418,121.0
56,0.1604461969900875,122.0
57,0.1576450121777812,123.0
55,0.1498153237997959,124.0
111,0.0581739951811901,125.0
