Node,Relative Closeness,Rank
29,0.8959340034020553,1.0
1,0.8822026891182738,2.0
36,0.8601782310875599,3.0
3,0.8491288726921266,4.0
80,0.8461454821825366,5.0
82,0.8308696109005961,6.0
4,0.8227842502906889,7.0
34,0.8171366295833005,8.0
37,0.7567866046398833,9.0
64,0.737850707147399,10.0
5,0.7086335766408143,11.0
11,0.699981100477849,12.0
39,0.6938924942789833,13.0
79,0.6756945507743126,14.0
16,0.6716215950213057,15.0
81,0.6650754591280916,16.0
2,0.656017548028465,17.0
55,0.6470867258757103,18.0
41,0.6435181185467002,19.0
40,0.6389967134939429,20.0
13,0.6288273685679678,21.0
20,0.6263144354282577,22.0
53,0.6043816732688133,23.0
7,0.593957712683877,24.0
38,0.5898919439934797,25.0
9,0.581774191782013,26.0
45,0.577131011608041,27.0
23,0.5656049282482366,28.0
12,0.5647375584555192,29.0
31,0.560214852291041,30.0
18,0.5588170248247719,31.0
8,0.5502493963444354,32.0
57,0.5498912493448624,33.0
22,0.5356327544889407,34.0
52,0.5331660841573883,35.0
43,0.5325221901084778,36.0
15,0.5247523409556482,37.0
6,0.5118929018403252,38.0
26,0.5062651161097833,39.0
21,0.4963932516843377,40.0
56,0.4957430754523355,41.0
67,0.4930768769066486,42.0
30,0.4911380761806579,43.0
61,0.4810266941105074,44.0
42,0.4768145105205502,45.0
25,0.4699476638568793,46.0
76,0.4669451544893445,47.0
66,0.4669451544893445,47.0
14,0.4647710385911044,48.0
24,0.4296871944635407,49.0
58,0.4200620255514311,50.0
59,0.4200620255514311,50.0
69,0.388157076834397,51.0
63,0.3681427555458111,52.0
17,0.3648797751475985,53.0
48,0.3548071012353614,54.0
28,0.3457303855857747,55.0
35,0.3283586174770442,56.0
70,0.3039793586678743,57.0
65,0.2978699825064318,58.0
83,0.2824628049883232,59.0
49,0.2741700588469446,60.0
60,0.2498025763060143,61.0
33,0.2491749168844208,62.0
10,0.2477133892254017,63.0
75,0.2425869008850209,64.0
62,0.2091444248755309,65.0
46,0.2081955655272875,66.0
47,0.2081955655272875,66.0
19,0.2078753504268737,67.0
54,0.2044961598170318,68.0
44,0.1978018322166612,69.0
27,0.1954057788935917,70.0
74,0.1575158062491502,71.0
73,0.1575158062491502,71.0
32,0.1485365541197948,72.0
68,0.1376158406084048,73.0
78,0.1376158406084048,73.0
71,0.090770957610704,74.0
72,0.090770957610704,74.0
51,0.0518496762701719,75.0
50,0.0518496762701719,75.0
77,0.0513631236867806,76.0
