Starting Node,Average Spreading Ability
1,14.41
2,12.62
3,11.54
4,12.82
5,13.53
6,10.67
7,10.84
8,9.86
9,10.02
10,7.93
11,11.67
12,10.2
13,10.68
14,9.8
15,10.65
16,13.93
17,8.67
18,10.75
19,6.38
20,11.51
21,10.19
22,9.58
23,10.38
24,8.45
25,7.98
26,9.07
27,6.25
28,8.91
29,14.36
30,7.2
31,10.54
32,5.8
33,7.11
34,14.11
35,11.39
36,13.1
37,11.61
38,11.29
39,11.07
40,11.15
41,10.34
42,10.1
43,11.31
44,5.99
45,8.81
46,5.59
47,6.66
48,7.95
49,6.32
50,4.84
51,4.72
52,9.68
53,10.82
54,7.94
55,11.52
56,10.0
57,9.75
58,8.93
59,9.41
60,5.45
61,8.68
62,7.22
63,7.42
64,12.75
65,8.66
66,7.79
67,7.49
68,6.38
69,8.92
70,7.73
71,4.11
72,4.75
73,5.65
74,5.23
75,6.49
76,8.21
77,4.18
78,6.73
79,13.98
80,13.37
81,13.56
82,14.21
83,9.54
