Node,Score,Rank
1,0.033707865,1.0
25,0.033707865,1.0
29,0.033707865,1.0
30,0.033707865,1.0
32,0.033707865,1.0
68,0.033707865,1.0
34,0.033707865,1.0
66,0.033707865,1.0
36,0.033707865,1.0
37,0.033707865,1.0
65,0.033707865,1.0
40,0.033707865,1.0
62,0.033707865,1.0
61,0.033707865,1.0
43,0.033707865,1.0
45,0.033707865,1.0
58,0.033707865,1.0
47,0.033707865,1.0
57,0.033707865,1.0
49,0.033707865,1.0
56,0.033707865,1.0
51,0.033707865,1.0
55,0.033707865,1.0
54,0.033707865,1.0
27,0.033707865,1.0
53,0.033707865,1.0
17,0.033707865,1.0
11,0.033707865,1.0
12,0.033707865,1.0
13,0.033707865,1.0
8,0.033707865,1.0
7,0.033707865,1.0
15,0.033707865,1.0
16,0.033707865,1.0
79,0.033707865,1.0
77,0.033707865,1.0
20,0.033707865,1.0
5,0.033707865,1.0
4,0.033707865,1.0
23,0.033707865,1.0
3,0.033707865,1.0
9,0.033707865,1.0
87,0.02247191,2.0
88,0.02247191,2.0
71,0.02247191,2.0
60,0.02247191,2.0
72,0.02247191,2.0
64,0.02247191,2.0
74,0.02247191,2.0
69,0.02247191,2.0
73,0.02247191,2.0
70,0.02247191,2.0
81,0.02247191,2.0
46,0.02247191,2.0
52,0.02247191,2.0
50,0.02247191,2.0
24,0.02247191,2.0
42,0.02247191,2.0
31,0.02247191,2.0
39,0.02247191,2.0
82,0.011235955,3.0
78,0.011235955,3.0
18,0.011235955,3.0
80,0.011235955,3.0
14,0.011235955,3.0
83,0.011235955,3.0
76,0.011235955,3.0
84,0.011235955,3.0
85,0.011235955,3.0
86,0.011235955,3.0
10,0.011235955,3.0
6,0.011235955,3.0
89,0.011235955,3.0
19,0.011235955,3.0
22,0.011235955,3.0
75,0.011235955,3.0
21,0.011235955,3.0
26,0.011235955,3.0
28,0.011235955,3.0
33,0.011235955,3.0
67,0.011235955,3.0
35,0.011235955,3.0
38,0.011235955,3.0
63,0.011235955,3.0
41,0.011235955,3.0
44,0.011235955,3.0
59,0.011235955,3.0
2,0.011235955,3.0
48,0.011235955,3.0
90,0.011235955,3.0
