Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.05555555555555555,0.2222222222222222,0.0,0.25,0.42857142857142855
10,0.1111111111111111,0.3157894736842105,0.0,0.5384615384615384,0.5384615384615384
15,0.16666666666666666,0.2903225806451613,0.0,0.7222222222222222,0.7647058823529411
20,0.2222222222222222,0.25,0.02564102564102564,0.5185185185185185,0.6666666666666666
25,0.2777777777777778,0.3958333333333333,0.1111111111111111,0.6774193548387096,0.6666666666666666
30,0.34444444444444444,0.4909090909090909,0.24489795918367346,0.6153846153846154,0.5641025641025641
35,0.4111111111111111,0.6379310344827587,0.44,0.5306122448979592,0.5319148936170213
40,0.4777777777777778,0.4777777777777778,0.5660377358490566,0.6,0.5660377358490566
45,0.5333333333333333,0.5333333333333333,0.6607142857142857,0.6065573770491803,0.603448275862069
50,0.5888888888888889,0.5888888888888889,0.6885245901639344,0.6615384615384615,0.6612903225806451
55,0.6444444444444445,0.6444444444444445,0.765625,0.6301369863013698,0.7121212121212122
60,0.7111111111111111,0.7111111111111111,0.8235294117647058,0.7236842105263158,0.7714285714285715
65,0.7666666666666667,0.7666666666666667,0.7037037037037037,0.7848101265822784,0.8356164383561644
70,0.8222222222222222,0.8222222222222222,0.7011494252873564,0.7906976744186046,0.8354430379746836
75,0.8888888888888888,0.8888888888888888,0.7666666666666667,0.875,0.9259259259259259
80,0.9555555555555556,0.9555555555555556,0.8888888888888888,0.9555555555555556,0.9204545454545454
