Node,Spreading Ability,Rank
53,14.86,1
61,14.42,2
51,14.9,3
56,12.91,4
65,12.64,5
55,12.22,6
58,13.48,7
81,12.78,8
68,12.41,9
32,12.06,10
62,11.96,11
54,11.89,12
25,11.86,13
52,12.75,14
66,11.7,15
57,12.94,16
16,11.37,17
60,10.72,18
30,11.41,19
8,11.07,20
4,10.94,21
5,10.64,22
64,10.99,23
36,10.52,24
23,10.19,25
3,10.14,26
45,9.94,27
37,9.79,28
12,9.72,29
29,9.72,29
7,9.63,30
1,9.47,31
34,9.95,32
9,9.35,33
40,8.99,34
49,8.87,35
47,8.61,36
11,9.73,37
15,9.68,38
87,11.6,39
39,9.04,40
42,10.52,41
24,9.53,42
20,9.49,43
31,10.6,44
27,8.46,45
13,8.22,46
43,7.88,47
88,11.29,48
46,8.72,49
50,8.92,50
79,7.76,51
77,7.06,52
70,8.39,53
17,6.67,54
73,9.96,55
69,8.5,56
72,7.34,57
59,8.67,58
74,8.47,59
82,8.15,60
63,7.8,61
6,7.54,62
89,9.47,63
90,8.84,64
67,7.88,65
38,7.84,66
41,7.62,67
33,7.63,68
78,7.5,69
26,7.44,70
14,7.19,71
2,7.14,72
71,6.85,73
28,6.84,74
80,6.7,75
19,6.73,76
35,6.67,77
22,6.27,78
48,6.27,79
10,6.25,80
76,7.21,81
83,6.43,82
75,5.76,83
84,5.69,84
86,5.62,85
44,5.41,86
21,5.41,86
18,5.27,87
85,4.67,88
