feature,PC1,PC2,PC3,PC4,PC5
Degree Centrality,0.15293798963455862,-0.1331479855694011,0.12162392647346457,-0.00529631120325929,0.02853277068164625
Betweenness Centrality,0.111041029879973,0.16552937004103868,-0.02891578201684552,-0.4639952558081044,-0.29521682418358575
Leverage Centrality,0.13853917655966283,-0.17307174762156954,0.2325666150153838,-0.03586025188331217,0.18428756019451142
Isolating Centrality,0.054916058243176975,-0.23115607041273634,0.5816104147037386,-0.05807842812657001,0.07709782150515518
GSM,0.14425229702758718,0.17150578681428888,0.03050082054306742,-0.23118553977631903,-0.01521762866018548
H-GSM_1,0.15243192451176565,0.10633065782098762,0.04876552080569536,-0.23831203189772135,-0.042250103777665825
Local-Global Centrality,0.1594198303127299,-0.050055528974134754,0.10254066344207106,-0.053240547417656374,-0.05010229288056017
PageRank Centrality,0.1422829431481325,-0.1850397422929668,0.18686810762666178,-0.03456239793108784,0.004869481213237106
Coreness Centrality,0.15794886588592047,-0.054844372040898016,-0.0361678731667822,-0.008020483376881197,0.08874946952351333
Extended Coreness,0.158844016941138,0.001550231680103418,-0.1438725801148727,0.028514327661575495,0.037002976990205896
Global Relative Change in Avg Degree,0.15239602021433488,-0.13499597978407143,0.13073595715166977,0.0029147064921434,-0.00035987766601279714
DIL Centrality,0.15560113047706672,-0.08678970205981892,-0.007689324143309086,0.08052422951125021,-0.1954749534866431
I-GSM Values,0.1578974447106295,0.06108925962235007,-0.10449608440183017,-0.08392058888737433,-0.08117003183243765
Clustered Local Degree,0.15690670975781504,-0.035167886546540315,-0.14408333346041036,0.02711073195644593,-0.11114039930364582
Gravity Index Centrality,0.1561789063550839,-0.01113088753009552,-0.16531252557044276,-0.012457085283295663,0.17249530197917068
Gravity Model Centrality,0.16098644682138785,-0.04351516483311281,0.01576096253177281,0.000616153069898101,-0.1109989894537757
Local Gravity Model Centrality,0.15761842620829888,-0.07932426269827697,-0.026826350004370177,0.057701829184600296,-0.16062360139555434
Laplacian Centrality,0.1583535668982843,-0.09298658247478273,0.012190547160086823,0.022627608636651076,-0.08168680604182577
Closeness Centrality,0.09012714446993336,0.33162275637885724,0.18968052382793335,-0.26765540879056776,-0.03641005326554768
Semi local centrality,0.1591034026625539,0.018771485815413973,-0.11342519456352634,0.08112443700921274,-0.0920101026377771
Eccentricity Centrality,0.07341327765579032,0.36726134709555835,0.21752588638131584,-0.02408017597062625,0.07102157030976994
Density Centrality,0.1552414953731355,-0.11426808570974294,0.07537257695598663,0.03859505671756751,-0.11152050924922585
MDD Value,0.15166663020280757,-0.10324220176970973,0.09689677040195997,0.016735754795564127,0.25559020498709994
EHCC Value,0.15637532331411705,0.09271323161261835,-0.038219890851040696,0.09296545213421743,-0.013395629452239939
HCC Value,0.15564994594003512,0.08109995122170223,-0.066633904463239,0.059980946104846104,0.017823560199436605
P Value,0.12970564979030463,0.20059115789347043,-0.06094433648597101,0.08892556088245054,0.09183884707073738
Extended Degree,0.1592910382447594,-0.07698820391158194,-0.03684074664394517,0.014276534530288267,-0.05567850716612849
Eigenvector Centrality,0.08515624184724394,0.3260898397468713,0.17745786702056857,0.3727262102744173,0.11370793901080327
Centrality Values,0.16063497678431984,-0.04184737533393033,0.010027127613530494,0.0343285001963665,-0.030907247727263085
Constraint Coefficients,0.1522896866627939,-0.11643384640955025,0.054673701569608386,-0.06230492816559033,0.2288466519859818
HVGc Index,0.1559747527220546,-0.013475470420261067,-0.0837065936525028,0.1341524635141771,-0.2603174574725297
PE Values,0.16053475218760874,-0.0583769334082812,0.02190084365279999,0.025695460446902102,-0.02181168721889267
H Values,0.0948020938146587,0.29480633588866545,0.14453880356196205,0.42381774676911965,0.027734964346891853
Volume Centrality,0.15401801114130848,0.04818828389904705,-0.1844759855779669,0.03768282248449644,-0.030464459020700323
GIN Values,0.1424948950784425,0.18279382477954031,0.006406242967487721,-0.2379643877100819,-0.066286467115475
LGC Scores,0.15836143965454816,-0.025756015497155095,-0.07331793629527805,0.10006733498735594,-0.20295384641657402
DNC Scores,0.15293798963455862,-0.13314798556940097,0.12162392647346462,-0.0052963112032593,0.028532770681646138
EIGSM Values,0.1618175933016019,-0.010157839976272964,0.04333736063138997,-0.010438879565440727,-0.03102284968559063
Societal Capital Scores,0.15922379315883023,-0.0674435041104152,-0.06203814036946973,0.017322400597524205,-0.06882243431105965
Improved Gravity Index Values,0.15495162464251117,0.0009994408414551847,-0.21240615387250436,-0.01680082894955932,0.10851713013606522
Extended Improved Gravity Index Values,0.15851638321798914,0.018071362080888043,-0.06353717432337445,0.04633435974741062,0.017432749245562318
Node H-Index,0.13837631623251814,-0.024439742876477044,-0.2556710416114278,-0.09285391076398077,0.36735706703582394
MCGM Values,0.14420363798398672,0.16177525702819684,0.041598302510300084,0.2833618564410011,0.023155852898794415
GGC Values,0.15932651768075284,-0.06178290068811807,-0.033409612817622954,0.063540731696716,-0.14033931361506222
Subgraph centrality,0.15532981431472329,-0.12109976944782518,0.08729312450752108,0.012150112927725597,-0.018855986803018743
Second order centrality,0.10347805772389222,0.3095921542211143,0.1663814693207176,-0.15298506127128733,0.1345487160322045
K-Shell Value,0.13964333503255202,-0.026823484770235082,-0.2149132058593324,-0.12645252323391712,0.4979844541211777
