Node,Score,Rank
329,0.364397571,1.0
341,0.322243126,2.0
355,0.308520428,3.0
350,0.302667749,4.0
356,0.302667749,4.0
331,0.266049349,5.0
353,0.256074476,6.0
351,0.256074476,6.0
352,0.256074476,6.0
211,0.157692048,7.0
339,0.153557548,8.0
220,0.137608048,9.0
333,0.132914219,10.0
340,0.117959505,11.0
328,0.1026326,12.0
332,0.096927995,13.0
330,0.093075063,14.0
357,0.092051859,15.0
354,0.092051859,15.0
322,0.088130738,16.0
324,0.083681998,17.0
362,0.082266116,18.0
361,0.082266116,18.0
348,0.078568936,19.0
338,0.072930659,20.0
359,0.064053408,21.0
349,0.060770927,22.0
346,0.060770927,22.0
347,0.060770927,22.0
343,0.051483028,23.0
375,0.049663063,24.0
368,0.043925844,25.0
374,0.039228502,26.0
360,0.038239792,27.0
325,0.033172954,28.0
345,0.033068139,29.0
335,0.030129071,30.0
364,0.025434106,31.0
337,0.025155751,32.0
344,0.018967921,33.0
126,0.017781029,34.0
363,0.016975967,35.0
334,0.016766315,36.0
336,0.016766315,36.0
367,0.01594317,37.0
366,0.01594317,37.0
371,0.015084923,38.0
326,0.014916628,39.0
323,0.014916628,39.0
372,0.011438476,40.0
373,0.010019783,41.0
321,0.009487943,42.0
379,0.009029187,43.0
358,0.00900901,44.0
369,0.008599943,45.0
370,0.008509962,46.0
377,0.0081261,47.0
376,0.008041077,48.0
327,0.00678325,49.0
342,0.005542325,50.0
380,0.002886522,51.0
365,0.001914369,52.0
378,0.00092582,53.0
381,0.000874803,54.0
