Starting Node,Average Spreading Ability
379,2.38
380,1.9
340,5.96
361,4.04
371,3.0
376,1.61
211,4.63
332,3.91
322,4.37
350,6.12
356,7.79
341,7.88
353,4.68
329,7.65
333,4.79
335,3.75
367,1.66
352,5.95
362,4.2
369,1.96
378,1.52
339,5.81
355,7.85
331,6.34
351,6.1
343,3.42
220,3.63
324,4.98
377,2.15
330,3.69
373,1.15
364,1.8
347,2.92
325,2.74
323,2.01
374,2.04
328,3.2
357,2.76
337,3.73
344,2.38
334,2.5
336,3.3
349,2.1
359,3.93
375,2.47
348,3.41
326,2.08
126,2.84
346,3.64
360,3.06
321,1.82
345,3.64
366,2.07
327,1.84
370,1.8
372,2.51
365,1.39
338,3.28
354,4.26
363,1.83
368,2.96
381,1.32
358,1.46
342,1.49
