Node,Score,Rank
32,0.427729384,1.0
40,0.219512195,2.0
38,0.172401278,3.0
36,0.13902439,4.0
31,0.121994774,5.0
42,0.095121951,6.0
48,0.059828688,7.0
43,0.051103368,8.0
70,0.046341463,9.0
69,0.046341463,9.0
33,0.040781069,10.0
35,0.027743902,11.0
52,0.019105691,12.0
57,0.015650407,13.0
54,0.015650407,13.0
55,0.012601626,14.0
46,0.004268293,15.0
49,0.001872822,16.0
34,0.0,17.0
53,0.0,17.0
60,0.0,17.0
51,0.0,17.0
56,0.0,17.0
64,0.0,17.0
72,0.0,17.0
71,0.0,17.0
65,0.0,17.0
68,0.0,17.0
50,0.0,17.0
63,0.0,17.0
61,0.0,17.0
47,0.0,17.0
41,0.0,17.0
66,0.0,17.0
67,0.0,17.0
39,0.0,17.0
58,0.0,17.0
45,0.0,17.0
44,0.0,17.0
62,0.0,17.0
37,0.0,17.0
59,0.0,17.0
