Starting Node,Average Spreading Ability
186,4.54
1,1.1
2,1.23
3,1.08
5,1.14
13,1.08
24,1.19
25,1.1
26,1.14
27,1.08
28,1.13
29,1.3
31,1.13
32,1.13
34,1.05
40,1.05
41,1.11
42,1.08
43,1.13
45,1.19
46,1.19
47,1.11
48,1.3
50,1.06
51,1.05
52,1.16
57,1.15
61,1.2
64,1.14
66,1.2
67,1.23
69,1.08
70,1.32
71,1.09
72,1.02
75,1.06
76,1.21
79,1.12
80,1.08
81,1.23
82,1.2
83,1.34
84,1.17
85,1.27
88,1.24
89,1.75
91,1.04
92,1.28
94,1.06
95,1.13
97,1.06
98,1.14
100,1.15
111,1.05
112,1.18
113,1.03
115,1.07
116,1.13
117,1.11
118,1.08
125,1.18
127,1.2
128,1.31
129,1.16
130,1.17
132,1.15
135,1.39
136,1.37
137,1.17
140,1.06
141,1.1
144,1.17
145,3.12
146,1.65
147,2.7
148,1.04
149,1.27
153,2.15
155,2.46
157,1.23
159,1.35
160,1.11
161,1.19
162,1.18
166,1.12
173,1.64
174,1.4
176,1.59
179,1.17
182,1.13
183,1.31
184,1.21
185,1.17
187,1.26
188,1.21
190,1.03
191,1.13
194,1.1
195,1.16
197,1.33
198,1.44
201,1.11
202,1.29
203,1.28
204,1.15
205,2.17
207,1.25
208,1.56
210,1.02
211,1.12
213,1.08
215,1.12
216,1.25
217,1.2
219,1.07
220,1.48
221,1.21
226,1.14
227,1.97
228,2.03
229,2.07
230,1.77
231,2.0
233,1.56
238,1.58
239,1.08
243,1.29
246,1.3
247,1.05
251,1.05
252,1.06
253,1.01
254,1.06
255,1.06
256,1.09
259,1.12
260,1.04
261,1.07
262,1.04
269,1.18
272,1.27
273,1.34
279,1.18
283,1.3
284,1.03
285,1.6
286,1.2
287,1.16
288,1.09
289,1.18
290,1.11
291,1.12
292,1.04
293,1.26
294,1.14
295,1.42
296,1.0
297,1.16
298,1.7
299,1.2
300,1.22
302,1.06
305,1.12
306,1.25
307,1.33
308,1.03
310,1.08
311,1.55
312,1.13
313,1.08
314,1.13
315,1.2
317,1.28
318,1.05
319,1.11
323,1.12
324,1.3
330,1.05
331,1.02
334,1.24
335,1.16
336,1.2
338,1.06
339,1.03
341,1.07
342,1.26
345,1.17
346,1.12
347,1.17
359,1.07
363,1.28
365,1.39
369,1.02
371,1.2
373,1.14
375,1.23
376,1.56
381,1.21
382,1.32
383,1.25
384,1.05
386,1.18
387,1.24
389,1.17
392,1.17
393,1.02
396,1.17
400,1.1
404,1.12
408,3.1
409,1.35
410,1.09
411,1.07
412,1.18
413,1.23
416,1.26
417,1.33
418,1.04
419,1.0
420,1.06
426,2.0
427,1.69
429,1.08
431,1.28
435,1.48
436,1.07
438,1.08
439,1.23
440,1.22
442,1.17
443,1.1
446,1.11
447,1.02
448,1.09
449,1.26
450,1.21
451,1.4
452,1.18
218,1.12
206,1.18
232,1.03
6,1.32
7,1.41
30,1.11
39,1.09
44,1.15
49,1.11
65,1.04
68,1.19
77,1.18
86,1.04
87,1.14
99,1.09
102,1.14
103,1.17
104,1.14
105,1.06
106,1.23
107,1.17
108,1.18
109,1.15
121,1.11
199,1.14
282,1.16
357,1.04
374,1.28
406,1.05
421,1.12
422,1.24
36,1.1
96,1.12
122,1.15
139,1.08
142,1.06
143,1.24
164,1.11
168,1.17
172,1.21
177,1.14
178,1.07
180,1.03
181,1.05
432,1.12
445,1.13
10,1.07
11,1.11
14,1.19
33,1.17
58,1.29
59,1.16
60,1.15
62,1.27
63,1.06
74,1.05
110,1.19
126,1.1
133,1.15
154,1.47
200,1.32
245,1.2
248,1.19
266,1.07
316,1.18
340,1.2
349,1.14
360,1.19
364,1.08
368,1.28
370,1.26
390,1.13
399,1.07
428,1.03
437,1.14
441,1.11
444,1.23
163,1.13
240,1.03
244,1.12
249,1.13
257,1.12
378,1.06
379,1.1
4,1.15
241,1.02
158,1.06
167,1.17
169,1.11
170,1.09
222,1.13
350,1.02
37,1.16
53,1.08
54,1.06
93,1.1
152,1.15
175,1.14
235,1.11
236,1.05
237,1.04
258,1.08
303,1.23
320,1.15
321,1.08
322,1.19
325,1.06
326,1.01
327,1.04
328,1.11
329,1.05
332,1.06
333,1.07
405,1.16
424,1.15
425,1.15
430,1.15
73,1.18
196,1.16
348,1.18
414,1.13
193,1.24
267,1.16
55,1.04
101,1.1
119,1.05
124,1.1
131,1.03
150,1.15
151,1.16
250,1.03
278,1.02
281,1.1
304,1.13
351,1.08
358,1.01
366,1.02
407,1.13
15,1.06
8,1.04
352,1.26
353,1.04
356,1.1
23,1.05
22,1.04
354,1.08
18,1.07
19,1.05
20,1.08
21,1.12
355,1.05
12,1.06
9,1.05
16,1.06
17,1.08
90,1.07
114,1.06
165,1.02
171,1.15
212,1.1
214,1.19
223,1.04
224,1.1
268,1.07
277,1.1
395,1.18
38,1.05
56,1.05
265,1.01
270,1.12
271,1.1
276,1.05
385,1.11
391,1.1
415,1.0
263,1.08
397,1.01
209,1.09
275,1.03
344,1.05
192,1.06
402,1.12
337,1.11
309,1.14
280,1.09
78,1.09
264,1.08
343,1.08
388,1.06
394,1.16
401,1.15
434,1.07
367,1.04
403,1.01
361,1.1
362,1.03
372,1.02
398,1.0
35,1.02
189,1.0
123,1.03
225,1.05
274,1.08
433,1.04
134,1.02
380,1.05
156,1.0
120,1.07
234,1.04
423,1.04
301,1.06
138,1.01
453,1.01
242,1.05
377,1.04
