Node,Score,Rank
37,0.194017565,1.0
608,0.05808363,2.0
1158,0.046011325,3.0
1104,0.039449026,4.0
1101,0.037757282,5.0
28,0.035509193,6.0
543,0.029629079,7.0
24,0.021921328,8.0
48,0.021603129,9.0
518,0.021444423,10.0
26,0.021154677,11.0
50,0.019320783,12.0
758,0.019077523,13.0
53,0.018372151,14.0
52,0.017951505,15.0
27,0.017798718,16.0
508,0.016911655,17.0
47,0.016464704,18.0
51,0.015900949,19.0
291,0.015632629,20.0
46,0.014328396,21.0
22,0.014064131,22.0
23,0.013946783,23.0
45,0.013900959,24.0
1111,0.012494988,25.0
44,0.012314506,26.0
243,0.011188275,27.0
29,0.011182069,28.0
21,0.011069766,29.0
657,0.010913086,30.0
84,0.010802503,31.0
87,0.010600933,32.0
49,0.010356301,33.0
85,0.010325804,34.0
25,0.010241921,35.0
82,0.010223952,36.0
83,0.01020085,37.0
1,0.010089678,38.0
649,0.00989443,39.0
195,0.009684041,40.0
81,0.009649739,41.0
288,0.009576886,42.0
475,0.009459163,43.0
86,0.009357949,44.0
542,0.00912791,45.0
1188,0.008626897,46.0
156,0.008310797,47.0
541,0.007771683,48.0
1145,0.007751733,49.0
517,0.007307931,50.0
196,0.007281652,51.0
20,0.007168805,52.0
231,0.007101446,53.0
599,0.007080213,54.0
214,0.007001288,55.0
158,0.006893026,56.0
176,0.006645237,57.0
473,0.006625484,58.0
682,0.00649148,59.0
157,0.006261147,60.0
535,0.006254576,61.0
18,0.006086988,62.0
97,0.006035675,63.0
1153,0.005835699,64.0
561,0.005782148,65.0
1175,0.005744019,66.0
188,0.005685426,67.0
89,0.005540131,68.0
1174,0.005394853,69.0
611,0.005311872,70.0
1148,0.005275676,71.0
536,0.005246681,72.0
537,0.005193237,73.0
663,0.005192092,74.0
510,0.005172314,75.0
747,0.005166937,76.0
161,0.005159886,77.0
232,0.005148,78.0
88,0.005139302,79.0
257,0.005112112,80.0
150,0.005104701,81.0
776,0.005094248,82.0
199,0.005065477,83.0
646,0.004987898,84.0
271,0.004951289,85.0
40,0.00490666,86.0
740,0.00489629,87.0
134,0.004893659,88.0
