Starting Node,Average Spreading Ability
1,20.81
2,2.46
3,1.6
4,8.72
5,8.51
6,5.52
7,11.34
8,7.65
9,5.34
10,9.41
11,5.66
12,10.19
13,7.16
14,12.22
15,9.1
16,8.64
17,7.87
18,54.67
19,13.42
20,47.59
21,47.3
22,41.93
23,54.71
24,45.0
25,48.86
26,47.8
27,27.0
28,53.15
29,19.56
30,8.87
31,5.25
32,7.28
33,7.25
34,11.48
35,7.2
36,9.16
37,28.59
38,1.95
39,2.65
40,4.94
41,1.36
42,1.02
43,8.25
44,18.59
45,23.71
46,19.62
47,25.05
48,22.7
49,18.51
50,18.96
51,18.51
52,25.8
53,19.43
54,3.85
55,1.13
56,8.56
57,3.59
58,1.07
59,8.43
60,3.67
61,1.34
62,9.03
63,2.75
64,1.37
65,11.39
66,3.81
67,1.25
68,6.32
69,1.45
70,2.09
71,8.72
72,3.08
73,1.19
74,6.22
75,2.55
76,2.52
77,12.39
78,1.61
79,1.4
80,9.8
81,21.78
82,20.44
83,24.58
84,24.39
85,27.04
86,20.31
87,17.84
88,18.48
89,41.83
90,1.26
91,2.36
92,2.82
93,1.1
94,5.4
95,2.37
96,42.91
97,13.47
98,1.32
99,4.98
100,1.88
101,41.95
102,3.21
103,1.14
104,7.03
105,1.44
106,38.54
107,3.05
108,3.55
109,45.46
110,46.19
111,41.14
112,44.34
113,45.62
114,42.62
115,46.54
116,38.29
117,46.37
118,39.36
119,38.47
120,43.57
121,50.49
122,44.37
123,41.2
124,42.19
125,40.3
126,38.88
127,47.04
128,37.09
129,42.01
130,43.14
131,46.72
132,46.22
133,38.04
134,43.66
135,42.39
136,43.61
137,52.44
138,51.72
139,43.58
140,53.03
141,44.51
142,40.03
143,44.67
144,47.39
145,42.12
146,38.75
147,41.48
148,43.91
149,44.98
150,57.52
151,46.04
152,42.42
153,46.17
154,47.99
155,50.73
156,44.5
157,32.74
158,45.27
159,8.4
160,19.29
161,9.82
162,2.11
163,1.37
164,1.66
165,3.1
166,16.86
167,23.13
168,4.27
169,5.19
170,1.57
171,9.54
172,12.65
173,9.99
174,13.78
175,14.34
176,18.04
177,13.95
178,3.52
179,9.26
180,3.14
181,2.71
182,10.42
183,13.29
184,11.83
185,3.25
186,2.88
187,2.67
188,7.35
189,5.29
190,2.2
191,14.36
192,13.96
193,8.32
194,10.9
195,20.32
196,7.3
197,6.53
198,3.05
199,12.56
200,5.76
201,3.64
202,11.67
203,12.72
204,8.88
205,16.88
206,17.32
207,10.48
208,11.14
209,8.04
210,11.57
211,6.39
212,3.57
213,3.59
214,10.57
215,5.43
216,3.18
217,1.2
218,5.16
219,14.67
220,7.03
221,4.46
222,12.44
223,10.73
224,11.82
225,11.61
226,6.98
227,8.85
228,2.64
229,3.85
230,1.19
231,11.99
232,10.09
233,4.31
234,6.67
235,4.72
236,7.6
237,2.3
238,3.82
239,5.88
240,1.07
241,2.99
242,7.74
243,8.3
244,5.81
245,13.06
246,1.16
247,3.11
248,5.47
249,2.79
250,1.21
251,2.94
252,1.18
253,1.88
254,1.93
255,14.48
256,1.14
257,15.69
258,1.16
259,1.33
260,10.3
261,1.13
262,1.88
263,3.61
264,3.72
265,2.81
266,1.25
267,5.92
268,5.31
269,6.2
270,6.38
271,6.01
272,3.42
273,3.15
274,2.04
275,7.63
276,2.47
277,1.36
278,6.93
279,7.04
280,7.28
281,10.04
282,9.44
283,3.79
284,8.29
285,7.15
286,6.29
287,7.19
288,54.63
289,1.63
290,3.74
291,4.95
292,1.29
293,2.6
294,8.46
295,4.32
296,1.05
297,7.5
298,3.06
299,1.09
300,9.29
301,2.03
302,1.03
303,7.19
304,2.1
305,2.23
306,7.33
307,2.27
308,1.2
309,10.27
310,1.56
311,1.19
312,9.34
313,3.98
314,2.13
315,14.45
316,4.04
317,1.09
318,7.43
319,1.47
320,1.54
321,9.53
322,5.3
323,2.54
324,2.88
325,3.71
326,1.9
327,8.98
328,7.69
329,8.64
330,7.45
331,5.72
332,7.1
333,8.09
334,7.38
335,7.5
336,7.79
337,5.18
338,4.79
339,1.51
340,1.79
341,1.48
342,10.74
343,3.21
344,1.15
345,8.14
346,1.24
347,1.08
348,9.96
349,4.55
350,1.08
351,8.3
352,2.64
353,1.11
354,8.47
355,2.11
356,1.23
357,7.98
358,1.5
359,1.5
360,9.68
361,2.32
362,1.11
363,9.69
364,4.14
365,1.13
366,1.51
367,2.49
368,2.53
369,1.2
370,3.84
371,8.98
372,11.73
373,4.77
374,7.53
375,10.09
376,6.7
377,6.95
378,7.73
379,9.18
380,8.97
381,3.06
382,3.26
383,1.33
384,3.5
385,1.37
386,1.12
387,2.92
388,1.6
389,1.36
390,2.37
391,2.58
392,1.22
393,3.28
394,1.12
395,1.49
396,2.31
397,1.06
398,1.2
399,2.04
400,1.16
401,2.83
402,2.63
403,2.06
404,1.42
405,4.5
406,1.11
407,2.47
408,2.6
409,1.1
410,1.41
411,3.32
412,2.19
413,1.38
414,3.36
415,6.53
416,9.26
417,11.97
418,6.11
419,5.96
420,5.39
421,6.21
422,6.66
423,8.95
424,6.9
425,3.78
426,1.64
427,1.18
428,2.64
429,1.76
430,3.14
431,1.92
432,2.37
433,1.21
434,1.89
435,3.44
436,1.19
437,1.56
438,1.07
439,1.43
440,2.77
441,1.25
442,1.38
443,1.85
444,1.27
445,1.23
446,3.05
447,1.12
448,1.34
449,3.12
450,1.61
451,2.39
452,2.48
453,2.22
454,1.7
455,1.53
456,2.18
457,1.92
458,1.57
459,7.7
460,4.57
461,3.29
462,2.63
463,1.07
464,1.5
465,1.28
466,2.56
467,1.13
468,2.61
469,2.99
470,1.99
471,4.09
472,2.64
473,3.02
474,1.32
475,2.31
476,1.2
477,2.52
478,2.25
479,5.0
480,1.99
481,1.58
482,1.15
483,3.46
484,1.13
485,3.8
486,3.01
487,1.72
488,1.48
489,3.5
490,2.6
491,1.75
492,1.2
493,1.86
494,3.14
495,2.23
496,1.43
497,1.91
498,1.11
499,1.98
500,2.35
501,2.48
502,2.44
503,4.36
504,1.32
505,2.42
506,1.25
507,1.89
508,3.12
509,1.37
510,1.31
511,1.1
512,2.04
513,1.19
514,3.3
515,3.45
516,2.92
517,53.02
518,50.98
519,1.61
520,13.34
521,1.29
522,1.05
523,1.12
524,2.4
525,3.65
526,1.12
527,1.17
528,2.29
529,2.42
530,2.83
531,5.84
532,3.29
533,4.73
534,5.24
535,11.07
536,8.22
537,9.5
538,1.17
539,8.01
540,2.26
541,47.84
542,53.44
543,6.4
544,2.79
545,2.02
546,2.76
547,1.42
548,1.08
549,2.49
550,5.4
551,2.66
552,5.2
553,3.64
554,2.22
555,4.84
556,3.11
557,5.15
558,3.27
559,2.06
560,3.16
561,15.51
562,1.42
563,1.41
564,1.47
565,1.51
566,1.59
567,1.55
568,1.39
569,1.27
570,2.64
571,1.44
572,1.32
573,1.26
574,2.62
575,1.78
576,1.19
577,2.53
578,1.2
579,3.06
580,2.02
581,2.04
582,1.53
583,1.81
584,3.57
585,2.67
586,1.96
587,2.9
588,2.02
589,1.32
590,3.17
591,1.3
592,2.69
593,1.48
594,2.52
595,6.76
596,1.49
597,3.98
598,2.24
599,50.72
600,2.82
601,1.16
602,1.01
603,1.85
604,6.14
605,4.59
606,3.63
607,14.45
608,11.48
609,1.12
610,1.59
611,50.17
612,45.2
613,7.04
614,1.25
615,1.08
616,2.71
617,4.29
618,1.08
619,1.06
620,5.96
621,2.81
622,2.42
623,7.1
624,3.44
625,3.89
626,1.16
627,1.43
628,3.01
629,1.84
630,1.17
631,3.07
632,47.96
633,3.69
634,1.09
635,1.11
636,1.42
637,5.32
638,2.67
639,3.02
640,5.27
641,2.75
642,3.26
643,1.16
644,1.09
645,2.0
646,14.13
647,9.75
648,1.57
649,42.27
650,1.02
651,1.09
652,1.25
653,3.84
654,2.26
655,2.39
656,1.94
657,49.31
