Starting Node,Average Spreading Ability
1,4.95
2,3.93
3,3.56
4,2.96
5,3.16
6,7.83
7,11.66
8,7.14
9,5.52
10,12.39
11,6.67
12,7.44
13,6.06
14,8.22
15,7.2
16,10.82
17,15.34
18,9.03
19,6.22
20,11.18
21,13.65
22,10.26
23,9.09
24,5.54
25,9.64
26,8.84
27,6.92
28,9.64
29,5.01
30,11.32
31,6.8
32,12.25
33,6.68
34,12.09
35,6.22
36,7.32
37,10.18
38,11.88
39,6.7
40,7.99
41,12.19
42,10.98
43,13.78
44,10.21
45,5.94
46,10.0
47,14.93
48,8.84
49,10.5
50,13.55
51,12.24
52,11.98
53,13.96
54,10.4
55,13.23
56,12.91
57,10.77
58,12.62
59,10.4
60,13.87
61,13.74
62,15.15
63,10.27
64,6.23
65,9.79
66,8.48
67,3.89
68,9.86
69,3.44
70,3.49
71,3.53
72,3.56
73,5.35
74,5.47
75,4.77
76,3.89
77,4.03
78,6.55
79,3.78
80,3.91
81,4.12
82,5.37
83,5.69
84,10.9
85,3.37
86,4.01
87,1.57
88,3.86
89,3.41
90,5.39
91,4.17
92,3.99
93,5.91
94,3.65
95,8.11
96,8.34
97,7.86
98,7.74
99,9.05
100,5.36
101,5.62
102,11.47
103,4.8
104,10.7
105,10.41
106,8.55
107,12.12
108,6.97
109,6.32
110,10.93
111,10.32
112,12.67
113,11.33
114,16.87
115,12.41
116,2.82
117,3.08
118,3.6
119,4.99
120,2.83
121,6.91
122,2.6
123,3.78
124,5.14
125,4.27
126,6.05
127,9.93
128,12.24
129,6.53
130,6.04
131,4.68
132,3.84
133,5.86
134,8.8
135,10.45
136,5.75
137,5.45
138,7.15
139,5.51
140,6.18
141,7.69
142,5.48
143,6.19
144,6.16
145,2.68
146,2.62
147,5.95
148,11.27
149,5.83
150,7.08
151,11.01
152,3.15
153,5.69
154,9.1
155,5.96
156,4.08
157,3.71
158,8.9
159,10.76
160,4.25
161,7.75
162,4.5
163,5.68
164,10.59
165,3.37
166,5.52
167,12.52
168,9.48
169,6.62
170,4.49
171,5.92
172,5.37
173,8.15
174,6.85
175,6.35
176,7.58
177,7.42
178,5.55
179,9.38
180,5.09
181,12.28
182,6.01
183,10.5
184,7.41
185,10.81
186,7.16
187,4.88
188,5.66
189,6.33
190,6.26
191,4.85
192,4.02
193,10.09
194,5.67
195,8.26
196,6.51
197,5.05
198,8.29
199,5.88
200,8.21
201,7.29
202,4.45
203,5.78
204,6.39
205,6.05
