Node,Score,Rank
18,0.349907666,1.0
240,0.161960571,2.0
232,0.144562883,3.0
305,0.093272606,4.0
15,0.091418076,5.0
316,0.07911167,6.0
201,0.072298846,7.0
412,0.058387843,8.0
33,0.057229303,9.0
93,0.057020666,10.0
7,0.055708637,11.0
156,0.05384303,12.0
20,0.053573665,13.0
306,0.052854053,14.0
318,0.051813503,15.0
285,0.051722645,16.0
382,0.05044152,17.0
106,0.04888551,18.0
373,0.047635031,19.0
69,0.047419661,20.0
504,0.047021449,21.0
39,0.044111327,22.0
29,0.043365384,23.0
234,0.042426251,24.0
98,0.041775752,25.0
309,0.040163699,26.0
76,0.039239161,27.0
255,0.03776196,28.0
145,0.036893617,29.0
253,0.034686713,30.0
23,0.034435745,31.0
3,0.034414474,32.0
521,0.033692301,33.0
545,0.033178454,34.0
211,0.032402754,35.0
421,0.031359975,36.0
550,0.029424151,37.0
56,0.028957095,38.0
52,0.028957095,38.0
1,0.028407884,39.0
357,0.026752149,40.0
77,0.026657793,41.0
448,0.025771163,42.0
17,0.025474619,43.0
157,0.024871321,44.0
290,0.024828786,45.0
337,0.024081133,46.0
102,0.023969672,47.0
517,0.022397541,48.0
401,0.021944005,49.0
404,0.021944005,49.0
147,0.021806114,50.0
238,0.021771026,51.0
317,0.021577024,52.0
28,0.021225935,53.0
168,0.021171257,54.0
134,0.021122592,55.0
126,0.019914536,56.0
347,0.019399554,57.0
515,0.019276315,58.0
272,0.019239047,59.0
165,0.019116368,60.0
571,0.018482254,61.0
62,0.017505851,62.0
5,0.016789657,63.0
486,0.016050525,64.0
139,0.015481581,65.0
346,0.015317207,66.0
274,0.015284961,67.0
252,0.015049911,68.0
31,0.014914153,69.0
384,0.013971923,70.0
197,0.01382054,71.0
282,0.013811405,72.0
194,0.013436714,73.0
196,0.01319917,74.0
302,0.012918843,75.0
21,0.012861333,76.0
307,0.012861333,76.0
361,0.012861333,76.0
241,0.012674252,77.0
226,0.012672095,78.0
438,0.012499504,79.0
16,0.011864705,80.0
428,0.011695434,81.0
6,0.011678933,82.0
473,0.011544565,83.0
103,0.011331392,84.0
47,0.011247028,85.0
227,0.01064136,86.0
206,0.010506197,87.0
385,0.010359207,88.0
450,0.010277129,89.0
22,0.01023625,90.0
191,0.010189414,91.0
121,0.010105983,92.0
150,0.009881406,93.0
89,0.009803729,94.0
559,0.009677369,95.0
475,0.009672141,96.0
557,0.009672141,96.0
614,0.009672141,96.0
311,0.009664298,97.0
528,0.009661684,98.0
518,0.009661684,98.0
182,0.00964238,99.0
75,0.00934952,100.0
159,0.009315348,101.0
19,0.00929245,102.0
146,0.009025625,103.0
32,0.00888366,104.0
130,0.008848237,105.0
46,0.008725391,106.0
85,0.008579955,107.0
27,0.008475606,108.0
449,0.008252214,109.0
152,0.00822855,110.0
37,0.00811095,111.0
565,0.008056632,112.0
167,0.007774653,113.0
364,0.007451938,114.0
92,0.007415991,115.0
26,0.007328996,116.0
198,0.007316865,117.0
445,0.007132166,118.0
586,0.006817284,119.0
368,0.006754709,120.0
176,0.006739004,121.0
154,0.006667937,122.0
513,0.006461524,123.0
531,0.006456807,124.0
310,0.006456807,124.0
383,0.006451579,125.0
507,0.006451579,125.0
582,0.006451579,125.0
244,0.006384788,126.0
61,0.006374636,127.0
2,0.006051726,128.0
48,0.00597973,129.0
585,0.005876736,130.0
12,0.005669511,131.0
248,0.005658304,132.0
8,0.005581147,133.0
179,0.005572115,134.0
24,0.005531401,135.0
195,0.005312058,136.0
177,0.005274215,137.0
180,0.005274215,137.0
123,0.005252518,138.0
80,0.005235011,139.0
100,0.005132612,140.0
312,0.005063285,141.0
520,0.005062465,142.0
425,0.00500804,143.0
63,0.004929785,144.0
474,0.004919639,145.0
341,0.004891425,146.0
418,0.004875549,147.0
184,0.004785784,148.0
34,0.004531199,149.0
43,0.004505623,150.0
530,0.004216417,151.0
463,0.00413488,152.0
496,0.004021978,153.0
41,0.003798961,154.0
178,0.003762934,155.0
354,0.003725738,156.0
105,0.003621652,157.0
365,0.00359506,158.0
118,0.003549006,159.0
432,0.003543137,160.0
51,0.003542672,161.0
148,0.00348767,162.0
97,0.003479121,163.0
355,0.003330617,164.0
334,0.003322071,165.0
426,0.00331075,166.0
164,0.003259308,167.0
446,0.003251669,168.0
36,0.003250133,169.0
548,0.003247574,170.0
549,0.003237292,171.0
229,0.003237117,172.0
396,0.003235719,173.0
328,0.003231227,174.0
292,0.003231018,175.0
493,0.003231018,175.0
580,0.003231018,175.0
506,0.003231018,175.0
499,0.003231018,175.0
57,0.003231018,175.0
587,0.003231018,175.0
570,0.003231018,175.0
225,0.003231018,175.0
381,0.003231018,175.0
568,0.003231018,175.0
594,0.003231018,175.0
458,0.003231018,175.0
442,0.003231018,175.0
526,0.003231018,175.0
603,0.003231018,175.0
613,0.003231018,175.0
170,0.003160737,176.0
112,0.003137848,177.0
143,0.003060649,178.0
14,0.003046016,179.0
187,0.002941079,180.0
451,0.002883015,181.0
107,0.00282136,182.0
90,0.002761664,183.0
387,0.002749984,184.0
215,0.002736909,185.0
429,0.002664199,186.0
538,0.002634605,187.0
116,0.00259832,188.0
202,0.002578223,189.0
315,0.002551179,190.0
82,0.002476538,191.0
277,0.002473498,192.0
70,0.002433127,193.0
66,0.002408296,194.0
140,0.002386837,195.0
439,0.002207298,196.0
35,0.002203061,197.0
297,0.002154729,198.0
136,0.002084807,199.0
45,0.002051723,200.0
231,0.002046062,201.0
324,0.001935539,202.0
330,0.00187466,203.0
87,0.001773576,204.0
304,0.001708299,205.0
349,0.001693527,206.0
372,0.001660994,207.0
209,0.00163944,208.0
452,0.001622128,209.0
566,0.001607667,210.0
379,0.001605053,211.0
470,0.001580645,212.0
141,0.001515583,213.0
111,0.001506218,214.0
394,0.001485811,215.0
128,0.001473671,216.0
444,0.001410546,217.0
127,0.001408137,218.0
407,0.001397395,219.0
544,0.001350777,220.0
207,0.001331393,221.0
11,0.001248922,222.0
416,0.001224007,223.0
42,0.001207511,224.0
356,0.001195359,225.0
333,0.001191911,226.0
162,0.001176243,227.0
44,0.001149416,228.0
472,0.001133455,229.0
109,0.001118725,230.0
363,0.001080483,231.0
137,0.001075874,232.0
300,0.00107352,233.0
298,0.00107352,233.0
301,0.00107352,233.0
58,0.00107352,233.0
55,0.00107352,233.0
53,0.00107352,233.0
605,0.001037533,234.0
183,0.000989381,235.0
88,0.000977184,236.0
352,0.000971513,237.0
155,0.000946695,238.0
50,0.000888928,239.0
213,0.000860747,240.0
129,0.000857057,241.0
410,0.00084018,242.0
40,0.000801414,243.0
405,0.000791456,244.0
413,0.000775629,245.0
443,0.000770565,246.0
288,0.000768453,247.0
398,0.000767235,248.0
402,0.000767235,248.0
94,0.000748669,249.0
469,0.000747527,250.0
542,0.000724019,251.0
431,0.000710834,252.0
286,0.000709305,253.0
336,0.000660613,254.0
283,0.000647082,255.0
399,0.000646519,256.0
406,0.000646519,256.0
397,0.000646519,256.0
400,0.000646519,256.0
267,0.000631059,257.0
546,0.000626758,258.0
547,0.000626758,258.0
543,0.000626758,258.0
245,0.000619212,259.0
151,0.000589509,260.0
84,0.00058501,261.0
216,0.000577545,262.0
199,0.000559471,263.0
175,0.000545395,264.0
142,0.000538167,265.0
358,0.000533095,266.0
113,0.000496979,267.0
110,0.00049668,268.0
132,0.000488792,269.0
169,0.000485322,270.0
217,0.000470829,271.0
590,0.000451576,272.0
119,0.000442726,273.0
423,0.000426306,274.0
284,0.000417264,275.0
322,0.000405343,276.0
200,0.000402442,277.0
64,0.000386674,278.0
228,0.000380185,279.0
49,0.000372113,280.0
205,0.000357957,281.0
68,0.000356204,282.0
436,0.000355668,283.0
166,0.000336209,284.0
403,0.000306189,285.0
67,0.000302029,286.0
133,0.000300055,287.0
369,0.000297352,288.0
83,0.000294442,289.0
188,0.000290964,290.0
261,0.0002845,291.0
171,0.000276249,292.0
353,0.00027198,293.0
4,0.000265128,294.0
269,0.000261589,295.0
233,0.000252129,296.0
476,0.000251959,297.0
434,0.000224948,298.0
471,0.000211898,299.0
236,0.000210274,300.0
186,0.000206116,301.0
344,0.000195405,302.0
131,0.000193934,303.0
414,0.000192123,304.0
263,0.000181537,305.0
287,0.000178078,306.0
508,0.000176478,307.0
99,0.000151749,308.0
78,0.000140091,309.0
270,0.000137379,310.0
529,0.000134379,311.0
95,0.000129216,312.0
9,0.000126337,313.0
185,0.000123933,314.0
72,0.000117866,315.0
239,0.000115904,316.0
114,0.000110098,317.0
125,0.00010936,318.0
30,0.000108754,319.0
533,0.000103436,320.0
218,0.000101785,321.0
91,0.000100825,322.0
235,9.44e-05,323.0
332,9.17e-05,324.0
38,8.4e-05,325.0
25,8.05e-05,326.0
243,7.57e-05,327.0
265,7.57e-05,327.0
223,7.43e-05,328.0
268,7.39e-05,329.0
246,6.82e-05,330.0
249,6.78e-05,331.0
335,5.74e-05,332.0
264,5.59e-05,333.0
489,5.35e-05,334.0
74,4.94e-05,335.0
275,4.79e-05,336.0
348,4.65e-05,337.0
375,4.55e-05,338.0
158,4.32e-05,339.0
599,4.28e-05,340.0
117,4.13e-05,341.0
291,4.07e-05,342.0
144,3.63e-05,343.0
488,3.46e-05,344.0
120,3.33e-05,345.0
430,3.17e-05,346.0
250,3.16e-05,347.0
497,3.08e-05,348.0
345,2.71e-05,349.0
212,2.64e-05,350.0
294,2.19e-05,351.0
273,2.18e-05,352.0
296,2.13e-05,353.0
13,2.07e-05,354.0
514,2.05e-05,355.0
498,1.94e-05,356.0
79,1.78e-05,357.0
478,1.7e-05,358.0
342,1.69e-05,359.0
351,1.57e-05,360.0
597,1.55e-05,361.0
338,1.39e-05,362.0
340,1.39e-05,362.0
329,1.34e-05,363.0
219,1.27e-05,364.0
190,1.27e-05,364.0
487,1.2e-05,365.0
54,8.28e-06,366.0
593,7.84e-06,367.0
491,7.6e-06,368.0
192,7.44e-06,369.0
101,7.35e-06,370.0
220,5.24e-06,371.0
374,5.23e-06,372.0
415,4.93e-06,373.0
539,4.82e-06,374.0
221,3.92e-06,375.0
222,3.92e-06,375.0
303,3.49e-06,376.0
299,3.49e-06,376.0
435,3.17e-06,377.0
257,2.94e-06,378.0
181,2.94e-06,378.0
279,2.61e-06,379.0
577,2.61e-06,379.0
607,2.61e-06,379.0
189,1.78e-06,380.0
214,1.74e-06,381.0
251,1.05e-06,382.0
370,1.05e-06,382.0
371,1.05e-06,382.0
323,9.3e-07,383.0
321,9.3e-07,383.0
596,6.5e-07,384.0
325,2.9e-07,385.0
420,2.38e-07,386.0
422,2.38e-07,386.0
411,2.38e-07,386.0
419,2.38e-07,386.0
417,2.38e-07,386.0
