Node,Relative Closeness,Rank
18,0.039577058179560115,1.0
232,0.016989388334654007,2.0
240,0.015706893362532136,3.0
15,0.009851085146595679,4.0
201,0.009173199546606593,5.0
29,0.008742161672215865,6.0
39,0.008717418364602082,7.0
305,0.008608872794237792,8.0
33,0.007849317466315045,9.0
76,0.007706064339044562,10.0
23,0.007332440912087619,11.0
316,0.007328736264763475,12.0
17,0.006921883597597455,13.0
20,0.006809403383850862,14.0
7,0.00637852118758045,15.0
28,0.006250546393061562,16.0
156,0.005949947567163124,17.0
412,0.00573021515437548,18.0
93,0.005664514394106923,19.0
69,0.005602833233889657,20.0
147,0.005471765966886298,21.0
306,0.0052610854212971625,22.0
373,0.005246479973176096,23.0
145,0.00521368601960049,24.0
126,0.005170957725668372,25.0
285,0.005143043373463138,26.0
16,0.005139608470285882,27.0
253,0.005134479425785726,28.0
318,0.005077948302422012,29.0
106,0.004930767462748952,30.0
290,0.004919972980782055,31.0
168,0.004802650909663225,32.0
382,0.004758896601618413,33.0
157,0.004757903175076324,34.0
98,0.004735858485851622,35.0
504,0.004730707470571925,36.0
3,0.004681450762921943,37.0
255,0.004592369375991355,38.0
234,0.004501867624514116,39.0
309,0.004341533157002879,40.0
5,0.004220659496298039,41.0
103,0.004129251427890301,42.0
521,0.00407960363360904,43.0
37,0.003972283370689931,44.0
404,0.0039600957837491995,45.0
401,0.0039600957837491995,45.0
32,0.0039025026575567625,46.0
102,0.003823055085802181,47.0
421,0.0037716107611270263,48.0
545,0.0037693212997441648,49.0
27,0.0037548294932804316,50.0
26,0.0037483224140425955,51.0
241,0.003701516876060069,52.0
89,0.0036189013836596296,53.0
52,0.003613894268608602,54.0
56,0.003613894268608602,54.0
47,0.0034844962762623586,55.0
22,0.003475830406811417,56.0
167,0.003426477124329528,57.0
211,0.0034148695111235147,58.0
1,0.00337171354188786,59.0
63,0.00336837889453493,60.0
165,0.0033230018476865394,61.0
337,0.0032718374957560496,62.0
130,0.0032702195448511854,63.0
19,0.0032454567451053523,64.0
448,0.0032266556769714365,65.0
85,0.003161439028052812,66.0
346,0.0031571100421007746,67.0
134,0.0031182578212710487,68.0
194,0.003106731665106123,69.0
77,0.0030347804487650173,70.0
550,0.0029999644674152523,71.0
24,0.002996094716675147,72.0
347,0.0029489190945895753,73.0
196,0.0029478166548954385,74.0
357,0.002937259589274076,75.0
197,0.002925937951410548,76.0
238,0.002919953122811346,77.0
139,0.002904637033684512,78.0
31,0.0026823560407030402,79.0
43,0.0026673188287109654,80.0
150,0.002666681005582598,81.0
62,0.002637126789660681,82.0
46,0.002606292243878157,83.0
317,0.0025732112989673896,84.0
215,0.0025706847608889445,85.0
35,0.0025544517604049596,86.0
272,0.0025419539777436673,87.0
226,0.0024908799930301088,88.0
191,0.002479099571957789,89.0
198,0.0024411440564454396,90.0
517,0.002394552014069586,91.0
571,0.002377110934732721,92.0
252,0.002365215780796941,93.0
121,0.002358149110490723,94.0
282,0.0023347783046152107,95.0
75,0.002331759788312595,96.0
92,0.0023051148242239465,97.0
473,0.002301364300102058,98.0
41,0.0022865279934674698,99.0
206,0.0022411094335764124,100.0
45,0.002235421333353479,101.0
123,0.0022332724226227147,102.0
146,0.002211463959204562,103.0
182,0.0022108410685889304,104.0
515,0.0021825457813816453,105.0
428,0.002178199176067366,106.0
6,0.0021671373602795145,107.0
109,0.002148399896258481,108.0
107,0.0021388839588502707,109.0
34,0.0021270355753923976,110.0
463,0.0021148735123794294,111.0
