Starting Node,Average Spreading Ability
1,10.57
2,3.01
3,37.54
4,7.89
5,49.28
6,2.61
7,7.58
8,2.34
9,1.69
10,1.86
11,1.6
12,2.66
13,3.0
14,31.62
15,44.41
16,58.81
17,62.86
18,67.63
19,42.01
20,46.12
21,5.0
22,48.57
23,59.14
24,41.23
25,11.95
26,56.2
27,53.38
28,58.82
29,56.16
30,33.56
31,25.54
32,52.14
33,50.86
34,35.64
35,39.66
36,11.95
37,57.44
38,23.72
39,61.99
40,21.54
41,41.8
42,14.98
43,43.67
44,34.23
45,33.77
46,36.71
47,47.81
48,1.74
49,2.79
50,1.65
51,2.79
52,14.73
53,2.0
54,2.2
55,1.82
56,17.51
57,2.31
58,1.25
59,15.23
60,10.28
61,6.67
62,11.41
63,50.52
64,32.97
65,6.97
66,17.66
67,18.36
68,16.12
69,17.48
70,28.27
71,6.06
72,20.68
73,8.19
74,25.73
75,18.44
76,55.45
77,4.3
78,25.11
79,18.8
80,20.13
81,7.11
82,33.37
83,17.58
84,5.13
85,46.4
86,8.04
87,9.88
88,37.7
89,51.93
90,34.31
91,8.82
92,19.87
93,10.93
94,18.66
95,17.35
96,2.94
97,14.54
98,13.03
99,16.81
100,12.25
101,11.87
102,25.93
103,51.75
104,6.66
105,27.7
106,12.39
107,29.31
108,8.83
109,37.43
110,23.0
111,6.7
112,10.47
113,8.87
114,23.72
115,9.45
116,24.58
117,16.16
118,22.57
119,8.84
120,7.44
121,25.99
122,10.13
123,31.6
124,2.97
125,33.92
126,50.74
127,14.99
128,12.01
129,13.09
130,46.6
131,25.43
132,33.42
133,18.12
134,23.06
135,6.37
136,12.76
137,18.62
138,9.68
139,14.96
140,18.74
141,18.29
142,29.74
143,36.12
144,11.87
145,30.64
146,19.9
147,50.31
148,10.22
149,7.27
150,31.26
151,7.54
152,18.89
153,8.24
154,16.77
155,13.16
156,19.58
157,41.9
158,11.43
159,14.9
160,4.47
161,6.17
162,36.28
163,11.79
164,12.8
165,30.37
166,23.67
167,48.05
168,45.52
169,13.26
170,32.99
171,14.09
172,2.71
173,3.1
174,2.77
175,24.48
176,5.25
177,5.13
178,3.26
179,5.07
180,3.56
181,1.31
182,4.43
183,3.75
184,3.08
185,1.24
186,2.56
187,3.32
188,2.04
189,2.26
190,2.14
191,10.1
192,2.36
193,3.13
194,26.48
195,17.56
196,21.26
197,13.24
198,22.18
199,8.73
200,2.7
201,37.61
202,5.98
203,1.21
204,1.21
205,2.39
206,24.41
207,2.76
208,3.87
209,18.7
210,4.79
211,4.14
212,8.98
213,21.73
214,16.22
215,44.44
216,27.47
217,17.43
218,27.95
219,12.85
220,12.86
221,1.92
222,1.99
223,2.56
224,1.12
225,1.27
226,3.5
227,2.46
228,1.98
229,1.77
230,1.34
231,2.17
232,11.17
233,1.99
234,2.86
235,1.55
236,2.77
237,1.05
238,2.29
239,1.47
240,12.28
241,8.47
242,1.61
243,4.27
244,5.25
245,3.64
246,2.92
247,2.64
248,3.97
249,3.0
250,2.73
251,3.83
252,3.53
253,6.32
254,4.52
255,6.72
256,4.41
257,2.43
258,2.02
259,1.85
260,2.77
261,4.1
262,2.48
263,4.57
264,2.41
265,5.17
266,1.87
267,3.57
268,5.26
269,4.49
270,3.33
271,4.27
272,3.83
273,5.76
274,3.39
275,4.15
276,1.75
277,3.53
278,3.63
279,2.67
280,2.3
281,2.09
282,5.71
283,3.35
284,5.45
285,13.03
286,3.88
287,4.45
288,4.67
289,2.09
290,9.12
291,4.73
292,1.66
293,2.03
294,2.67
295,2.69
296,3.76
297,4.23
298,2.29
299,2.88
300,1.42
301,1.83
302,2.17
303,2.01
304,23.77
305,6.38
306,4.12
307,1.3
308,1.22
309,3.69
310,1.38
311,1.34
312,25.47
313,2.04
314,1.08
315,1.99
316,1.84
317,2.33
318,1.92
319,1.06
320,1.1
321,22.01
322,33.3
323,18.36
324,13.65
325,16.29
326,7.25
327,6.9
328,7.22
329,12.97
330,9.75
331,2.44
332,16.06
333,19.17
334,8.19
335,12.04
336,14.18
337,14.77
338,12.56
339,5.98
340,14.04
341,6.78
342,7.83
343,3.6
344,10.24
345,8.58
346,19.67
347,11.92
348,17.84
349,17.2
350,1.09
351,5.96
352,8.05
353,6.36
354,12.46
355,4.77
356,5.62
357,6.52
358,5.42
359,5.89
360,5.23
361,3.79
362,3.31
363,1.2
364,1.39
365,10.62
366,1.1
367,1.12
368,11.48
369,3.15
370,1.79
371,2.45
372,2.02
373,2.16
374,1.79
375,2.05
376,1.91
377,1.55
378,1.27
379,1.62
380,1.51
381,1.39
382,2.87
383,1.36
384,1.26
385,1.41
386,1.08
387,1.25
388,1.14
389,1.12
390,1.16
391,1.81
392,1.07
393,7.52
394,12.03
395,5.35
396,5.0
397,3.28
398,4.92
399,4.55
400,3.42
401,5.42
402,3.8
403,4.05
404,4.57
405,3.79
406,3.67
407,4.7
408,3.26
409,3.54
410,1.76
411,2.21
412,3.07
413,2.54
414,2.1
415,2.84
416,2.88
417,1.86
418,3.09
419,2.08
420,2.24
421,3.29
422,2.11
423,2.18
424,1.76
425,3.06
426,1.38
427,1.22
428,9.47
429,4.95
430,3.57
431,4.14
432,9.8
433,1.06
434,6.02
435,8.87
436,1.26
437,1.29
438,3.81
439,3.26
440,2.98
441,1.1
442,1.8
443,1.77
444,2.48
445,2.56
446,2.0
447,1.34
448,2.21
449,2.39
450,1.83
451,2.57
452,1.9
453,1.12
454,1.44
455,1.48
456,1.76
457,1.1
458,1.43
459,1.04
460,1.21
461,6.86
462,1.3
463,5.96
464,1.13
465,1.12
466,1.06
467,1.14
468,1.13
469,3.22
470,5.22
471,2.15
472,2.51
473,8.14
474,8.33
475,1.48
476,5.05
477,2.41
478,1.88
479,2.25
480,1.57
481,1.08
482,1.31
483,1.29
484,2.09
485,1.22
486,1.41
487,4.76
488,7.79
489,6.77
490,2.3
491,1.97
492,1.75
493,1.97
494,3.28
495,7.61
496,12.64
497,5.64
498,6.4
499,8.38
500,3.04
501,4.23
502,6.08
503,6.92
504,2.93
505,1.11
506,1.19
507,1.19
508,4.68
509,1.99
510,1.71
511,1.13
512,4.45
513,2.34
514,3.31
515,1.37
516,1.07
517,1.48
518,1.22
519,1.17
520,2.59
521,2.53
522,1.08
523,2.55
524,3.07
525,1.11
526,1.19
527,1.03
528,1.15
529,10.68
530,6.92
531,4.99
532,2.9
533,4.85
534,1.15
535,1.07
536,1.05
537,1.5
538,1.77
539,1.62
540,1.22
541,1.03
542,1.97
543,2.46
544,2.63
545,1.99
546,2.72
547,2.04
548,1.87
549,2.21
550,1.26
551,1.3
552,1.11
553,4.51
554,4.45
555,5.31
556,2.66
557,2.04
558,1.16
559,1.43
560,1.2
561,1.12
562,1.22
563,2.62
564,4.03
565,1.35
566,2.08
567,1.19
568,1.23
569,1.06
570,1.26
571,3.01
572,1.06
573,2.54
574,1.14
575,1.03
576,1.1
577,1.3
578,1.19
579,1.04
580,1.2
581,1.14
582,1.27
583,1.04
584,1.07
585,1.16
586,1.35
