Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.003101737,0.002479849,0.045310245,0,705.4156874,214.8280741,1.529807963,0.000742687,17,97,0.000476343,0.000284276,0.6,9.294017094,58.51417439,41.6,94,1010.068772,130,82,7.30E-05,513,0.076923077,11.13636364,4.1,1.14874064,0.204345957,80,13.4,6.07E-06,281.5403693,61.99606061,-0.437533333,2122.821593,0.010206712,0.000103117,76,1217.076451,65764,7.711111111,332.345827,31,154,888,4,0.527335375,29.0229814,17.28555698,-11597.92738,4
2,0.00248139,0,-0.184920635,0,704.7473654,213.6244817,1.221934886,0.000552932,16,93,0.000257005,0.000940858,1,4,57.63786545,50,90,805.4994624,100,70,7.30E-05,503,0.076923077,7.636363636,4,1.12369675,0.200297374,80,12.4,6.03E-06,185.0433589,57.62272727,-0.59171875,1798.469897,0.009339276,9.64E-05,76,1216.155063,55930,6.311111111,306.3761019,29,151,879,4,0.462101337,10.00753981,15.83877509,-11602.04331,4
3,0.003722084,0.005206185,-0.000252525,0,801.686249,243.5216435,2.084640766,0.000781988,23,147,0.000695681,0.000109851,0.466666667,28.67162698,87.90645167,58.66666667,143,1606.813409,240,122,8.19E-05,945,0.083333333,18.61363636,4.8,1.677353015,0.236480241,81,19.6,2.22E-05,592.5991856,95.42396643,-0.36625,5518.9024,0.016125344,0.000511675,128,1389.842117,167384,9.280808081,489.9883757,46,248,1404.75,4,0.908921607,80.25684806,26.46718973,-10150.94309,4
4,0.006203474,0.003027408,0.307640399,0,776.1691999,239.2622687,3.368111619,0.001232883,37,202,0.001573033,0.00073583,0.244444444,72.87242757,102.3176104,69.68888889,196,2689.642196,560,222,7.70E-05,1504,0.076923077,44.54545455,7.3,2.706492064,0.282275805,84,28.4,3.87E-05,1177.8418,190.0547036,-0.217322449,12701.72325,0.030464044,0.001433558,158,1342.482039,405039,14.97316017,871.2438513,66,326,2505,5,1.646379977,269.4004177,52.18409537,-8717.438996,4
5,0.001240695,0.001240695,-0.047619048,2,615.001148,185.458274,0.533035374,0.000470472,5,18,0.000181671,0.001145613,0,2.8,26.84603398,6,9,280.2489151,12,18,6.54E-05,83,0.071428571,1.909090909,1.7,0.237232632,0.02504389,5,3.6,5.04E-07,83,12.10619048,-0.5,94.61878292,0.00210858,2.52E-06,30,1056.514235,3762,2.6,73.596589,8,12,157.25,1,0.058444322,9.799542757,2.709836228,-18071.11998,1
6,0.00248139,0,-0.184920635,0,704.7473654,213.6244817,1.221934886,0.000552932,16,93,0.000257005,0.000940858,1,4,57.63786545,50,90,805.4994624,100,70,7.30E-05,503,0.076923077,7.636363636,4,1.12369675,0.200297374,80,12.4,6.03E-06,185.0433589,57.62272727,-0.59171875,1798.469897,0.009339276,9.64E-05,76,1216.155063,55930,6.311111111,306.3761019,29,151,879,4,0.462101337,10.00753981,15.83877509,-11602.04331,4
7,0.003101737,0.001241593,0.120707071,5,704.728026,214.0775453,1.528700638,0.00073592,15,87,0.000476343,6.54E-05,0.3,12.91306471,56.82549884,31.2,68.25,1003.020161,120,78,7.30E-05,518,0.076923077,11.13636364,4.1,1.003597148,0.159589409,57,12.6,7.37E-06,383.7438383,68.36924242,-0.3077,2265.688615,0.012247044,0.000110502,77,1216.156939,62322,6.377777778,346.8770995,29,111.75,848,3,0.444522485,54.82877288,13.78680807,-11022.23861,3
8,0.007444169,0.011730084,0.331953979,0,950.8614951,292.2428025,4.944265442,0.001380434,46,278,0.00201171,0.000494053,0.136363636,190.0485011,157.0553612,86.36363636,286,4733.683109,912,308,9.40E-05,2648,0.090909091,75.40909091,8.4,4.103604314,0.394066855,122,37.6,0.000205525,2310.446976,322.8005938,-0.133128941,30969.96139,0.053777294,0.009454164,283,1658.40718,966966,16.08679654,1485.52658,88,511,4427.5,6,2.838019711,692.8466346,76.3885393,-6888.525588,4
9,0.007444169,0.004777956,0.242015117,0,899.7720429,279.0675338,4.713523299,0.001402235,41,309,0.00201171,0.000627916,0.196969697,176.1247791,166.1884096,111.3181818,290,4571.604199,1116,342,8.75E-05,3072,0.083333333,85.90909091,8.7,3.974773387,0.423170076,119,44.4,0.000148955,2522.774072,335.5105433,-0.140537553,40968.2123,0.05899899,0.006107168,298,1577.028174,1163484,14.68102453,1490.063222,105,577,4175,7,3.060245124,728.4650692,94.88091596,-6785.725336,4
10,0.004342432,0.000943587,-0.168272869,0,872.9047048,265.9676993,2.661654627,0.000797715,28,253,0.000915019,0.000419667,0.476190476,30.66271082,139.7889174,104.8095238,231,2442.055718,497,198,8.62E-05,2383,0.083333333,36.19318182,6.7,2.946884741,0.370284117,120,32.6,0.000116695,1480.188911,234.7402115,-0.24177235,22802.43672,0.040958915,0.003267457,267,1528.848241,576972,8.396825397,1011.441548,78,480,3336,6,1.780643231,205.4561212,58.72863522,-7674.707555,4
11,0.003722084,0.002615182,-0.082264957,0,862.8643609,261.9137885,2.249121134,0.00073565,22,186,0.000695681,0.000253685,0.266666667,36.76204004,115.9203046,62.06666667,187,1947.005837,294,140,8.59E-05,1695,0.083333333,24.34090909,5.4,2.172125685,0.325495324,121,23.2,0.000128695,1298.248534,173.892681,-0.225143141,11144.8925,0.030630216,0.002831282,222,1505.255118,322980,7.111544012,781.9252731,55,369,2451,5,1.286130405,206.0019977,30.95259529,-8205.103303,4
12,0.001861042,3.70E-06,-0.262820513,0,702.223372,212.2720869,0.914359886,0.000444807,10,62,3.77E-05,0.001145613,0.333333333,6.636363636,51.74577501,24,57,589.8120968,54,48,7.30E-05,396,0.076923077,5.25,3,0.709440722,0.127465874,48,9,5.39E-06,283.746399,43.10744589,-0.405555556,995.9099184,0.007901296,5.39E-05,79,1212.646206,33888,3.877777778,225.6881282,21,99.75,557.75,3,0.299705115,28.15590003,7.284552728,-11875.66032,3
13,0.00248139,0.000947482,-0.224206349,0,796.9314755,240.4473592,1.383536083,0.000542488,14,108,0.000257005,0.000155613,0.333333333,12.03809524,79.07858892,40,87,1041.903384,120,80,8.18E-05,800,0.083333333,10.18181818,3.7,1.152832217,0.176790513,61,14.4,2.23E-05,573.2250485,77.41567638,-0.350086806,3043.988301,0.014162989,0.000312742,128,1383.692251,99920,5.014141414,382.7434894,34,163.5,1068.75,3,0.545200359,67.37119104,13.54537766,-10428.93551,3
14,0.000620347,0,-0.333333333,0,546.1343877,164.8602753,0.236878978,0.00029209,1,5,0.000401009,0.000620347,0,1,15.08241462,2,2,105.3657857,2,6,5.91E-05,15,0.066666667,0.397727273,1,0.032886676,0.007842786,1,1.4,4.15E-08,15,5.193333333,-1,4.414553294,0.001253246,4.15E-08,7,937.5303018,231,1,26.84603398,3,3.25,12,1,0.010084808,2.376492765,1.600731114,-22778.44506,1
15,0.001240695,3.22E-05,-0.35,0,729.1437585,219.3532436,0.63287564,0.000353089,6,28,0.000181671,0.000795436,0,3.5,47.12646259,9,24,411.2753679,18,24,7.55E-05,250,0.076923077,2.386363636,2,0.398093941,0.03819641,9,4.8,1.11E-05,250,31.41130536,-0.5,294.7739006,0.005976975,6.68E-05,61,1261.147836,11592,2.266666667,156.4244244,11,44,395,2,0.129771364,31.53059305,3.077683446,-13108.23652,2
16,0.001861042,5.18E-05,0.133333333,0,720.5593115,217.6640252,0.938243257,0.00055131,6,18,3.77E-05,0.000620347,0,7.666666667,40.50411983,7,18,582.9353478,21,26,7.53E-05,133,0.076923077,3.818181818,2.4,0.195019885,0.034402207,8,4.6,6.37E-06,133,25.24222944,-0.333333333,165.5187327,0.006312264,3.82E-05,31,1244.824349,5941,3,163.8745143,10,26,150.5,2,0.103634521,33.74266809,3.24518677,-12666.72284,2
17,0.001861042,0.001285732,-0.247619048,0,834.978573,251.2908794,1.089173198,0.000478119,8,63,3.77E-05,0.001089903,0,10.78461538,76.65541076,19,44.5,836.3245853,57,50,8.53E-05,603,0.083333333,6.681818182,2.7,0.647769697,0.097631758,30,9.4,5.76E-05,603,59.57363793,-0.333333333,1211.654446,0.011194225,0.000460851,122,1454.001406,53175,3.454545455,304.790017,22,89.5,720.5,3,0.309641259,87.89378824,5.634246688,-10913.3938,2
18,0.001240695,7.42E-05,-0.1,0,744.7594291,223.6716215,0.645289979,0.000401617,4,12,0.000181671,0.000620347,0,3.166666667,40.09264091,5,12,407.779112,10,16,7.78E-05,90,0.076923077,1.75,2,0.108516356,0.02478951,6,3.2,8.53E-06,90,13.51925418,-0.5,54.58775937,0.003577196,3.41E-05,19,1288.406073,2120,2,113.4360451,7,17,86,2,0.05641169,15.7243909,2.364247899,-14619.85982,2
