Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,Clustered Local Degree,DIL Centrality,I-GSM Values,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.016197783,0.07227844,0.596703297,19,3323.976051,53.25101784,11.31071429,0.003683443,133,5273,0.001336526,0.011351543,0.040935673,165.5087719,573.1619433,342.9747099,2280,22038.16818,3021,698,9.22E-05,12282,0.027777778,222.1704545,13.9,10.74952627,0.794390612,83,75,6.46E-08,11789.37973,656.847666,-0.08108816,714565.1806,0.132348074,8.59E-06,2788,3632.901834,81108996,27.22472456,7313.71239,178,2448.75,279303,6,4.786802032,2977.433624,2.03E+17,-9548.525519,3
2,0.000852515,0,-0.9,0,2573.720189,4.585638634,0.466085082,0.000292602,3,133,0.000737302,0.000862003,0,19,1,67.44151641,36,596.7762104,19,40,8.32E-05,755,0.027027027,1.75,1,1.176927218,0.382536606,41,8.2,1.29E-09,755,80.28392652,-1,936.6210572,0.017759218,3.86E-09,177,2787.462966,201000,1.040935673,342.9747099,20,58.5,2448.75,1,0.029284884,31.55894852,8.04987E+13,-18996.21614,1
3,0.043478261,0.033847066,-0.000596867,0,5007.489456,4107.507358,40.4662139,0.001493625,2503,126076,0.005023332,0.001145519,0.961568627,5145.19451,461.2579661,2785.368773,128425,160411.9631,133773,7898,0.000100735,246807,0.028571429,1050.715909,44.1,70.2463286,1.360885013,105,1079.8,1.58E-06,94352.52441,4389.967294,-0.073089121,315338159.1,0.572786791,0.003950176,3026,5379.213927,3220622746,97.80991576,140048.6354,2674,136187.5,6811386.25,50,86.28246752,3558.00016,1.21E+20,-6116.974989,50
4,0.043478261,0.033847066,-0.000596867,0,5007.489456,4107.507358,40.4662139,0.001493625,2503,126076,0.005023332,0.001145519,0.961568627,5145.19451,461.2579661,2785.368773,128425,160411.9631,133773,7898,0.000100735,246807,0.028571429,1050.715909,44.1,70.2463286,1.360885013,105,1079.8,1.58E-06,94352.52441,4389.967294,-0.073089121,315338159.1,0.572786791,0.003950176,3026,5379.213927,3220622746,97.80991576,140048.6354,2674,136187.5,6811386.25,50,86.28246752,3558.00016,1.21E+20,-6116.974989,50
5,0.00170503,0.00170503,-0.238095238,2,2574.387423,5.587952474,0.933257557,0.000628572,4,134,0.00062209,0.000862003,0,20,2.947368421,68.42571855,37,1194.830199,40,46,8.32E-05,775,0.027027027,4.136363636,1.7,1.186913221,0.382827304,41,9.2,1.29E-09,775,81.69620722,-0.5,1649.763394,0.01843743,5.14E-09,177,2790.005258,231357,2.040935673,361.5507409,22,59.25,2455.5,1,0.041818803,64.61789704,8.05626E+13,-18984.09912,1
6,0.005967604,0.043932049,0.091203815,0,3317.143534,32.17393327,4.128055462,0.001245136,73,2831,4.60E-05,0.002989418,0.095238095,101.8571429,82.62857143,284.2205654,2241,7922.40571,651,242,9.25E-05,6587,0.027777778,59.02272727,5.8,4.69921404,0.634905254,67,41.4,3.28E-08,5988.613489,243.4711867,-0.208491153,205907.0362,0.044204824,2.39E-06,2921,3593.281162,27066127,10.74457713,3619.221459,100,2400,141143,3,2.299668777,880.7257467,5.23E+16,-11028.09479,3
7,0.00170503,0,-0.682539683,0,2603.470612,5.96688213,0.949095767,0.000443921,6,206,0.00062209,0.001177396,1,52,2,79.00292758,109,1241.688254,52,58,8.38E-05,1032,0.027027027,4.613636364,2,1.831513781,0.402217916,43,11.6,1.94E-09,379.6515833,159.7915623,-0.603538922,3113.894104,0.033997781,1.16E-08,246,2822.22677,425430,2.136173768,627.1952752,28,162,4848.75,2,0.084730934,10.77156138,1.83068E+14,-14920.46904,2
8,0.00170503,0.001106919,-0.787114846,0,2631.853844,6.273860698,0.968127286,0.000375149,16,307,0.00062209,0.001087173,0,34,3.880701754,93.01593898,182,1293.802789,68,74,8.43E-05,1196,0.027027027,6.204545455,2,2.097356804,0.431158484,46,14.8,1.30E-09,1196,105.1758711,-0.5,6413.455196,0.022150335,2.08E-08,368,2853.569803,551707,2.783792815,578.0201565,36,235,5237.25,2,0.132236994,84.11544778,8.23022E+13,-14865.49353,2
9,0.00170503,0,-0.722943723,0,2579.219015,5.795324468,0.939211884,0.00052723,5,150,0.00062209,0.001160195,1,56,2,76.87943184,80.5,1212.569643,56,62,8.33E-05,949,0.027027027,5.090909091,2,1.583505599,0.393249354,42,12.4,1.31E-09,349.1175897,105.4612436,-0.585650286,2681.277667,0.025113969,6.56E-09,194,2797.735082,323113,2.096491228,430.7788072,30,139,2605.75,2,0.067615467,11.28429318,8.38145E+13,-16390.88847,2
10,0.007672634,0.023679838,0.487337662,9,2586.815278,12.93528317,4.272433671,0.002481128,17,171,0.000184399,0.00329461,0.055555556,41.16666667,75.18803419,87.80409729,103,5528.000893,351,168,8.34E-05,1195,0.027027027,42.23863636,6.6,2.672986649,0.395865633,42,21,1.32E-09,1130.421565,159.7662562,-0.147088342,8167.766027,0.041071601,2.24E-08,197,2818.245327,895860,11.08855472,631.1860174,48,157,2854,2,0.194607383,387.6443543,8.42763E+13,-16325.24388,2
