Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,Clustered Local Degree,DIL Centrality,I-GSM Values,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.106438896,0.001473417,0.016951766,0,10933.50291,4911896.639,277.5331955,0.002063387,2755,233956,0.003556905,6.14E-05,0.351851852,9630.592593,9114.483093,8364.371504,227062.5,1096857.563,577044,20890,0.000634518,4336582,0.25,5670,67.8,107.7499406,1.461830678,700,2898.2,0.064131513,3050283.778,41124.84276,-0.023145076,2624355825,0.886609698,176.6823193,32458,22291.93407,67719384570,108.5327983,653602.7204,7205,471012.5,35953987.75,60,160.8022877,288783.0453,7.23E+29,-1756.28718,35
2,0.162943495,0.005395876,0.250715459,0,11736.37967,39120132.98,456.6755375,0.003124281,4174,331956,0.006142726,0.000710543,0.260555993,12819.85445,22358.81473,12384.09712,267268.75,1967983.333,1261080,35840,0.000672948,6191887,0.25,10346.95455,92.2,152.3282998,1.664290445,701,4142.4,0.090079704,4771610.572,62589.38305,-0.016732296,4582565772,1.352258923,375.9926845,32811,25431.82926,1.36447E+11,165.7531108,926685.1678,10294,554058.75,52912813.25,69,257.5347693,628888.6351,1.43E+30,-1352.046794,35
3,0.103810775,0.001787294,0.048260568,0,10897.2068,1016827.053,268.8711913,0.002079382,2650,205286,0.003436634,0.000386399,0.317429406,8335.375852,12007.48443,7474.471436,225207.5,1024173.556,499833,18974,0.000641437,3849538,0.25,5580.272727,65.8,97.85577058,1.416921575,705,2578.2,0.055712843,2802533.235,40445.24923,-0.02313337,2070499712,0.869638686,147.6390345,32601,21819.47817,57683255854,106.0971109,576346.3018,6406,451342.5,33507072.25,57,143.7343915,287874.9357,5.46E+29,-1782.548162,35
4,0.134034166,0.005246861,0.233084525,0,11234.08,11473058.5,356.545327,0.002739939,3312,235896,0.004819747,0.000190699,0.276645312,9287.594642,16062.7517,8768.479637,242077.5,1393021.792,742050,25056,0.000653595,4437870,0.25,7789.090909,76.8,112.7031367,1.311322823,586,2971.2,0.064098091,3365340.747,50650.77403,-0.020697317,2570916627,1.075594778,212.2928766,32487,22999.99309,80117111232,139.6870968,669537.3452,7377,475230,40402046.25,60,177.4418119,421122.3188,7.22E+29,-1537.938102,35
5,0.106438896,0.002245511,0.108706678,0,10875.13249,4622101.957,274.3746077,0.002165643,2652,195506,0.003556905,0.000100719,0.344135802,8105.138889,11622.98481,7166.629384,224113.75,1030375.688,488430,18702,0.000638162,3673531,0.25,5715.102273,65.1,95.63331372,1.397722096,705,2460.6,0.05385156,2603918.751,40371.38973,-0.025182477,1857172894,0.864645669,142.8143359,32454,21683.40015,55797968709,110.0791878,555494.9854,6111,442260,32685258.75,53,140.7365436,273007.8367,5.10E+29,-1761.650811,35
6,0.113009198,0.002244079,0.139882708,0,10994.75258,5358070.228,293.2225746,0.00223542,2875,206011,0.003857581,0.000365193,0.326402189,8309.909713,12136.11643,7473.023081,230107.5,1109279.958,538790,20012,0.000637755,3820895,0.25,6122.613636,67.4,101.4464923,1.342420025,655,2557.6,0.055860042,2756832.841,42909.85166,-0.024118897,1945429060,0.917386022,160.5976203,32470,21958.80542,60302499804,117.0079152,577106.0094,6351,448568.75,35098699.5,55,148.6300825,303663.5745,5.49E+29,-1701.747232,35
7,0.131406045,0.003608342,0.21189267,0,11198.4819,2053177.609,347.4209002,0.002548392,3343,238071,0.004699477,0.000868012,0.248686869,9020.513939,16857.28549,8682.827059,240292.5,1357265.972,722400,24548,0.000643501,4382917,0.25,7413.636364,76.6,116.1478972,1.388724489,643,2949.6,0.06477901,3417904.404,49013.97149,-0.019162603,2522065282,1.036210395,216.5562291,32153,22847.91596,77593417254,138.1851171,663576.1546,7324,470968.75,40537981,58,175.9530839,427578.0982,7.38E+29,-1551.475543,35
8,0.08804205,0.001949568,-0.001910911,0,10561.7296,2418978.488,220.8199498,0.001837079,2184,170608,0.002715009,0.000300128,0.354590683,7123.792402,6615.554543,6200.484941,208407.5,809462.8264,352353,15074,0.000620732,3188643,0.25,4343.579545,58.3,80.65251827,1.329610679,693,2143.8,0.046188174,2236707.126,33374.74969,-0.027096901,1435955812,0.714845431,100.874972,32005,20790.92683,42660558087,90.78405917,478057.1536,5326,418092.5,27359623.75,48,116.1085073,209419.6366,3.75E+29,-1966.009459,35
9,0.266754271,0.029341525,0.546224231,203,12874.38464,1263646634,813.3977446,0.005615271,6290,423189,0.01089342,0.006007225,0.165097791,15269.77164,52768.75882,17511.18803,324327.5,3670086.34,2660518,67624,0.000726744,7990603,0.25,21250.40909,142.4,212.2942374,1.866189391,705,5364.2,0.116052468,6774519.459,99783.47439,-0.012374144,6386072409,2.142126504,729.9700208,32920,30115.56115,2.86656E+11,275.3987954,1216592.042,13309,632082.5,75069711.75,71,409.3999657,1407038.334,2.37E+30,-958.9349657,35
10,0.090670171,0.000689027,-0.026064386,0,10646.62409,2692944.872,229.1059146,0.001800214,2338,188860,0.00283528,0.001183455,0.491901108,8553.069054,3909.842356,6728.229976,212677.5,858522.9167,395577,16296,0.000620347,3503513,0.25,4506.170455,60.3,92.21908547,1.377611455,705,2334.6,0.053138173,2142267.979,34914.16057,-0.031581219,1770186679,0.742828046,124.2370496,32046,21111.50758,48198125136,94.07041587,536986.7186,5802,430893.75,30106480,52,129.3216831,168469.0587,4.96E+29,-1933.558532,35
