Lambda,Kendall_Tau,P_Value
0.0115,0.6852951837320326,3.135058284608498e-75
0.0141,0.688446510721861,1.914467438591524e-76
0.0167,0.7083913637505028,2.9097819740711158e-81
0.0192,0.7257392655342261,1.8359418872139175e-85
0.0218,0.7293277430890899,1.359790011896349e-86
0.0243,0.7279895635838903,1.8369115306697087e-86
0.0269,0.7492900420911361,1.2596689988588357e-91
0.0295,0.7391375785015335,2.728440396988453e-89
0.032,0.7346337087329058,2.4551704883807792e-88
0.0346,0.75214135446592,1.5632135784529828e-92
