feature,score,rank
H-GSM_1,9.357651443497872e-05,1
LGC Scores,0.0020212398884144056,2
Laplacian Centrality,0.002048497271479377,3
MCGM Values,0.0020837765666675834,4
Local Gravity Model Centrality,0.0021060069898112266,5
Gravity Model Centrality,0.0023263762318574965,6
EIGSM Values,0.002470327071580236,7
EHCC Value,0.0025936784147172487,8
Density Centrality,0.002809406164154593,9
Extended Improved Gravity Index Values,0.0029519533012798416,10
H Values,0.002954404891048479,11
Extended Coreness,0.002958044449486885,12
Semi local centrality,0.0029602653538991497,13
Gravity Index Centrality,0.002960738106491445,14
Improved Gravity Index Values,0.0030069895037699856,15
HVGc Index,0.0030078731857730023,16
Local-Global Centrality,0.003014803081692663,17
Coreness Centrality,0.0030277009235594177,18
Eigenvector Centrality,0.0030287985236000514,19
I-GSM Values,0.003066692580050212,20
Subgraph centrality,0.003117907362854444,21
Extended Degree,0.003189329831193244,22
PE Values,0.0032113396633994817,23
Societal Capital Scores,0.0032263516791598557,24
Centrality Values,0.0034159998360120403,25
MDD Value,0.0039006305306384936,26
Degree Centrality,0.004180879764863588,27
GGC Values,0.004284186134683954,28
CLC Values,0.00456162042433228,29
Isolating Centrality,0.0049611464803582805,30
Clustered Local Degree,0.00517077868570992,31
Global Relative Change in Avg Degree,0.005199488530712948,32
GIN Values,0.005248950862970281,33
DNC Scores,0.005572965531892904,34
HCC Value,0.0061924043481143,35
GSM,0.006611918052553123,36
Node H-Index,0.006713688268275453,37
K-Shell Value,0.007198045347719728,38
PageRank Centrality,0.007839136059610285,39
Constraint Coefficients,0.00825746110209058,40
P Value,0.009161028032424579,41
Betweenness Centrality,0.009364993647315578,42
Second order centrality,0.011116369011330063,43
DIL Centrality,0.015056959403791814,44
Volume Centrality,0.016558538875762863,45
Eccentricity Centrality,0.017076980998374847,46
Closeness Centrality,0.021478643826118304,47
Clustering Coefficient,0.021955055901891063,48
Leverage Centrality,0.04048411107694283,49
Global Relative Change in Avg Clustering,0.05913865055693046,50
