Starting Node,Average Spreading Ability
1,7.98
2,7.58
3,8.18
4,9.26
5,7.79
6,8.27
7,12.0
8,11.8
9,9.45
10,7.42
11,11.83
12,9.02
13,8.74
14,8.31
15,9.11
16,10.57
17,10.99
18,11.15
19,9.95
20,11.17
21,7.96
22,8.38
23,9.46
24,7.77
25,10.69
26,11.08
27,9.47
28,9.96
29,6.97
30,9.55
31,7.03
32,9.84
33,10.21
34,12.17
35,7.84
36,9.32
37,9.61
38,10.63
39,9.25
40,7.83
41,10.38
42,8.67
43,9.18
44,8.1
45,7.38
46,7.11
47,12.12
48,7.55
49,8.16
50,8.95
51,8.86
52,11.32
53,11.46
54,9.68
55,8.78
56,8.94
57,7.92
58,9.4
59,7.19
60,9.56
61,12.07
62,10.91
63,8.82
64,6.01
65,10.06
66,10.91
67,7.0
68,11.38
69,8.76
70,8.5
71,9.64
72,6.48
73,9.5
74,9.42
75,9.74
76,8.33
77,9.13
78,9.71
79,10.15
80,7.44
81,9.43
82,10.22
83,8.43
84,10.85
85,7.59
86,7.81
87,7.97
88,8.57
89,9.89
90,12.87
91,8.1
92,9.15
93,9.36
94,8.2
95,10.87
96,7.64
97,9.44
98,7.21
99,8.61
100,10.41
101,9.07
102,10.2
103,9.92
104,10.45
105,10.71
106,7.35
107,9.75
108,8.75
109,9.95
110,10.49
111,7.69
112,9.7
113,8.74
114,9.82
115,8.78
116,9.1
117,10.99
118,9.11
119,7.2
120,7.24
121,11.63
122,8.48
123,8.79
124,9.82
125,9.15
126,7.78
127,10.51
128,11.0
129,8.79
130,10.06
131,10.09
132,10.8
133,6.66
134,10.56
135,13.54
136,6.83
137,11.55
138,9.65
139,7.56
140,10.33
141,8.69
142,7.9
143,8.85
144,10.07
145,6.56
146,8.79
147,10.54
148,8.79
149,9.91
150,10.07
151,12.58
152,7.73
153,14.54
154,9.4
155,9.57
156,7.63
157,6.17
158,10.91
159,9.98
160,9.52
161,10.1
162,8.04
163,8.19
164,8.3
