Starting Node,Average Spreading Ability
1,53.07
2,45.36
3,36.7
4,44.6
5,49.95
6,34.13
7,42.44
8,46.73
9,39.25
10,42.98
11,36.18
12,33.96
13,38.84
14,43.01
15,44.88
16,33.54
17,46.54
18,38.51
19,41.9
20,41.59
21,37.44
22,35.64
23,37.55
24,43.2
25,45.45
26,53.92
27,37.57
28,46.38
29,41.22
30,47.91
31,45.67
32,42.72
33,48.11
34,48.09
35,34.94
36,40.64
37,38.38
38,38.67
39,44.77
40,47.05
41,42.89
42,41.77
43,46.9
44,42.13
45,40.12
46,35.03
47,48.76
48,39.99
49,40.02
50,47.05
51,45.99
52,38.49
53,40.05
54,41.78
55,41.82
56,41.14
57,32.25
58,45.66
59,34.93
60,38.89
61,40.26
62,39.09
63,40.36
64,33.96
65,38.62
66,48.26
67,47.78
68,44.89
69,51.45
70,34.63
71,43.24
72,30.46
73,43.4
74,35.62
75,42.42
76,36.65
77,33.63
78,42.92
79,39.92
80,34.41
81,54.45
82,49.53
83,38.07
84,45.07
85,51.24
86,33.36
87,36.97
88,49.22
89,43.19
90,49.94
91,38.05
92,42.82
93,42.44
94,39.9
95,41.94
96,42.8
97,49.02
98,41.93
99,49.47
100,44.27
101,35.65
102,43.15
103,52.36
104,41.36
105,39.61
106,40.14
107,44.49
108,45.71
109,44.0
110,44.83
111,40.31
112,36.27
113,41.07
114,47.71
115,50.59
116,43.13
117,41.37
118,42.1
119,49.68
120,39.41
121,43.66
122,42.24
123,40.67
124,38.08
125,42.96
126,41.08
127,38.02
128,47.34
129,40.38
130,42.6
131,42.67
132,38.5
133,39.32
134,40.31
135,40.34
136,22.94
137,43.72
138,44.28
139,43.95
140,38.35
141,37.06
142,42.45
143,40.41
144,39.91
145,35.91
146,38.6
147,46.53
148,44.06
149,39.99
150,38.91
151,35.75
152,45.63
153,45.05
154,44.53
155,38.6
156,41.19
157,33.11
158,42.54
159,39.02
160,45.94
161,48.51
162,48.81
163,35.17
164,42.21
