feature,rank
P Value,1
GGC Values,2
I-GSM Values,3
Improved Gravity Index Values,4
H Values,5
Clustering Coefficient,6
HCC Value,7
K-Shell Value,8
Leverage Centrality,9
GSM,10
Constraint Coefficients,11
Betweenness Centrality,12
Second order centrality,13
Extended Improved Gravity Index Values,14
HVGc Index,15
Closeness Centrality,16
DIL Centrality,17
Node H-Index,18
EIGSM Values,19
EHCC Value,20
H-GSM_1,21
Subgraph centrality,22
Global Relative Change in Avg Clustering,23
Isolating Centrality,24
MDD Value,25
Eccentricity Centrality,26
Extended Degree,27
Volume Centrality,28
MCGM Values,29
Societal Capital Scores,30
DNC Scores,31
LGC Scores,32
GIN Values,33
Local-Global Centrality,34
PageRank Centrality,35
Coreness Centrality,36
Extended Coreness,37
Global Relative Change in Avg Degree,38
PE Values,39
Density Centrality,40
Centrality Values,41
CLC Values,42
Clustered Local Degree,43
Gravity Index Centrality,44
Gravity Model Centrality,45
Local Gravity Model Centrality,46
Laplacian Centrality,47
Eigenvector Centrality,48
Semi local centrality,49
Degree Centrality,50
