Node,Score,Rank
60,0.210407603,1.0
132,0.184345723,2.0
136,0.177774054,3.0
168,0.166874325,4.0
108,0.15531651,5.0
99,0.148181763,6.0
131,0.14656774,7.0
70,0.135237374,8.0
83,0.134578525,9.0
194,0.133727717,10.0
122,0.133479582,11.0
100,0.130652082,12.0
101,0.130084263,13.0
98,0.126974865,14.0
158,0.126001049,15.0
7,0.125692911,16.0
164,0.125070285,17.0
170,0.123344422,18.0
105,0.122361304,19.0
192,0.122330123,20.0
69,0.120765268,21.0
174,0.117223258,22.0
110,0.116177893,23.0
171,0.110921954,24.0
135,0.11075781,25.0
35,0.107127923,26.0
154,0.107127923,26.0
95,0.105162722,27.0
179,0.1021746,28.0
81,0.102054052,29.0
123,0.101193762,30.0
106,0.100436376,31.0
195,0.098065393,32.0
178,0.097942918,33.0
196,0.097561733,34.0
32,0.097538138,35.0
54,0.096841248,36.0
66,0.096753045,37.0
109,0.095662907,38.0
111,0.095622343,39.0
114,0.09542644,40.0
44,0.09522812,41.0
65,0.095029302,42.0
197,0.093506549,43.0
107,0.092127296,44.0
64,0.090696199,45.0
53,0.089616613,46.0
40,0.088647035,47.0
33,0.088647035,47.0
49,0.087813099,48.0
58,0.087754429,49.0
63,0.087054376,50.0
183,0.086995056,51.0
118,0.086256989,52.0
62,0.085489369,53.0
121,0.084731374,54.0
150,0.083328094,55.0
57,0.079569898,56.0
125,0.078183816,57.0
56,0.077117482,58.0
43,0.076210711,59.0
130,0.075620864,60.0
142,0.075035435,61.0
193,0.073665289,62.0
61,0.072379204,63.0
93,0.072251148,64.0
190,0.071836361,65.0
146,0.071836361,65.0
182,0.070721002,66.0
94,0.070546402,67.0
127,0.069940553,68.0
18,0.068351931,69.0
67,0.067016194,70.0
161,0.066788328,71.0
88,0.065910829,72.0
50,0.065101968,73.0
36,0.064797791,74.0
24,0.063523083,75.0
8,0.062350769,76.0
96,0.062332531,77.0
141,0.060623005,78.0
22,0.059874813,79.0
46,0.059690571,80.0
112,0.05927006,81.0
55,0.059081466,82.0
1,0.058462218,83.0
78,0.058129627,84.0
149,0.057543568,85.0
10,0.057238997,86.0
71,0.056726451,87.0
14,0.054255248,88.0
19,0.053667762,89.0
151,0.052923003,90.0
129,0.051471695,91.0
87,0.051295428,92.0
103,0.048592216,93.0
187,0.047103312,94.0
12,0.046625657,95.0
31,0.046121787,96.0
89,0.045969468,97.0
177,0.045280648,98.0
91,0.042889959,99.0
5,0.042437357,100.0
74,0.041291252,101.0
175,0.040923944,102.0
73,0.040909425,103.0
68,0.040234415,104.0
166,0.040234415,104.0
11,0.04018783,105.0
143,0.038464223,106.0
104,0.035315164,107.0
90,0.035231956,108.0
86,0.035159608,109.0
153,0.03399987,110.0
185,0.033192537,111.0
167,0.033113936,112.0
128,0.0329378,113.0
147,0.032444713,114.0
137,0.032218156,115.0
84,0.031833656,116.0
139,0.031754246,117.0
9,0.031664001,118.0
186,0.031318773,119.0
116,0.031207293,120.0
162,0.031073841,121.0
80,0.030169424,122.0
172,0.029735097,123.0
59,0.029214848,124.0
38,0.027896516,125.0
113,0.027655449,126.0
20,0.027613622,127.0
29,0.026534709,128.0
189,0.02610912,129.0
140,0.026103335,130.0
79,0.025347685,131.0
23,0.025038443,132.0
77,0.024619961,133.0
191,0.023683774,134.0
117,0.023615281,135.0
42,0.023415545,136.0
184,0.021669668,137.0
26,0.021608543,138.0
188,0.021330583,139.0
134,0.021299052,140.0
138,0.020567889,141.0
72,0.020553419,142.0
82,0.019344606,143.0
51,0.01910596,144.0
126,0.018891073,145.0
28,0.018622303,146.0
75,0.018570156,147.0
144,0.018315647,148.0
76,0.018083898,149.0
176,0.018080586,150.0
97,0.01805471,151.0
52,0.017135602,152.0
159,0.015999871,153.0
173,0.015951582,154.0
169,0.015453369,155.0
13,0.014217271,156.0
16,0.01350503,157.0
163,0.013331951,158.0
156,0.013292866,159.0
155,0.013059941,160.0
119,0.01283701,161.0
85,0.012279345,162.0
15,0.012088191,163.0
48,0.012088191,163.0
124,0.011179801,164.0
102,0.011039643,165.0
27,0.010630256,166.0
41,0.009835752,167.0
45,0.009835752,167.0
34,0.009803138,168.0
198,0.009507191,169.0
4,0.00911824,170.0
17,0.006577093,171.0
2,0.005856686,172.0
181,0.004407957,173.0
39,0.004407957,173.0
25,0.003308455,174.0
115,0.002520058,175.0
3,0.002482687,176.0
133,0.002430978,177.0
37,0.002128516,178.0
92,0.001655201,179.0
160,0.001437673,180.0
148,0.001391659,181.0
145,0.001341226,182.0
47,0.001165421,183.0
21,0.001060271,184.0
165,0.000829259,185.0
180,0.000471252,186.0
120,0.000320698,187.0
30,0.000244913,188.0
157,7.65e-05,189.0
152,6.5e-05,190.0
6,3.53e-06,191.0
