Lambda,Centrality,Kendall_Tau,P_Value
0.0133,Degree_Centrality,0.7836494468468207,4.213488616253012e-59
0.0133,Betweenness_Centrality,0.4911538764467682,1.6463947776255644e-24
0.0133,PageRank_Centrality,0.7108237539004423,1.0160275561537408e-49
0.0133,Closeness_Centrality,0.6786184127931625,3.134715828797018e-45
0.0133,Eigenvector_Centrality,0.7146304522495979,3.105290803349651e-50
0.0162,Degree_Centrality,0.7806368288708203,8.694534877182486e-59
0.0162,Betweenness_Centrality,0.46937008180047896,1.4334760814204926e-22
0.0162,PageRank_Centrality,0.7009748187729896,1.673876980739708e-48
0.0162,Closeness_Centrality,0.6704288982505204,2.7914198658889357e-44
0.0162,Eigenvector_Centrality,0.7275915139880906,4.059758952796533e-52
0.0192,Degree_Centrality,0.7801299836117167,8.303307437687697e-59
0.0192,Betweenness_Centrality,0.471545877656768,8.446269925707749e-23
0.0192,PageRank_Centrality,0.6958109552887158,6.817760179753657e-48
0.0192,Closeness_Centrality,0.6637331208867904,1.6680719902953301e-43
0.0192,Eigenvector_Centrality,0.7417089110201489,3.552129798467042e-54
0.0221,Degree_Centrality,0.7753982577058791,3.705950219211133e-58
0.0221,Betweenness_Centrality,0.4516155930918853,4.647587729107219e-21
0.0221,PageRank_Centrality,0.6813960541802705,4.941003837796139e-46
0.0221,Closeness_Centrality,0.6731707798072688,9.916334910622223e-45
0.0221,Eigenvector_Centrality,0.7761356125154952,3.437927688627863e-59
0.0251,Degree_Centrality,0.759080231309628,7.543246748238912e-56
0.0251,Betweenness_Centrality,0.43334582773472424,1.5799005444213994e-19
0.0251,PageRank_Centrality,0.6603221973636674,2.295369098256503e-43
0.0251,Closeness_Centrality,0.6762218069140179,3.762828613637362e-45
0.0251,Eigenvector_Centrality,0.7934024382121914,8.192551884781899e-62
0.028,Degree_Centrality,0.765017869072532,1.0823150845416369e-56
0.028,Betweenness_Centrality,0.44880140167694343,7.898594437593328e-21
0.028,PageRank_Centrality,0.6680519433808514,2.427842302172283e-44
0.028,Closeness_Centrality,0.6846949223918363,3.061046376767982e-46
0.028,Eigenvector_Centrality,0.7877995231251803,5.8018211194409985e-61
0.031,Degree_Centrality,0.7579287603945528,1.0596576590442912e-55
0.031,Betweenness_Centrality,0.4387311263891561,5.548059567476395e-20
0.031,PageRank_Centrality,0.6550910498487569,1.0122217200719307e-42
0.031,Closeness_Centrality,0.683422664515441,4.297453480572637e-46
0.031,Eigenvector_Centrality,0.7981020785057402,1.5221566193665453e-62
0.0339,Degree_Centrality,0.7723939712781688,8.826200186258674e-58
0.0339,Betweenness_Centrality,0.4599615277588475,8.315799342038248e-22
0.0339,PageRank_Centrality,0.6693852429684759,1.5696460433670087e-44
0.0339,Closeness_Centrality,0.686748857165593,1.5793470486745377e-46
0.0339,Eigenvector_Centrality,0.8133158936787857,6.963561800526919e-65
0.0369,Degree_Centrality,0.78044397440894,5.892172837905998e-59
0.0369,Betweenness_Centrality,0.46113265021337124,6.543905236139001e-22
0.0369,PageRank_Centrality,0.6747537956503898,3.197264424622724e-45
0.0369,Closeness_Centrality,0.7016490017504455,1.7097219249681537e-48
0.0369,Eigenvector_Centrality,0.832119409109561,7.779767799420376e-68
0.0399,Degree_Centrality,0.8055638844196839,1.072654389636883e-62
0.0399,Betweenness_Centrality,0.46569808881246705,2.574459847941663e-22
0.0399,PageRank_Centrality,0.698381761058529,2.5467325843582307e-48
0.0399,Closeness_Centrality,0.709758405055263,1.3947926399494685e-49
0.0399,Eigenvector_Centrality,0.8237375941980005,1.6234152647211428e-66
