Lambda,Kendall_Tau,P_Value
0.0133,0.7870606046227214,1.505049211593309e-60
0.0162,0.7812359730702634,8.248118215049842e-60
0.0192,0.7826782272099515,4.036348120807009e-60
0.0221,0.7870157784781537,8.25380792319558e-61
0.0251,0.7833470306538604,2.6562478232689605e-60
0.028,0.7871838543347209,7.177248091650224e-61
0.031,0.7850730966983968,1.4080088641416778e-60
0.0339,0.7920802239018547,1.2366050219797183e-61
0.0369,0.8027800574476817,2.900859842977064e-63
0.0399,0.82773831227692,3.8083959228144245e-67
