Starting Node,Average Spreading Ability,Node,Rank
8,6.67,8,72.0
1,6.66,1,73.0
35,8.33,35,48.0
46,6.48,46,79.0
60,14.26,60,1.0
89,6.76,89,71.0
95,9.17,95,36.0
98,10.76,98,18.0
99,11.04,99,15.0
100,12.3,100,7.0
101,12.85,101,5.0
110,10.21,110,26.0
118,9.14,118,37.0
121,9.95,121,28.0
131,9.61,131,31.0
132,14.18,132,2.0
136,13.06,136,4.0
142,7.43,142,65.0
154,10.15,154,27.0
168,13.2,168,3.0
171,8.56,171,46.0
174,10.3,174,24.0
24,5.52,24,90.0
42,2.51,42,152.0
74,3.7,74,131.0
78,6.59,78,77.0
81,9.54,81,32.0
103,4.71,103,108.0
104,4.53,104,113.0
108,9.69,108,30.0
159,1.58,159,164.0
15,2.53,15,151.0
16,1.79,16,163.0
20,4.5,20,115.0
43,8.1,43,53.0
48,2.78,48,148.0
80,4.4,80,116.0
91,4.79,91,107.0
105,6.09,105,83.0
107,9.14,107,37.0
182,6.87,182,70.0
32,8.16,32,51.0
33,7.44,33,64.0
40,8.13,40,52.0
44,8.32,44,49.0
58,9.05,58,39.0
62,7.64,62,60.0
63,7.55,63,62.0
64,5.62,64,87.0
65,8.55,65,47.0
66,11.17,66,14.0
68,4.24,68,123.0
106,9.69,106,30.0
109,8.1,109,53.0
122,10.85,122,17.0
123,10.41,123,21.0
135,7.07,135,68.0
166,5.16,166,95.0
170,10.87,170,16.0
179,11.64,179,12.0
187,4.12,187,126.0
50,6.17,50,81.0
183,9.02,183,40.0
7,11.93,7,11.0
10,7.13,10,67.0
12,5.58,12,88.0
14,5.41,14,91.0
18,7.54,18,63.0
19,6.45,19,80.0
23,2.46,23,154.0
31,5.36,31,92.0
36,6.48,36,79.0
49,9.23,49,34.0
52,3.12,52,144.0
53,8.99,53,41.0
54,10.42,54,20.0
55,5.28,55,93.0
56,9.09,56,38.0
57,7.96,57,54.0
61,8.93,61,43.0
69,10.57,69,19.0
70,12.78,70,6.0
72,3.55,72,135.0
83,12.01,83,9.0
88,7.07,88,68.0
93,7.79,93,58.0
94,5.7,94,85.0
111,7.85,111,55.0
112,4.87,112,104.0
114,10.33,114,23.0
125,8.16,125,51.0
127,6.65,127,74.0
129,3.67,129,132.0
130,9.25,130,33.0
141,7.83,141,56.0
146,7.68,146,59.0
150,9.83,150,29.0
151,8.99,151,41.0
158,10.4,158,22.0
161,7.8,161,57.0
164,12.29,164,8.0
190,6.12,190,82.0
192,11.95,192,10.0
193,6.61,193,76.0
194,11.33,194,13.0
195,10.25,195,25.0
196,9.19,196,35.0
197,8.99,197,41.0
71,6.64,71,75.0
87,4.96,87,102.0
137,5.06,137,99.0
188,2.35,188,156.0
22,4.67,22,109.0
67,6.56,67,78.0
178,8.96,178,42.0
59,3.8,59,129.0
73,4.35,73,118.0
82,2.98,82,146.0
143,4.64,143,110.0
139,4.86,139,105.0
84,4.53,84,113.0
134,1.87,134,162.0
9,3.36,9,140.0
116,3.28,116,141.0
117,3.61,117,134.0
153,7.21,153,66.0
2,1.42,2,167.0
96,8.79,96,44.0
185,4.38,185,117.0
186,3.83,186,128.0
5,7.56,5,61.0
149,8.24,149,50.0
177,4.25,177,122.0
115,1.48,115,166.0
3,1.13,3,175.0
148,1.09,148,178.0
152,1.1,152,177.0
157,1.12,157,176.0
167,8.69,167,45.0
172,4.32,172,120.0
4,2.45,4,155.0
13,2.95,13,147.0
25,2.7,25,149.0
26,5.28,26,93.0
27,2.01,27,160.0
28,5.11,28,97.0
29,5.66,29,86.0
37,1.28,37,172.0
39,1.36,39,169.0
51,3.77,51,130.0
76,3.02,76,145.0
86,5.04,86,100.0
90,7.04,90,69.0
92,1.58,92,164.0
124,2.69,124,150.0
126,3.86,126,127.0
128,5.95,128,84.0
140,5.09,140,98.0
144,3.64,144,133.0
147,5.18,147,94.0
163,3.52,163,137.0
181,2.49,181,153.0
198,2.95,198,147.0
47,1.33,47,171.0
75,4.8,75,106.0
77,5.53,77,89.0
79,3.44,79,138.0
85,3.36,85,140.0
97,4.93,97,103.0
102,3.14,102,143.0
133,1.34,133,170.0
138,3.53,138,136.0
145,1.98,145,161.0
155,4.17,155,125.0
156,3.27,156,142.0
169,4.34,169,119.0
173,4.52,173,114.0
176,4.29,176,121.0
184,3.43,184,139.0
189,5.62,189,87.0
191,4.57,191,112.0
21,1.18,21,173.0
41,1.53,41,165.0
45,2.17,45,158.0
11,5.14,11,96.0
38,5.02,38,101.0
162,4.19,162,124.0
113,4.62,113,111.0
17,1.38,17,168.0
175,5.11,175,97.0
160,1.1,160,177.0
180,1.13,180,175.0
6,1.05,6,179.0
34,2.02,34,159.0
165,1.16,165,174.0
119,2.27,119,157.0
30,1.02,30,180.0
120,1.01,120,181.0
