Starting Node,Average Spreading Ability
1,1.67
2,1.71
3,1.83
4,2.34
5,1.24
6,1.46
7,1.64
8,2.28
9,2.67
10,2.19
11,1.76
12,1.49
13,1.55
14,1.05
15,1.23
16,1.24
17,1.36
18,1.24
19,3.25
20,2.05
21,2.65
22,2.31
23,2.15
24,2.47
25,1.64
26,2.36
27,1.67
28,2.37
29,1.36
30,1.44
31,2.29
32,1.76
33,1.5
34,1.93
35,1.95
36,2.22
37,1.55
38,1.44
39,2.07
40,1.91
41,1.98
42,2.51
43,3.26
44,3.52
45,1.63
46,1.78
47,2.48
48,1.34
49,3.64
50,3.75
51,2.2
52,1.66
53,2.75
54,2.08
55,4.7
56,3.52
57,1.83
58,1.76
59,3.5
60,1.94
61,2.88
62,5.71
63,1.74
64,1.33
65,2.05
66,1.37
67,1.34
68,1.1
69,2.03
70,1.49
71,1.7
72,1.56
73,1.84
74,1.25
75,1.3
76,1.48
77,1.22
78,1.29
79,2.18
80,2.02
81,2.52
82,6.87
83,1.86
84,2.02
85,1.42
86,5.47
87,1.17
88,1.06
89,1.19
90,1.08
91,1.22
92,5.17
93,1.82
94,1.04
95,2.41
96,1.22
97,1.23
98,3.15
99,4.08
100,4.82
101,1.88
102,3.16
103,3.12
104,6.07
105,2.8
106,6.01
107,4.44
108,3.73
109,5.5
110,1.66
111,1.07
112,1.27
113,1.8
114,2.53
115,1.13
116,1.07
117,1.22
118,1.57
119,1.36
120,1.26
121,5.21
122,1.83
123,1.32
124,1.3
125,1.86
126,1.87
127,3.22
128,1.96
129,2.38
130,3.8
131,1.78
132,3.6
133,2.82
134,3.8
135,2.56
136,1.35
137,1.53
138,4.42
139,1.26
140,1.27
141,1.22
142,1.31
143,1.88
144,1.37
145,1.96
146,1.21
147,3.15
148,1.75
149,1.28
150,2.51
151,5.17
152,1.29
153,2.33
154,2.29
155,1.86
156,1.9
157,1.43
158,2.26
159,1.9
160,1.78
161,5.95
162,3.61
163,2.86
164,3.4
165,1.29
166,3.3
167,1.7
168,1.87
169,1.43
170,3.25
171,1.92
172,2.99
173,1.95
174,1.64
175,2.77
176,2.15
177,1.1
178,1.21
179,1.55
180,1.34
181,1.65
182,3.85
183,1.53
184,2.97
185,3.01
186,3.2
187,2.74
188,4.24
189,7.28
190,2.94
191,2.68
192,2.2
193,3.9
194,2.2
195,2.12
196,2.01
197,4.2
198,1.28
199,1.27
200,1.78
201,3.72
202,1.45
203,3.92
204,1.98
205,1.98
206,2.33
207,1.41
208,1.25
209,1.86
210,2.22
211,2.52
212,1.27
213,3.11
214,2.54
215,1.14
216,2.45
217,2.06
218,3.49
219,10.23
220,1.94
221,1.33
222,1.69
223,1.29
224,1.57
225,2.52
226,3.25
227,2.03
228,1.56
229,1.59
230,4.38
231,2.68
232,5.35
233,3.73
234,3.26
235,6.7
236,5.41
237,2.42
238,4.58
239,2.82
240,4.33
241,3.56
242,1.9
243,5.03
244,5.9
245,3.28
246,4.66
247,2.46
248,1.44
249,1.29
250,1.52
251,5.8
252,3.86
253,2.72
254,4.75
255,2.78
256,4.43
257,2.04
258,2.15
259,2.1
260,6.75
261,1.48
262,1.2
263,1.42
264,1.41
265,1.63
266,1.42
267,1.09
268,2.91
269,2.66
270,1.74
271,1.85
272,1.43
273,2.35
274,4.06
275,2.55
276,2.36
277,2.03
278,3.13
279,4.8
280,1.87
281,1.89
282,1.86
283,1.82
284,1.27
285,1.39
286,1.47
287,1.89
288,1.34
289,1.33
290,1.32
291,1.44
292,1.28
293,1.54
294,1.24
295,2.21
296,2.28
297,2.12
298,3.66
299,1.19
300,1.16
301,1.56
302,1.37
303,2.99
304,1.4
305,1.98
306,1.88
307,4.05
308,2.93
309,3.04
310,1.66
311,5.5
312,1.4
313,2.01
314,1.81
315,3.45
316,2.69
317,2.31
318,2.72
319,3.92
320,3.75
321,1.92
322,2.03
323,2.89
324,2.27
325,3.12
326,2.53
327,7.0
328,1.81
329,1.46
330,2.21
331,2.69
332,1.38
333,1.54
334,1.91
335,3.18
336,3.82
337,1.3
338,3.92
339,3.4
340,1.59
341,1.56
342,1.29
343,1.51
344,1.3
345,2.31
346,5.45
347,1.34
348,1.4
349,1.27
350,1.04
351,1.7
352,2.2
353,3.18
354,1.7
355,1.28
356,3.12
357,6.14
358,2.22
359,5.61
