Lambda,Centrality,Kendall_Tau,P_Value
0.1767,Degree_Centrality,0.7241490970402445,4.996921169087468e-239
0.1767,Betweenness_Centrality,0.5613187973251521,4.3751474681473343e-160
0.1767,PageRank_Centrality,0.5120659614812553,1.5599642555277055e-146
0.1767,Closeness_Centrality,0.2659540699452805,8.864146475572245e-41
0.1767,Eigenvector_Centrality,0.36174864591798267,4.4028544221040955e-74
0.2159,Degree_Centrality,0.6873046027004516,4.992637712697357e-216
0.2159,Betweenness_Centrality,0.5407941538614665,4.445872197926369e-149
0.2159,PageRank_Centrality,0.4646944681306289,2.6435905456083377e-121
0.2159,Closeness_Centrality,0.29107337078193674,1.3182668263727383e-48
0.2159,Eigenvector_Centrality,0.3935539732236514,1.558505630064154e-87
0.2552,Degree_Centrality,0.631184570503453,8.928711415333808e-183
0.2552,Betweenness_Centrality,0.5059709999315272,6.220604869623409e-131
0.2552,PageRank_Centrality,0.4081510152420511,3.7059258461814794e-94
0.2552,Closeness_Centrality,0.33134599168697637,1.534459834357866e-62
0.2552,Eigenvector_Centrality,0.43420888397522833,2.7743605928737614e-106
0.2945,Degree_Centrality,0.5957025059384159,3.3707691294689925e-163
0.2945,Betweenness_Centrality,0.48043488410854834,2.282195446816167e-118
0.2945,PageRank_Centrality,0.371057097891439,3.1273252857735778e-78
0.2945,Closeness_Centrality,0.3510299384998365,4.879658036616197e-70
0.2945,Eigenvector_Centrality,0.46083271276349674,1.3604001580910614e-119
0.3337,Degree_Centrality,0.5532296967227812,3.850520606978033e-141
0.3337,Betweenness_Centrality,0.4485649077606545,1.6344040424021968e-103
0.3337,PageRank_Centrality,0.33061272872225933,1.5528649233898624e-62
0.3337,Closeness_Centrality,0.38333280811260856,3.1959090687120964e-83
0.3337,Eigenvector_Centrality,0.4920598581445805,3.5789069664651036e-136
0.373,Degree_Centrality,0.49925165416925094,2.2831256993163254e-115
0.373,Betweenness_Centrality,0.4070170131943749,1.3178856429040856e-85
0.373,PageRank_Centrality,0.2831358712098221,2.294142919607746e-46
0.373,Closeness_Centrality,0.43354635710594436,5.73603513905742e-106
0.373,Eigenvector_Centrality,0.5138493482779837,2.1700912506089722e-148
0.4123,Degree_Centrality,0.45439844163050247,6.2315118165844195e-96
0.4123,Betweenness_Centrality,0.3759292573510074,2.5079464284736e-73
0.4123,PageRank_Centrality,0.24510937548344544,3.4189692397708715e-35
0.4123,Closeness_Centrality,0.4829525115887262,4.643547839891757e-131
0.4123,Eigenvector_Centrality,0.5227682751710534,1.4657202000341592e-153
0.4515,Degree_Centrality,0.42720103634478146,4.921680926039637e-85
0.4515,Betweenness_Centrality,0.35774340689014644,1.3522147792348257e-66
0.4515,PageRank_Centrality,0.22909161220390048,5.784761694719021e-31
0.4515,Closeness_Centrality,0.5479285016822337,3.7087068233223364e-168
0.4515,Eigenvector_Centrality,0.5142174538455063,1.1139399571456096e-148
0.4908,Degree_Centrality,0.39853105428299246,2.931967431240835e-74
0.4908,Betweenness_Centrality,0.33518616885522756,1.0767824070223963e-58
0.4908,PageRank_Centrality,0.21537912093652437,1.4487930689571987e-27
0.4908,Closeness_Centrality,0.6090519488131478,2.6100446166377565e-207
0.4908,Eigenvector_Centrality,0.4801266136003373,6.76957112091235e-130
0.5301,Degree_Centrality,0.3747662653850272,6.86775577260279e-66
0.5301,Betweenness_Centrality,0.31964849556188035,1.5051919968413381e-53
0.5301,PageRank_Centrality,0.20178932046639741,2.123502319893717e-24
0.5301,Closeness_Centrality,0.653565388422634,1.9844236158686483e-238
0.5301,Eigenvector_Centrality,0.44322761565354857,5.295686095219236e-111
