Node,Relative Closeness,Rank
666,0.008162499714901534,1.0
166,0.007219176544141033,2.0
125,0.006605882200897094,3.0
126,0.006561527795900557,4.0
657,0.00593091659252466,5.0
24,0.005894016112244216,6.0
77,0.005743183467635718,7.0
336,0.005624038771385369,8.0
20,0.0053389841451702575,9.0
139,0.005141580995894844,10.0
195,0.00514060095843043,11.0
148,0.004939398536162541,12.0
226,0.004775136103111365,13.0
104,0.00469470931065912,14.0
627,0.004644043649135103,15.0
242,0.004528955106914921,16.0
15,0.004514889771758384,17.0
23,0.004432531928602287,18.0
184,0.004328559447561549,19.0
187,0.004276915362563613,20.0
107,0.004202709367408741,21.0
152,0.004159027099100217,22.0
145,0.0041396266813595655,23.0
123,0.0041159557121132175,24.0
337,0.003933973554491001,25.0
120,0.00377355312697832,26.0
239,0.0037128362942773795,27.0
48,0.0036389634833166413,28.0
561,0.0036056476314932154,29.0
128,0.003598220090159024,30.0
607,0.0034928327732097523,31.0
175,0.0034141095757983255,32.0
140,0.0033991478429705006,33.0
345,0.0033908313451494337,34.0
281,0.0033899173014792904,35.0
702,0.003365288930199168,36.0
159,0.003319755483689407,37.0
130,0.0033071467664211786,38.0
109,0.0032118342433801682,39.0
127,0.003202725358023737,40.0
136,0.003177945914100764,41.0
834,0.0031682643430208735,42.0
52,0.0030553368383617113,43.0
165,0.0030095942775380845,44.0
277,0.0029488426745479203,45.0
357,0.0029459818126733256,46.0
18,0.002908903523843667,47.0
625,0.002830615003229691,48.0
204,0.0027027403254076335,49.0
142,0.0026717031320893105,50.0
658,0.0026359778576129753,51.0
214,0.0025814713342015246,52.0
280,0.0025700869134945357,53.0
238,0.00255983884448902,54.0
362,0.0025377121120399365,55.0
701,0.002517042631437925,56.0
39,0.0025110130654077373,57.0
237,0.0025023673722633357,58.0
12,0.0024356935771107655,59.0
771,0.002381188984461094,60.0
143,0.002371249433639583,61.0
687,0.0023635865176422663,62.0
529,0.0023492999406635067,63.0
824,0.0023018044539207514,64.0
624,0.002300268801190424,65.0
623,0.0022895403706317172,66.0
284,0.0022618329881022208,67.0
678,0.0022594063519108705,68.0
692,0.002251622180195786,69.0
99,0.0022513243476126165,70.0
786,0.0022507817434531258,71.0
822,0.0022448822067292163,72.0
115,0.0022412000907288485,73.0
198,0.002207243219458059,74.0
416,0.002192066099945124,75.0
530,0.0021874192536759525,76.0
241,0.0021617478506841393,77.0
669,0.0021605034382022625,78.0
154,0.0021479381607964467,79.0
682,0.0021449957056168295,80.0
161,0.0021344240264128374,81.0
298,0.0021326510759194207,82.0
282,0.002116181603333627,83.0
190,0.0020979988277201518,84.0
17,0.002088380174734599,85.0
1014,0.00204953877587712,86.0
667,0.002033212555976104,87.0
659,0.0020221018950534993,88.0
201,0.002016804972026659,89.0
149,0.002015248301110933,90.0
132,0.002004202573455295,91.0
95,0.001975970181516005,92.0
691,0.001973606515596129,93.0
224,0.001966941453171451,94.0
569,0.001958523040000001,95.0
660,0.0019407112827840736,96.0
557,0.001927819084835799,97.0
170,0.0018344000716953275,98.0
674,0.0018262329857592773,99.0
197,0.0018134073767301587,100.0
408,0.001812608369356769,101.0
326,0.0017938972081561737,102.0
781,0.0017922561750771426,103.0
785,0.0017682631306700806,104.0
987,0.0017555612612074512,105.0
717,0.0017541526169279125,106.0
135,0.0017441008575874739,107.0
596,0.0017426150562039056,108.0
87,0.0017265179844330148,109.0
522,0.00170366883523017,110.0
37,0.0016934975907134508,111.0
62,0.0016756041138361749,112.0
706,0.0016698634535699504,113.0
542,0.0016625814618121046,114.0
350,0.0016571175314871107,115.0
252,0.0016492177277287546,116.0
363,0.0016379648596631818,117.0
555,0.0016363927653940623,118.0
390,0.0016185926837387213,119.0
80,0.0016141424950874461,120.0
351,0.0015874351289456162,121.0
320,0.0015489986669462068,122.0
605,0.0015472508107672806,123.0
710,0.0015400111173272761,124.0
343,0.0015391570458562218,125.0
458,0.0015332713062771812,126.0
168,0.001520125300421633,127.0
83,0.001513377941438092,128.0
411,0.0015084351957466119,129.0
735,0.001502072187928569,130.0
325,0.0014881913171274105,131.0
124,0.0014878530589851283,132.0
167,0.0014874382283913245,133.0
730,0.0014806192348509536,134.0
160,0.0014791454459336354,135.0
856,0.0014766526151337542,136.0
705,0.001465058050644475,137.0
312,0.0014487932865416956,138.0
97,0.0014432507307270877,139.0
344,0.0014384873090614952,140.0
310,0.0014304051919416085,141.0
688,0.0014229650746408245,142.0
81,0.0014222016625737002,143.0
662,0.0014193469496531328,144.0
698,0.001414763247390151,145.0
90,0.001397539593573115,146.0
734,0.0013903533648849697,147.0
323,0.0013892128508315733,148.0
744,0.0013788149240741873,149.0
30,0.0013578736699820099,150.0
66,0.0013421292537648352,151.0
102,0.0013304459425117043,152.0
317,0.0013292648459537959,153.0
181,0.0013266354164065248,154.0
210,0.0013185434020955226,155.0
211,0.0013185434020955226,155.0
235,0.0013146179125452745,156.0
229,0.0013085225830982003,157.0
709,0.001299176934775644,158.0
311,0.001296794682788268,159.0
11,0.0012944941201909713,160.0
144,0.001288881237801065,161.0
173,0.001286647573725358,162.0
100,0.001282109831194235,163.0
648,0.0012805954433338191,164.0
151,0.0012798883752775778,165.0
322,0.001267571965747673,166.0
425,0.0012652216733277798,167.0
412,0.001259809913168195,168.0
534,0.0012439502296123443,169.0
85,0.0012361200202017542,170.0
1088,0.001227512280752956,171.0
507,0.0012247029638324488,172.0
305,0.0012187172180730195,173.0
722,0.0012159728504722409,174.0
708,0.0012151023284345005,175.0
